,Solar,Wind_Onshore,Wind_Offshore,EPEX
1,97.1645635736031,84.14409639475615,86.5733527520744,93.78504504233861
2,75.96221468719052,67.23557681794871,72.31721669738981,75.21520472656623
3,64.31054464378187,58.11032254994745,62.91289654977492,65.06859542126534
4,50.3055237195908,47.294251361492144,47.969654397326245,54.741457371668496
5,62.6141860733888,62.21568470105473,64.16084525935462,65.39456092307468
6,55.89942187081424,46.03552187558288,46.95741790094218,55.254163454611685
7,53.06317083602796,42.43100973999394,42.018614698047024,52.9130565373532
8,57.13325137938664,47.27327195912335,47.5000301837609,55.927569052688966
9,54.56113982315923,35.627060397486986,43.29260745052682,51.81179204669893
10,47.291195100131524,34.74259502071875,39.40300324353154,44.45311360848715
11,66.46965017980622,49.08120255247961,51.221754486537044,62.08757238932383
12,65.47951174327261,50.54758882590268,54.44125974338731,61.791466464267174
