,Solar,Wind_Onshore,Wind_Offshore,EPEX
1,67.5511108421204,47.48310492486664,51.218287704405135,61.32462424096087
2,41.43084137898806,35.20394270982249,39.50847987717967,41.28210489252731
3,34.01010521036705,30.701189417885974,32.801635258469325,34.43370111488585
4,26.35825311625645,24.76376715886425,25.60920141048499,29.53901686103805
5,28.061320606013826,27.27993057021443,28.175069190576238,28.873336011003932
6,27.081732837136787,23.83878282299642,24.218702751436293,27.282864357012677
7,27.340772233371972,23.22455519166278,23.48326063046383,28.102431252242667
8,28.060624171312746,25.526281796030485,25.502527874548225,28.537299011901112
9,29.365254126151907,23.537484878747,26.003682249969177,28.850398728596044
10,28.169682414339366,23.009001352161967,24.703676875710705,26.965392491770373
11,39.07466866289129,30.27560244173009,31.237099839062495,37.06539114889012
12,37.040749929121766,27.62163893063,29.980924231156866,34.87630233962176
