,Solar,Wind_Onshore,Wind_Offshore,EPEX
1,63.95079230479575,46.1642651772625,49.66104700894702,58.30317593604274
2,40.74617882377557,34.53652154790507,38.84701693928704,40.594569224348504
3,33.360929370813636,30.046956333480995,32.10935057601561,33.71720251075461
4,26.60338186786719,24.597516022382255,25.257625393967825,29.10567995590901
5,27.642746748427783,26.943554113988604,27.774237093915296,28.481841593736434
6,26.846727458283567,23.63530799747909,24.023131452292727,27.049725413269456
7,27.223919690223365,23.175804232517574,23.30406665221403,27.790314968963532
8,27.7174139960183,25.210872690821997,25.177407238657743,28.18116721080114
9,28.872905862359033,23.265716280603794,25.657992257307832,28.463958214941712
10,27.596148603678234,22.563845798381852,24.221280491010326,26.42805580895629
11,38.074316276957866,29.65010732459659,30.62484582626006,36.371546141551505
12,36.38199858697227,27.825949205005003,29.9997674362921,34.64588097602843
