,Solar,Wind_Onshore,Wind_Offshore,EPEX
1,76.83211158006374,62.65044442350603,65.51817192065025,72.92390075288853
2,56.700741670752905,50.396082927147894,54.464803593561676,56.55114292390284
3,48.5147370561338,43.74218781358097,47.064707884633044,48.76170000241616
4,37.530168531923366,35.628485507721194,36.32826762898801,41.351485397564254
5,45.31367837549339,44.89097965078018,46.32816969193454,46.999866324049805
6,41.461175606588974,34.81476280700813,35.48177415468853,41.15699886186783
7,39.82341017194462,32.306704842754975,32.32226407037771,40.161965354394376
8,42.84842380888084,36.14724825415071,36.353891549565084,42.25132421574761
9,41.263851845624885,28.850837467340586,33.8931644898303,39.63326009407079
10,37.44816689449445,28.754166572869803,31.948716192695002,35.42504990287044
11,50.691311878419505,38.671196321832824,40.025908818129594,47.79776045156099
12,50.16198082479358,38.65242802399499,41.6389684747292,47.2836230935854
