Datum;"Preis ⌀";"Preis Bid";"Preis Ask"
2022-01-04;94.25;94.75;94.5
2022-01-05;97.75;98.25;98
2022-01-06;99.8;100.3;100.05
2022-01-07;96.5;97;96.75
2022-01-10;94.75;95.25;95
2022-01-11;91.75;92.25;92
2022-01-12;91.5;92;91.75
2022-01-13;101.25;101.75;101.5
2022-01-14;104.75;105.25;105
2022-01-17;107.75;108.25;108
2022-01-18;109.75;110.25;110
2022-01-19;109;109.5;109.25
2022-01-20;105.75;106.25;106
2022-01-21;108.75;109.25;109
2022-01-24;112.25;112.75;112.5
2022-01-25;114.25;114.75;114.5
2022-01-26;114.85;115.35;115.1
2022-01-27;115.75;116.25;116
2022-01-28;117;117.5;117.25
2022-01-31;115.6;116.1;115.85
2022-02-01;113.75;114.25;114
2022-02-02;113.5;114;113.75
2022-02-03;112.9;113.4;113.15
2022-02-04;117.25;117.75;117.5
2022-02-07;117;117.5;117.25
2022-02-08;119;119.5;119.25
2022-02-09;117;117.5;117.25
2022-02-10;112.75;113.25;113
2022-02-11;112.75;113.25;113
2022-02-14;115.75;116.25;116
2022-02-15;113.35;113.85;113.6
2022-02-16;109.75;110.25;110
2022-02-17;107.5;108;107.75
2022-02-18;108.25;108.75;108.5
2022-02-21;114.75;115.25;115
2022-02-22;123.25;123.75;123.5
2022-02-23;127.75;128.25;128
2022-02-24;144.75;145.25;145
2022-02-25;123.75;124.25;124
2022-02-28;150;150.5;150.25
2022-03-01;200.75;201.25;201
2022-03-02;263.5;264.5;264
2022-03-03;195;196;195.5
2022-03-04;222.75;223.25;223
2022-03-07;230;230.5;230.25
2022-03-08;250.8;251.3;251.05
2022-03-09;224.75;225.25;225
2022-03-10;201.4;201.9;201.65
2022-03-11;201.4;201.9;201.65
2022-03-14;187.25;187.75;187.5
2022-03-15;175.4;175.9;175.65
2022-03-16;159.75;160.25;160
2022-03-17;164.25;164.75;164.5
2022-03-18;165.75;166.25;166
2022-03-21;148;149.25;148.63
2022-03-22;182.1;182.6;182.35
2022-03-23;198.25;198.75;198.5
2022-03-24;186.4;186.9;186.65
2022-03-25;179.75;180.25;180
2022-03-28;183.25;183.75;183.5
2022-03-29;179.75;180.25;180
2022-03-30;185.35;185.85;185.6
2022-03-31;191;191.5;191.25
2022-04-01;194;194.5;194.25
2022-04-04;190.25;190.75;190.5
2022-04-05;217;217.5;217.25
2022-04-06;217.25;217.75;217.5
2022-04-07;214.25;214.75;214.5
2022-04-08;229;229.5;229.25
2022-04-11;227.5;228;227.75
2022-04-12;233.9;234.4;234.15
2022-04-13;236.75;237.25;237
2022-04-14;237.1;237.6;237.35
2022-04-19;234.75;235.25;235
2022-04-20;249.25;249.75;249.5
2022-04-21;237.75;238.25;238
2022-04-22;241.25;241.75;241.5
2022-04-25;231.5;232;231.75
2022-04-26;219.75;220.25;220
2022-04-27;220.5;221;220.75
2022-04-28;211.5;212;211.75
2022-04-29;212.45;212.95;212.7
2022-05-03;220.7;221.2;220.95
2022-05-04;241.5;242;241.75
2022-05-05;249.75;250.25;250
2022-05-06;246.5;247;246.75
2022-05-09;230.25;230.75;230.5
2022-05-10;228.75;229;228.88
2022-05-11;240;240.5;240.25
2022-05-12;244;244.5;244.25
2022-05-13;232;232.5;232.25
2022-05-16;233.75;234.25;234
2022-05-17;246.75;247.25;247
2022-05-18;245.4;245.9;245.65
2022-05-19;246.75;247.25;247
2022-05-20;265.8;266.3;266.05
2022-05-23;248.25;250.25;249.25
2022-05-24;221;221.5;221.25
2022-05-25;229.75;230.25;230
2022-05-26;224.75;225;224.88
2022-05-27;225.5;226.5;226
2022-05-30;229.05;229.55;229.3
2022-05-31;238.75;239.25;239
2022-06-01;228.25;228.75;228.5
2022-06-06;235.25;235.75;235.5
2022-06-07;226.4;226.9;226.65
2022-06-08;222.75;223.25;223
2022-06-09;219.75;220.25;220
2022-06-10;214.75;215.25;215
2022-06-13;211.25;211.75;211.5
2022-06-14;216.75;217.25;217
2022-06-15;226.5;227;226.75
2022-06-16;224.75;225.25;225
2022-06-17;232.75;233.25;233
2022-06-20;247.5;248;247.75
2022-06-21;261.5;262;261.75
2022-06-22;259.75;260.25;260
2022-06-23;265;265.5;265.25
2022-06-24;254;254.5;254.25
2022-06-27;251;251.5;251.25
2022-06-28;250.25;250.75;250.5
2022-06-29;249.75;250.25;250
2022-06-30;253.25;253.75;253.5
2022-07-01;251.75;252.25;252
2022-07-04;260.75;261.25;261
2022-07-05;259.5;260;259.75
2022-07-06;264.75;265.25;265
2022-07-07;270;270.5;270.25
2022-07-08;269.75;270.25;270
2022-07-11;283.75;284.25;284
2022-07-12;289.25;289.75;289.5
2022-07-13;282.75;283.25;283
2022-07-14;277;277.5;277.25
2022-07-15;268;268.5;268.25
2022-07-18;255.75;256.25;256
2022-07-19;258.75;259.25;259
2022-07-20;257.75;258.25;258
2022-07-21;256.75;257.25;257
2022-07-22;259.75;260.25;260
2022-07-25;271;271.5;271.25
2022-07-26;295.75;296.25;296
2022-07-27;286.75;287.25;287
2022-07-28;284;284.5;284.25
2022-07-29;278;278.5;278.25
2022-08-01;271.75;272.25;272
2022-08-02;270.5;271;270.75
2022-08-03;266.25;266.75;266.5
2022-08-04;246;246.5;246.25
2022-08-05;233.75;234.25;234
2022-08-08;230.5;231.5;231
2022-08-09;235.75;236.25;236
2022-08-10;263;263.5;263.25
2022-08-11;259.75;260.25;260
2022-08-12;266.75;267.25;267
2022-08-15;276.25;276.75;276.5
2022-08-16;297.75;298.25;298
2022-08-17;306.75;307.25;307
2022-08-18;305.75;306.25;306
2022-08-19;316.25;316.75;316.5
2022-08-22;324.75;325.25;325
2022-08-23;303.75;304.25;304
2022-08-24;305.75;306.25;306
2022-08-25;307.75;308.25;308
2022-08-26;315.75;316.25;316
2022-08-30;302;303;302.5
2022-08-31;305.75;306.25;306
2022-09-01;311.75;312.25;312
2022-09-02;322.75;323.25;323
2022-09-05;343.75;344.25;344
2022-09-06;337.75;338.25;338
2022-09-07;317.5;318;317.75
2022-09-08;306.75;307.25;307
2022-09-09;305;305.5;305.25
