Datum;"Preis ⌀";"Preis Bid";"Preis Ask"
2022-01-05;91;91.5;91.25
2022-01-06;93;93.5;93.25
2022-01-07;89;90;89.5
2022-01-10;87.5;88;87.75
2022-01-11;88.5;89;88.75
2022-01-12;88.5;89;88.75
2022-01-13;97;97.5;97.25
2022-01-14;100.75;101.25;101
2022-01-17;103.5;104;103.75
2022-01-18;105.25;105.75;105.5
2022-01-19;105;105.5;105.25
2022-01-20;101.5;102;101.75
2022-01-21;104.25;104.75;104.5
2022-01-24;107;107.5;107.25
2022-01-25;108.5;109;108.75
2022-01-26;106;106.5;106.25
2022-01-27;104.75;105.25;105
2022-01-28;106;106.5;106.25
2022-01-31;104.5;105;104.75
2022-02-01;102;102.5;102.25
2022-02-02;102;102.5;102.25
2022-02-03;101.75;102.25;102
2022-02-04;106;106.5;106.25
2022-02-07;106.25;106.75;106.5
2022-02-08;109;109.5;109.25
2022-02-09;109.25;109.75;109.5
2022-02-10;105;105.5;105.25
2022-02-11;104;104.5;104.25
2022-02-14;106;107;106.5
2022-02-15;103;104;103.5
2022-02-16;103;104;103.5
2022-02-17;100;101;100.5
2022-02-18;102;102.5;102.25
2022-02-21;107;108;107.5
2022-02-22;109;110;109.5
2022-02-23;110;111;110.5
2022-02-24;125;126;125.5
2022-02-25;104.5;105.5;105
2022-02-28;117;118;117.5
2022-03-01;145;146;145.5
2022-03-04;159.75;160.25;160
2022-03-07;154;155;154.5
2022-03-08;140;141;140.5
2022-03-09;122;123;122.5
2022-03-10;99;100;99.5
2022-03-11;120;121;120.5
2022-03-14;115;116;115.5
2022-03-15;110;111;110.5
2022-03-16;107;108;107.5
2022-03-17;108;109;108.5
2022-03-18;110;111;110.5
2022-03-21;93;94;93.5
2022-03-22;115;116;115.5
2022-03-23;116;117;116.5
2022-03-24;104.4;104.9;104.65
2022-03-25;107;108;107.5
2022-03-28;120;121;120.5
2022-03-29;118.5;119.5;119
2022-03-30;121.35;122.35;121.85
2022-03-31;125.15;125.65;125.4
2022-04-01;128.15;128.65;128.4
2022-04-04;122.25;122.75;122.5
2022-04-05;133;133.5;133.25
2022-04-06;138.25;138.75;138.5
2022-04-07;132.25;132.75;132.5
2022-04-08;145;146;145.5
2022-04-11;143.25;144.25;143.75
2022-04-12;148.75;149.75;149.25
2022-04-13;150.5;151.5;151
2022-04-14;155;156;155.5
2022-04-19;154.5;155.5;155
2022-04-20;154;155;154.5
2022-04-21;160.6;161.6;161.1
2022-04-22;169.5;170.5;170
2022-04-25;173.25;174.25;173.75
2022-04-26;164.5;165.5;165
2022-04-27;163.25;164.25;163.75
2022-04-28;158.1;159.1;158.6
2022-04-29;159;160;159.5
2022-05-03;170;171;170.5
2022-05-04;182.5;183.5;183
2022-05-05;187.25;188.25;187.75
2022-05-06;181.25;182.25;181.75
2022-05-09;166.25;166.75;166.5
2022-05-10;165;166;165.5
2022-05-11;181.5;182;181.75
2022-05-12;185.25;186.2518;185.75
2022-05-13;173.5;174;173.75
2022-05-16;187.5;188.5;188
2022-05-17;200.5;201.5;201
2022-05-18;207.15;208.15;207.65
2022-05-19;197.5;198.5;198
2022-05-20;210.3;211.8;211.05
2022-05-24;196.75;197.75;197.25
2022-05-25;203.75;204.25;204
2022-05-26;198.5;199.5;199
2022-05-27;181.5;182.5;182
2022-05-30;180.75;181.75;181.25
2022-05-31;174.75;175.25;175
2022-06-01;162.5;163.5;163
2022-06-06;169.75;170.25;170
2022-06-07;174.25;175.25;174.75
2022-06-08;172.75;173.25;173
2022-06-09;175;185;180
2022-06-10;179.5;180.5;180
2022-06-13;181;182;181.5
2022-06-14;176.5;177.5;177
2022-06-15;195;196;195.5
2022-06-16;185.25;185.75;185.5
2022-06-17;193;194;193.5
2022-06-20;208;208.5;208.25
2022-06-21;209;209.5;209.25
2022-06-22;205.5;206.5;206
2022-06-23;209;209.5;209.25
2022-06-24;199.5;221;210.25
2022-06-27;197;197.5;197.25
2022-06-28;196;197;196.5
2022-06-29;194.5;195.5;195
2022-06-30;194.5;195.5;195
2022-07-01;193;194;193.5
2022-07-04;201.5;203;202.25
2022-07-05;193;193.5;193.25
2022-07-06;200.75;201.25;201
2022-07-07;205.75;206.75;206.25
2022-07-08;207.75;208.25;208
2022-07-11;213.75;214.25;214
2022-07-12;220;221;220.5
2022-07-13;217.5;218.5;218
2022-07-14;212.5;213;212.75
2022-07-15;209.5;210.5;210
2022-07-18;204.5;205.5;205
2022-07-19;209.5;210.5;210
2022-07-20;207;208;207.5
2022-07-21;207.5;208.5;208
2022-07-22;210.5;211.5;211
2022-07-25;215;215.5;215.25
2022-07-26;264.5;265.5;265
2022-07-27;217.5;218.5;218
2022-07-28;221;221.5;221.25
2022-07-29;216;216.5;216.25
2022-08-01;209.75;210.25;210
2022-08-02;213.25;214.25;213.75
2022-08-03;216.25;216.75;216.5
2022-08-04;199;199.5;199.25
2022-08-05;187.5;188.5;188
2022-08-08;184.5;185.5;185
2022-08-09;189.75;190.25;190
2022-08-10;211;211.5;211.25
2022-08-11;204.75;205.25;205
2022-08-12;213.5;214.5;214
2022-08-15;222.25;222.75;222.5
2022-08-16;244.75;245.25;245
2022-08-17;253.5;254.5;254
