Datum;"Preis ⌀";"Preis Bid";"Preis Ask"
2023-01-03;164.5;165.5;165
2023-01-04;162.425;163.425;162.93
2023-01-05;155.075;156.075;155.58
2023-01-06;153.075;154.075;153.58
2023-01-09;155.925;156.925;156.43
2023-01-10;157.95;158.95;158.45
2023-01-11;157.475;158.475;157.98
2023-01-12;152.95;153.95;153.45
2023-01-13;160.425;161.425;160.93
2023-01-16;157.975;158.975;158.48
2023-01-17;149.175;150.175;149.68
2023-01-18;160.025;161.025;160.53
2023-01-19;164.925;165.925;165.43
2023-01-20;168.9;169.9;169.4
2023-01-23;167.8;168.8;168.3
2023-01-24;167;168;167.5
2023-01-25;138.775;139.775;139.28
2023-01-26;134.47;135.47;134.97
2023-01-27;137.5;138.5;138
2023-01-30;143.525;144.525;144.03
2023-01-31;145.825;146.825;146.33
2023-02-01;142.925;143.925;143.43
2023-02-02;143;144;143.5
2023-02-03;133.5;134.5;134
2023-02-06;141.125;142.125;141.63
2023-02-07;135;136;135.5
2023-02-08;123.5;124.5;124
2023-02-09;121.925;122.925;122.43
2023-02-10;129.2;130.2;129.7
2023-02-13;128.3;129.3;128.8
2023-02-14;132.55;133.55;133.05
2023-02-15;138.45;139.45;138.95
2023-02-16;131;132;131.5
2023-02-17;133.5;134.5;134
2023-02-20;131.13;132.13;131.63
2023-02-21;133.2;134.2;133.7
2023-02-22;138.75;139.75;139.25
2023-02-23;137.5;138.5;138
2023-02-24;148.5;149.5;149
2023-02-27;142.4;143.4;142.9
2023-02-28;139;140;139.5
2023-03-01;140.1;141.1;140.6
2023-03-02;134.5;135.5;135
2023-03-03;126.5;127.5;127
2023-03-06;117;118;117.5
2023-03-07;117.3;118.3;117.8
2023-03-08;118.05;119.05;118.55
2023-03-09;119.7;120.7;120.2
2023-03-10;121.36;122.36;121.86
2023-03-13;132;133;132.5
2023-03-14;127.8;128.8;128.3
2023-03-15;122.5;123.5;123
2023-03-16;120;121;120.5
2023-03-17;112.3;113.3;112.8
2023-03-20;119.925;120.925;120.43
2023-03-21;124.5;125.5;125
2023-03-22;121;122;121.5
2023-03-23;120.45;121.45;120.95
2023-03-24;118.25;119.25;118.75
2023-03-27;125.05;126.05;125.55
2023-03-28;128.75;129.75;129.25
2023-03-29;124.9;125.9;125.4
2023-03-30;122;131;126.5
2023-03-31;131.25;132.25;131.75
2023-04-04;134;135;134.5
2023-04-05;133.5;134.5;134
2023-04-06;128.5;129.5;129
2023-04-11;122;131;126.5
2023-04-12;124;125;124.5
2023-04-13;120.35;121.35;120.85
2023-04-14;119.35;120.35;119.85
2023-04-17;117.35;118.35;117.85
2023-04-18;119.975;120.975;120.48
2023-04-19;122.85;123.85;123.35
2023-04-20;127.35;128.35;127.85
2023-04-21;129.025;130.025;129.53
2023-04-25;132.65;133.65;133.15
2023-04-26;131.775;132.775;132.28
2023-04-27;130.5;131.5;131
2023-04-28;135.5;136.5;136
2023-05-02;135.675;136.675;136.18
2023-05-03;126.8;127.8;127.3
2023-05-04;125.85;126.85;126.35
2023-05-05;128;129;128.5
2023-05-09;125.7;126.7;126.2
2023-05-10;118.6;119.6;119.1
2023-05-11;113.8;114.8;114.3
2023-05-12;115.975;116.975;116.48
2023-05-15;111.4;112.4;111.9
2023-05-16;107.95;108.95;108.45
2023-05-17;105.6;106.6;106.1
2023-05-18;99.9;100.9;100.4
2023-05-19;105.8;106.8;106.3
2023-05-22;103.9;104.9;104.4
2023-05-23;100.05;101.05;100.55
2023-05-24;96.6;97.6;97.1
2023-05-25;92.4;93.4;92.9
2023-05-26;92.45;93.45;92.95
2023-05-30;88;89;88.5
2023-05-31;91.5;92.5;92
2023-06-01;87.25;88.25;87.75
2023-06-02;88.25;89.25;88.75
2023-06-05;97.4;98.4;97.9
2023-06-06;93.75;99.75;96.75
2023-06-07;99.5;100.5;100
2023-06-08;100.1;102.6;101.35
2023-06-09;105.15;106.15;105.65
2023-06-12;79.5;106.95;93.23
2023-06-13;106.425;107.425;106.93
2023-06-14;109.95;110.95;110.45
2023-06-15;111.7;112.7;112.2
2023-06-16;109.25;110.25;109.75
2023-06-19;114;115;114.5
2023-06-20;111.925;112.925;112.43
2023-06-21;111.1;112.1;111.6
2023-06-22;112.125;113.125;112.63
2023-06-23;109.3;110.3;109.8
2023-06-26;118.875;119.875;119.38
2023-06-27;111;112;111.5
2023-06-28;108;109;108.5
2023-06-29;111.2;112.2;111.7
2023-06-30;109;110;109.5
2023-07-03;108.075;109.075;108.58
2023-07-04;106.1;107.1;106.6
2023-07-05;109.25;116.2;112.73
