Datum;Preis
2023-01-02;62.35
2023-01-03;63.49
2023-01-04;60.979
2023-01-05;61.178
2023-01-06;60.805
2023-01-09;61.475
2023-01-10;61.15
2023-01-11;59.193
2023-01-12;57.463
2023-01-13;56.145
2023-01-16;52.057
2023-01-17;51.875
2023-01-18;53.087
2023-01-19;52.927
2023-01-20;54.5
2023-01-23;54.263
2023-01-24;51.506
2023-01-25;50.883
2023-01-26;51.573
2023-01-27;51.817
2023-01-30;52.579
2023-01-31;53.389
2023-02-01;54.347
2023-02-02;54.031
2023-02-03;54.593
2023-02-06;54.1
2023-02-07;53.268
2023-02-08;52.098
2023-02-09;51.301
2023-02-10;51.375
2023-02-13;50.667
2023-02-14;50.927
2023-02-15;51.121
2023-02-16;50.798
2023-02-17;49.644
2023-02-20;48.855
2023-02-21;48.066
2023-02-22;48.39
2023-02-23;49.296
2023-02-24;49.784
2023-02-27;48.348
2023-02-28;47.865
2023-03-01;47.026
2023-03-02;46.209
2023-03-03;45.181
2023-03-06;43.569
2023-03-07;43.499
2023-03-08;43.299
2023-03-09;43.617
2023-03-10;47.167
2023-03-13;47.838
2023-03-14;44.092
2023-03-15;43.354
2023-03-16;43.557
2023-03-17;43.336
2023-03-20;42.687
2023-03-21;43.549
2023-03-22;43.456
2023-03-23;43.818
2023-03-24;44.266
2023-03-27;44.778
2023-03-28;45.224
2023-03-29;45.153
2023-03-30;45.89
2023-03-31;49.431
2023-04-03;53.293
2023-04-04;51.359
2023-04-05;49.467
2023-04-06;48.453
2023-04-07;48.246
2023-04-10;48.228
2023-04-11;50.109
2023-04-12;50.81
2023-04-13;50.23
2023-04-14;49.914
2023-04-17;50.29
2023-04-18;50.707
2023-04-19;49.576
2023-04-20;49.804
2023-04-21;49.487
2023-04-24;49.091
2023-04-25;49.947
2023-04-26;50.245
2023-04-27;51.923
2023-04-28;51.573
2023-05-01;52.065
2023-05-02;50.951
2023-05-03;50.029
2023-05-04;49.547
2023-05-05;49.528
2023-05-08;50.454
2023-05-09;51.244
2023-05-10;50.981
2023-05-11;50.892
2023-05-12;50.031
2023-05-15;48.307
2023-05-16;47.775
2023-05-17;48.46
2023-05-18;47.626
2023-05-19;47.638
2023-05-22;47.297
2023-05-23;47.601
2023-05-24;47.416
2023-05-25;44.745
2023-05-26;43.343
2023-05-29;43.411
2023-05-30;43.251
2023-05-31;43.894
2023-06-01;42.598
2023-06-02;42.619
2023-06-05;44.049
2023-06-06;42.808
2023-06-07;43.086
2023-06-08;43.933
2023-06-09;45.536
2023-06-12;45.71
2023-06-13;47.088
2023-06-14;48.951
2023-06-15;49.741
2023-06-16;46.84
2023-06-19;46.603
2023-06-20;48.525
2023-06-21;47.47
2023-06-22;45.77
2023-06-23;44.98
2023-06-26;43.467
2023-06-27;44.366
2023-06-28;44.432
2023-06-29;45.324
2023-06-30;46.611
2023-07-03;45.74
2023-07-04;46.217
2023-07-05;47.466
2023-07-06;47.547
2023-07-07;48.709
2023-07-10;46.242
2023-07-11;44.633
2023-07-12;43.907
2023-07-13;43.914
2023-07-14;44.809
2023-07-17;44.648
2023-07-18;46.51
2023-07-19;47.772
2023-07-20;48.657
2023-07-21;48.307
2023-07-24;49.136
2023-07-25;49.73
2023-07-26;48.752
2023-07-27;48.117
2023-07-28;46.879
2023-07-31;47.43
2023-08-01;46.662
2023-08-02;46.79
2023-08-03;47.254
2023-08-04;47.032
2023-08-07;47.313
2023-08-08;47.667
2023-08-09;48.951
2023-08-10;47.857
2023-08-11;47.917
2023-08-14;47.946
2023-08-15;50.015
2023-08-16;49.787
2023-08-17;49.501
2023-08-18;49.724
2023-08-21;50.395
2023-08-22;50.645
2023-08-23;49.277
2023-08-24;46.854
2023-08-25;47.764
2023-08-28;49.584
2023-08-29;48.719
2023-08-30;49.918
2023-08-31;48.766
2023-09-01;49.246
2023-09-04;48.797
2023-09-05;49.324
2023-09-06;48.428
2023-09-07;48.83
2023-09-08;48.88
2023-09-11;49.468
2023-09-12;49.081
2023-09-13;49.767
2023-09-14;49.254
2023-09-15;49.365
2023-09-18;48.523
2023-09-19;48.514
2023-09-20;47.985
2023-09-21;47.652
2023-09-22;47.674
2023-09-25;48.832
2023-09-26;47.099
2023-09-27;46.84
2023-09-28;46.335
2023-09-29;45.78
2023-10-02;45.307
2023-10-03;43.65
2023-10-04;44.393
2023-10-05;43.719
2023-10-06;44.299
2023-10-09;46.445
2023-10-10;48.511
2023-10-11;47.504
2023-10-12;49.569
2023-10-13;49.481
2023-10-16;47.826
2023-10-17;47.966
2023-10-18;48.959
2023-10-19;48.625
2023-10-20;48.869
2023-10-23;49.107
2023-10-24;48.606
2023-10-25;48.277
2023-10-26;48.444
2023-10-27;48.511
2023-10-30;48.348
2023-10-31;45.853
2023-11-01;45.708
