Datum;Preis
2022-01-03;45.028
2022-01-04;49.699
2022-01-05;51.046
2022-01-06;53.401
2022-01-07;48.869
2022-01-10;48.571
2022-01-11;46.212
2022-01-12;44.026
2022-01-13;43.238
2022-01-14;46.484
2022-01-17;44.478
2022-01-18;43.798
2022-01-19;43.563
2022-01-20;44.534
2022-01-21;46.657
2022-01-24;49.798
2022-01-25;52.897
2022-01-26;52.176
2022-01-27;54.321
2022-01-28;56.062
2022-01-31;56.137
2022-02-01;49.811
2022-02-02;52.976
2022-02-03;53.505
2022-02-04;55.927
2022-02-07;54.23
2022-02-08;54.769
2022-02-09;52.09
2022-02-10;52.743
2022-02-11;54.7
2022-02-14;56.574
2022-02-15;51.772
2022-02-16;51.329
2022-02-17;54.223
2022-02-18;52.857
2022-02-21;52.896
2022-02-22;56.962
2022-02-23;64.63
2022-02-24;79.506
2022-02-25;62.389
2022-02-28;63.081
2022-03-01;70.579
2022-03-02;81.92
2022-03-03;81.325
2022-03-04;80.273
2022-03-07;85.348
2022-03-08;81.304
2022-03-09;80.295
2022-03-10;73.282
2022-03-11;75.887
2022-03-14;70.641
2022-03-15;74.043
2022-03-16;64.421
2022-03-17;68.527
2022-03-18;67.44
2022-03-21;66.525
2022-03-22;70.201
2022-03-23;76.342
2022-03-24;81.889
2022-03-25;78.962
2022-03-28;79.974
2022-03-29;77.809
2022-03-30;87.916
2022-03-31;87.554
2022-04-01;87.033
2022-04-04;83.296
2022-04-05;85.797
2022-04-06;84.55
2022-04-07;83.606
2022-04-08;86.287
2022-04-11;85.881
2022-04-12;89.395
2022-04-13;91.422
2022-04-14;84.946
2022-04-15;90.302
2022-04-18;96.858
2022-04-20;88.294
2022-04-21;91.399
2022-04-22;90.045
2022-04-25;88.944
2022-04-26;87.667
2022-04-27;90.093
2022-04-28;88.791
2022-04-29;86.76
2022-05-02;84.616
2022-05-03;89.1
2022-05-04;93.878
2022-05-05;98.564
2022-05-06;98.427
2022-05-09;90.094
2022-05-10;90.475
2022-05-11;89.53
2022-05-12;96.543
2022-05-13;92.942
2022-05-16;91.26
2022-05-17;93.367
2022-05-18;90.775
2022-05-19;89.742
2022-05-20;89.391
2022-05-23;86.677
2022-05-24;87.202
2022-05-25;88.578
2022-05-26;88.285
2022-05-27;88.491
2022-05-30;87.964
2022-05-31;91.151
2022-06-01;89.533
2022-06-02;91.5
2022-06-03;91.759
2022-06-06;90.82
2022-06-07;89.434
2022-06-08;88.447
2022-06-09;88.257
2022-06-10;86.092
2022-06-13;85.975
2022-06-14;87.125
2022-06-15;94.657
2022-06-16;104.181
2022-06-17;98.178
2022-06-20;98.05
2022-06-21;100.167
2022-06-22;105.611
2022-06-23;109.859
2022-06-24;109.65
2022-06-27;106.4
2022-06-28;106.5
2022-06-29;109.853
2022-06-30;117.25
2022-07-01;118.197
2022-07-04;126.972
2022-07-05;128.755
2022-07-06;133.224
2022-07-07;145.815
2022-07-08;147.137
2022-07-11;141.391
2022-07-12;147
2022-07-13;150.747
2022-07-14;146.375
2022-07-15;133.88
2022-07-18;134.111
2022-07-20;133.3
2022-07-21;129.25
2022-07-22;137.511
2022-07-25;142.975
2022-07-26;157.025
2022-07-27;156.756
2022-07-28;154.608
2022-07-29;153.52
2022-08-01;162
2022-08-02;165.827
2022-08-03;166.616
2022-08-04;165.009
2022-08-05;166.894
2022-08-08;167.437
2022-08-09;170.626
2022-08-10;183.134
2022-08-11;195.897
2022-08-16;211.843
2022-08-17;212.716
2022-08-18;224.733
2022-08-19;235
2022-08-22;259.117
2022-08-23;251.05
2022-08-24;264.95
2022-08-25;291.863
2022-08-26;303.75
2022-08-29;266.693
2022-08-30;239.488
2022-08-31;200.573
2022-09-01;199.96
2022-09-02;185.725
2022-09-05;222.624
2022-09-06;209.04
2022-09-07;199.925
2022-09-08;203.45
2022-09-09;195.344
