"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Italy (IT)","02.11.2017 06:00 - 02.11.2017 07:00 (CET/CEST)","366","n/e","25","9636","3748","281","n/e","n/e","675","1","51","1279","300","n/e","n/e","8648","n/e","32","46","n/e","318"
"Italy (IT)","02.11.2017 07:00 - 02.11.2017 08:00 (CET/CEST)","370","n/e","33","11273","3775","280","n/e","n/e","674","306","1","1675","578","n/e","n/e","9500","n/e","991","45","n/e","337"
"Italy (IT)","02.11.2017 08:00 - 02.11.2017 09:00 (CET/CEST)","370","n/e","25","12228","3440","282","n/e","n/e","674","359","1","1930","725","n/e","n/e","9601","n/e","3092","44","n/e","335"
"Italy (IT)","02.11.2017 09:00 - 02.11.2017 10:00 (CET/CEST)","367","n/e","48","12395","3300","341","n/e","n/e","672","250","1","2082","686","n/e","n/e","9588","n/e","4814","44","n/e","299"
"Italy (IT)","02.11.2017 10:00 - 02.11.2017 11:00 (CET/CEST)","369","n/e","44","12011","3112","288","n/e","n/e","671","151","1","2149","785","n/e","n/e","9852","n/e","5649","45","n/e","378"
"Italy (IT)","02.11.2017 11:00 - 02.11.2017 12:00 (CET/CEST)","370","n/e","60","12412","2916","307","n/e","n/e","672","151","1","2024","745","n/e","n/e","10138","n/e","5891","48","n/e","564"
"Italy (IT)","02.11.2017 12:00 - 02.11.2017 13:00 (CET/CEST)","369","n/e","20","12175","2841","308","n/e","n/e","670","151","73","1824","654","n/e","n/e","10044","n/e","6185","49","n/e","732"
"Italy (IT)","02.11.2017 13:00 - 02.11.2017 14:00 (CET/CEST)","371","n/e","31","12241","2843","353","n/e","n/e","670","49","147","1626","545","n/e","n/e","9944","n/e","5527","46","n/e","934"
"Italy (IT)","02.11.2017 14:00 - 02.11.2017 15:00 (CET/CEST)","372","n/e","48","12227","2888","359","n/e","n/e","669","15","147","1606","487","n/e","n/e","10146","n/e","4600","46","n/e","1164"
"Italy (IT)","02.11.2017 15:00 - 02.11.2017 16:00 (CET/CEST)","365","n/e","32","12436","3149","406","n/e","n/e","670","7","147","1816","584","n/e","n/e","10470","n/e","2399","48","n/e","1251"
