"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Italy (IT)","01.01.2017 00:00 - 01.01.2017 01:00 (CET/CEST)","289","n/e","0","8199","1565","1","n/e","n/e","686","0","375","1860","391","n/e","n/e","12171","n/e","0","29","n/e","1044"
"Italy (IT)","01.01.2017 01:00 - 01.01.2017 02:00 (CET/CEST)","285","n/e","0","8177","1567","0","n/e","n/e","687","0","871","1448","237","n/e","n/e","12057","n/e","0","28","n/e","870"
"Italy (IT)","01.01.2017 02:00 - 01.01.2017 03:00 (CET/CEST)","281","n/e","0","7801","1565","0","n/e","n/e","689","0","929","1212","217","n/e","n/e","11491","n/e","0","28","n/e","740"
"Italy (IT)","01.01.2017 03:00 - 01.01.2017 04:00 (CET/CEST)","281","n/e","0","6298","1559","0","n/e","n/e","689","0","1376","1105","73","n/e","n/e","10372","n/e","0","29","n/e","631"
"Italy (IT)","01.01.2017 04:00 - 01.01.2017 05:00 (CET/CEST)","282","n/e","0","6117","1564","0","n/e","n/e","690","0","1496","1102","71","n/e","n/e","9258","n/e","0","29","n/e","614"
"Italy (IT)","01.01.2017 05:00 - 01.01.2017 06:00 (CET/CEST)","281","n/e","0","6249","1563","0","n/e","n/e","690","0","1593","1080","72","n/e","n/e","9467","n/e","0","30","n/e","577"
"Italy (IT)","01.01.2017 06:00 - 01.01.2017 07:00 (CET/CEST)","283","n/e","0","6214","1560","0","n/e","n/e","690","0","1589","1110","73","n/e","n/e","10263","n/e","0","29","n/e","529"
"Italy (IT)","01.01.2017 07:00 - 01.01.2017 08:00 (CET/CEST)","278","n/e","0","6239","1560","0","n/e","n/e","686","0","1575","1214","96","n/e","n/e","10231","n/e","55","28","n/e","465"
"Italy (IT)","01.01.2017 08:00 - 01.01.2017 09:00 (CET/CEST)","282","n/e","0","5813","1564","0","n/e","n/e","687","0","1654","1353","229","n/e","n/e","9883","n/e","1108","28","n/e","410"
"Italy (IT)","01.01.2017 09:00 - 01.01.2017 10:00 (CET/CEST)","284","n/e","17","5284","1558","4","n/e","n/e","686","0","1540","1521","207","n/e","n/e","9379","n/e","3237","28","n/e","286"
"Italy (IT)","01.01.2017 10:00 - 01.01.2017 11:00 (CET/CEST)","283","n/e","15","5054","1464","17","n/e","n/e","685","0","1158","1611","162","n/e","n/e","8968","n/e","5316","28","n/e","245"
"Italy (IT)","01.01.2017 11:00 - 01.01.2017 12:00 (CET/CEST)","285","n/e","30","5111","1518","30","n/e","n/e","683","0","1153","1530","112","n/e","n/e","8954","n/e","6368","29","n/e","298"
"Italy (IT)","01.01.2017 12:00 - 01.01.2017 13:00 (CET/CEST)","283","n/e","0","5646","1433","53","n/e","n/e","682","0","1131","1480","179","n/e","n/e","9733","n/e","6506","30","n/e","426"
"Italy (IT)","01.01.2017 13:00 - 01.01.2017 14:00 (CET/CEST)","282","n/e","1","5375","1361","59","n/e","n/e","681","0","1132","1272","155","n/e","n/e","9288","n/e","5812","28","n/e","587"
"Italy (IT)","01.01.2017 14:00 - 01.01.2017 15:00 (CET/CEST)","281","n/e","3","5333","1317","59","n/e","n/e","683","0","1130","1220","147","n/e","n/e","9367","n/e","3861","27","n/e","666"
"Italy (IT)","01.01.2017 15:00 - 01.01.2017 16:00 (CET/CEST)","282","n/e","5","5968","1556","59","n/e","n/e","684","0","988","1231","162","n/e","n/e","10619","n/e","1652","28","n/e","738"
"Italy (IT)","01.01.2017 16:00 - 01.01.2017 17:00 (CET/CEST)","281","n/e","3","7069","1568","103","n/e","n/e","684","6","330","1576","252","n/e","n/e","11828","n/e","163","29","n/e","959"
"Italy (IT)","01.01.2017 17:00 - 01.01.2017 18:00 (CET/CEST)","281","n/e","19","8304","1572","67","n/e","n/e","684","496","6","1874","384","n/e","n/e","12517","n/e","0","28","n/e","1206"
"Italy (IT)","01.01.2017 18:00 - 01.01.2017 19:00 (CET/CEST)","283","n/e","40","8489","1568","59","n/e","n/e","683","681","6","2759","635","n/e","n/e","12780","n/e","0","25","n/e","1341"
"Italy (IT)","01.01.2017 19:00 - 01.01.2017 20:00 (CET/CEST)","279","n/e","50","8534","1565","62","n/e","n/e","684","1038","6","3116","615","n/e","n/e","13009","n/e","0","26","n/e","1330"
"Italy (IT)","01.01.2017 20:00 - 01.01.2017 21:00 (CET/CEST)","278","n/e","56","8587","1567","85","n/e","n/e","685","930","6","2980","649","n/e","n/e","12997","n/e","0","28","n/e","1348"
"Italy (IT)","01.01.2017 21:00 - 01.01.2017 22:00 (CET/CEST)","280","n/e","59","8774","1560","67","n/e","n/e","684","65","6","2297","583","n/e","n/e","12776","n/e","0","27","n/e","1505"
"Italy (IT)","01.01.2017 22:00 - 01.01.2017 23:00 (CET/CEST)","281","n/e","41","8847","1558","66","n/e","n/e","685","0","217","1819","367","n/e","n/e","12601","n/e","0","27","n/e","1549"
"Italy (IT)","01.01.2017 23:00 - 02.01.2017 00:00 (CET/CEST)","270","n/e","65","8264","1556","61","n/e","n/e","684","0","400","1441","320","n/e","n/e","11799","n/e","0","27","n/e","1523"
"Italy (IT)","02.01.2017 00:00 - 02.01.2017 01:00 (CET/CEST)","197","n/e","0","5282","1556","50","n/e","n/e","506","0","297","1082","249","n/e","n/e","11016","n/e","0","27","n/e","1618"
"Italy (IT)","02.01.2017 01:00 - 02.01.2017 02:00 (CET/CEST)","267","n/e","0","5668","1533","81","n/e","n/e","670","0","1247","1141","125","n/e","n/e","10618","n/e","1","27","n/e","1594"
"Italy (IT)","02.01.2017 02:00 - 02.01.2017 03:00 (CET/CEST)","197","n/e","0","3931","1514","47","n/e","n/e","506","0","1129","794","59","n/e","n/e","10345","n/e","0","28","n/e","1413"
"Italy (IT)","02.01.2017 03:00 - 02.01.2017 04:00 (CET/CEST)","255","n/e","0","5251","1477","65","n/e","n/e","672","0","1674","1001","81","n/e","n/e","9465","n/e","1","28","n/e","1350"
"Italy (IT)","02.01.2017 04:00 - 02.01.2017 05:00 (CET/CEST)","258","n/e","0","5386","1446","65","n/e","n/e","671","0","1672","905","81","n/e","n/e","9588","n/e","0","31","n/e","1348"
"Italy (IT)","02.01.2017 05:00 - 02.01.2017 06:00 (CET/CEST)","262","n/e","0","5899","1448","67","n/e","n/e","671","0","1577","934","85","n/e","n/e","10392","n/e","0","31","n/e","1378"
"Italy (IT)","02.01.2017 06:00 - 02.01.2017 07:00 (CET/CEST)","261","n/e","0","7299","1449","80","n/e","n/e","670","0","622","1094","230","n/e","n/e","11959","n/e","0","30","n/e","1288"
"Italy (IT)","02.01.2017 07:00 - 02.01.2017 08:00 (CET/CEST)","271","n/e","0","8816","1415","82","n/e","n/e","670","120","30","1616","365","n/e","n/e","13648","n/e","60","30","n/e","1191"
"Italy (IT)","02.01.2017 08:00 - 02.01.2017 09:00 (CET/CEST)","211","n/e","0","7145","1317","65","n/e","n/e","507","364","3","2000","675","n/e","n/e","14271","n/e","992","34","n/e","1061"
"Italy (IT)","02.01.2017 09:00 - 02.01.2017 10:00 (CET/CEST)","277","n/e","0","10194","965","151","n/e","n/e","655","737","5","2573","837","n/e","n/e","14407","n/e","2897","36","n/e","1014"
"Italy (IT)","02.01.2017 10:00 - 02.01.2017 11:00 (CET/CEST)","280","n/e","0","9911","966","129","n/e","n/e","653","577","5","2313","653","n/e","n/e","13976","n/e","4693","38","n/e","1141"
"Italy (IT)","02.01.2017 11:00 - 02.01.2017 12:00 (CET/CEST)","291","n/e","0","9492","979","119","n/e","n/e","652","219","5","1873","615","n/e","n/e","14053","n/e","5295","41","n/e","1457"
"Italy (IT)","02.01.2017 12:00 - 02.01.2017 13:00 (CET/CEST)","294","n/e","0","9272","1083","171","n/e","n/e","652","169","5","1864","608","n/e","n/e","13994","n/e","5451","39","n/e","1735"
"Italy (IT)","02.01.2017 13:00 - 02.01.2017 14:00 (CET/CEST)","297","n/e","0","8806","1190","221","n/e","n/e","651","169","5","1802","602","n/e","n/e","13859","n/e","5051","40","n/e","1968"
"Italy (IT)","02.01.2017 14:00 - 02.01.2017 15:00 (CET/CEST)","294","n/e","0","9078","1191","279","n/e","n/e","667","169","5","1711","618","n/e","n/e","14268","n/e","3109","41","n/e","2271"
"Italy (IT)","02.01.2017 15:00 - 02.01.2017 16:00 (CET/CEST)","298","n/e","0","9762","1171","352","n/e","n/e","651","172","5","1908","743","n/e","n/e","14830","n/e","1405","39","n/e","2423"
"Italy (IT)","02.01.2017 16:00 - 02.01.2017 17:00 (CET/CEST)","309","n/e","0","10123","1314","359","n/e","n/e","654","745","63","2571","890","n/e","n/e","14889","n/e","181","40","n/e","2708"
"Italy (IT)","02.01.2017 17:00 - 02.01.2017 18:00 (CET/CEST)","305","n/e","0","10787","1420","371","n/e","n/e","667","1278","","3379","1058","n/e","n/e","15440","n/e","0","38","n/e","2910"
"Italy (IT)","02.01.2017 18:00 - 02.01.2017 19:00 (CET/CEST)","299","n/e","0","10810","1446","366","n/e","n/e","668","1279","","3780","1361","n/e","n/e","15385","n/e","0","42","n/e","3117"
"Italy (IT)","02.01.2017 19:00 - 02.01.2017 20:00 (CET/CEST)","220","n/e","0","8049","1446","278","n/e","n/e","508","886","3","2981","1059","n/e","n/e","15573","n/e","0","40","n/e","3189"
"Italy (IT)","02.01.2017 20:00 - 02.01.2017 21:00 (CET/CEST)","225","n/e","0","7127","1412","305","n/e","n/e","516","961","2","2494","749","n/e","n/e","15068","n/e","0","37","n/e","3300"
"Italy (IT)","02.01.2017 21:00 - 02.01.2017 22:00 (CET/CEST)","301","n/e","0","9794","1411","401","n/e","n/e","668","350","73","2377","842","n/e","n/e","14847","n/e","0","40","n/e","3354"
"Italy (IT)","02.01.2017 22:00 - 02.01.2017 23:00 (CET/CEST)","300","n/e","0","8991","1442","304","n/e","n/e","667","150","6","1755","604","n/e","n/e","13593","n/e","0","40","n/e","3454"
"Italy (IT)","02.01.2017 23:00 - 03.01.2017 00:00 (CET/CEST)","301","n/e","0","7771","1474","332","n/e","n/e","668","149","13","1496","261","n/e","n/e","12632","n/e","0","41","n/e","3305"
"Italy (IT)","03.01.2017 00:00 - 03.01.2017 01:00 (CET/CEST)","243","n/e","0","7463","1527","339","n/e","n/e","680","0","212","1452","244","n/e","n/e","11525","n/e","0","38","n/e","3074"
"Italy (IT)","03.01.2017 01:00 - 03.01.2017 02:00 (CET/CEST)","302","n/e","2","7434","1512","348","n/e","n/e","680","0","1100","1279","95","n/e","n/e","10821","n/e","0","38","n/e","2962"
"Italy (IT)","03.01.2017 02:00 - 03.01.2017 03:00 (CET/CEST)","303","n/e","0","7244","1361","274","n/e","n/e","680","0","1088","1196","89","n/e","n/e","10076","n/e","0","42","n/e","2984"
"Italy (IT)","03.01.2017 03:00 - 03.01.2017 04:00 (CET/CEST)","246","n/e","0","6980","1320","270","n/e","n/e","678","0","851","1165","86","n/e","n/e","9642","n/e","0","42","n/e","2993"
"Italy (IT)","03.01.2017 04:00 - 03.01.2017 05:00 (CET/CEST)","300","n/e","6","6621","1222","142","n/e","n/e","679","0","1176","1189","81","n/e","n/e","9774","n/e","0","41","n/e","3237"
"Italy (IT)","03.01.2017 05:00 - 03.01.2017 06:00 (CET/CEST)","297","n/e","0","7423","1155","161","n/e","n/e","679","0","1168","1212","84","n/e","n/e","11054","n/e","0","39","n/e","3397"
"Italy (IT)","03.01.2017 06:00 - 03.01.2017 07:00 (CET/CEST)","300","n/e","7","8586","1226","144","n/e","n/e","680","127","6","1403","268","n/e","n/e","11882","n/e","0","39","n/e","3655"
"Italy (IT)","03.01.2017 07:00 - 03.01.2017 08:00 (CET/CEST)","302","n/e","0","10145","1527","189","n/e","n/e","679","1167","6","1577","384","n/e","n/e","12747","n/e","30","40","n/e","3926"
"Italy (IT)","03.01.2017 08:00 - 03.01.2017 09:00 (CET/CEST)","295","n/e","14","11454","1600","235","n/e","n/e","680","1303","6","2221","620","n/e","n/e","13650","n/e","694","38","n/e","4022"
"Italy (IT)","03.01.2017 09:00 - 03.01.2017 10:00 (CET/CEST)","294","n/e","24","12048","1601","229","n/e","n/e","668","751","6","2712","934","n/e","n/e","14277","n/e","1935","39","n/e","3997"
"Italy (IT)","03.01.2017 10:00 - 03.01.2017 11:00 (CET/CEST)","291","n/e","28","12178","1600","204","n/e","n/e","661","622","6","2567","867","n/e","n/e","13717","n/e","3130","39","n/e","3992"
"Italy (IT)","03.01.2017 11:00 - 03.01.2017 12:00 (CET/CEST)","290","n/e","36","12110","1601","196","n/e","n/e","633","987","6","2378","776","n/e","n/e","13204","n/e","4553","41","n/e","3550"
"Italy (IT)","03.01.2017 12:00 - 03.01.2017 13:00 (CET/CEST)","294","n/e","23","12580","1592","214","n/e","n/e","684","500","6","2183","593","n/e","n/e","13080","n/e","4782","38","n/e","3277"
"Italy (IT)","03.01.2017 13:00 - 03.01.2017 14:00 (CET/CEST)","295","n/e","34","12430","1559","224","n/e","n/e","685","214","6","2053","525","n/e","n/e","13087","n/e","4411","38","n/e","3084"
"Italy (IT)","03.01.2017 14:00 - 03.01.2017 15:00 (CET/CEST)","298","n/e","22","12830","1480","196","n/e","n/e","682","336","6","1999","567","n/e","n/e","14052","n/e","3066","43","n/e","2883"
"Italy (IT)","03.01.2017 15:00 - 03.01.2017 16:00 (CET/CEST)","314","n/e","14","13221","1473","195","n/e","n/e","681","877","6","2148","824","n/e","n/e","15115","n/e","1364","40","n/e","2761"
"Italy (IT)","03.01.2017 16:00 - 03.01.2017 17:00 (CET/CEST)","307","n/e","18","13692","1533","216","n/e","n/e","681","928","6","2538","1033","n/e","n/e","15959","n/e","151","41","n/e","2469"
"Italy (IT)","03.01.2017 17:00 - 03.01.2017 18:00 (CET/CEST)","302","n/e","13","14062","1577","219","n/e","n/e","684","1097","7","3792","1255","n/e","n/e","16892","n/e","0","39","n/e","2172"
"Italy (IT)","03.01.2017 18:00 - 03.01.2017 19:00 (CET/CEST)","304","n/e","34","14138","1532","196","n/e","n/e","683","919","83","4232","1417","n/e","n/e","16508","n/e","0","41","n/e","2355"
"Italy (IT)","03.01.2017 19:00 - 03.01.2017 20:00 (CET/CEST)","304","n/e","26","13715","1468","226","n/e","n/e","684","1082","73","4146","1323","n/e","n/e","15955","n/e","0","42","n/e","2597"
"Italy (IT)","03.01.2017 20:00 - 03.01.2017 21:00 (CET/CEST)","243","n/e","2","12551","1461","209","n/e","n/e","685","637","3","3475","1050","n/e","n/e","15313","n/e","0","42","n/e","3037"
"Italy (IT)","03.01.2017 21:00 - 03.01.2017 22:00 (CET/CEST)","300","n/e","13","11896","1468","211","n/e","n/e","687","692","5","2499","812","n/e","n/e","14997","n/e","0","41","n/e","3444"
"Italy (IT)","03.01.2017 22:00 - 03.01.2017 23:00 (CET/CEST)","298","n/e","7","10430","1473","236","n/e","n/e","686","608","82","2149","667","n/e","n/e","13734","n/e","0","40","n/e","3420"
"Italy (IT)","03.01.2017 23:00 - 04.01.2017 00:00 (CET/CEST)","294","n/e","14","9858","1584","232","n/e","n/e","687","141","6","1826","426","n/e","n/e","12426","n/e","0","42","n/e","3015"
"Italy (IT)","04.01.2017 00:00 - 04.01.2017 01:00 (CET/CEST)","302","n/e","3","8485","1558","72","n/e","n/e","685","0","812","1585","499","n/e","n/e","11606","n/e","0","40","n/e","2790"
"Italy (IT)","04.01.2017 01:00 - 04.01.2017 02:00 (CET/CEST)","303","n/e","9","7990","1208","59","n/e","n/e","672","0","995","1506","321","n/e","n/e","11241","n/e","0","39","n/e","2541"
"Italy (IT)","04.01.2017 02:00 - 04.01.2017 03:00 (CET/CEST)","298","n/e","2","7915","973","59","n/e","n/e","676","0","888","1410","227","n/e","n/e","10879","n/e","0","42","n/e","2260"
"Italy (IT)","04.01.2017 03:00 - 04.01.2017 04:00 (CET/CEST)","300","n/e","0","7326","946","59","n/e","n/e","689","0","860","1281","110","n/e","n/e","10310","n/e","0","42","n/e","2069"
"Italy (IT)","04.01.2017 04:00 - 04.01.2017 05:00 (CET/CEST)","299","n/e","8","7141","1061","59","n/e","n/e","689","0","860","1213","107","n/e","n/e","10488","n/e","0","41","n/e","1925"
"Italy (IT)","04.01.2017 05:00 - 04.01.2017 06:00 (CET/CEST)","298","n/e","0","8330","1362","59","n/e","n/e","690","0","811","1232","219","n/e","n/e","11722","n/e","0","41","n/e","1809"
"Italy (IT)","04.01.2017 06:00 - 04.01.2017 07:00 (CET/CEST)","300","n/e","27","9667","1396","69","n/e","n/e","690","0","69","1479","277","n/e","n/e","12382","n/e","0","39","n/e","1678"
"Italy (IT)","04.01.2017 07:00 - 04.01.2017 08:00 (CET/CEST)","298","n/e","31","11382","1444","84","n/e","n/e","683","884","1","1854","659","n/e","n/e","14417","n/e","45","39","n/e","1597"
"Italy (IT)","04.01.2017 08:00 - 04.01.2017 09:00 (CET/CEST)","297","n/e","35","12196","1558","157","n/e","n/e","683","709","1","2894","930","n/e","n/e","15124","n/e","1024","41","n/e","1392"
"Italy (IT)","04.01.2017 09:00 - 04.01.2017 10:00 (CET/CEST)","301","n/e","20","12036","1617","211","n/e","n/e","684","819","1","3305","1233","n/e","n/e","15495","n/e","2855","43","n/e","1128"
"Italy (IT)","04.01.2017 10:00 - 04.01.2017 11:00 (CET/CEST)","301","n/e","42","11545","1628","256","n/e","n/e","676","586","7","2999","1003","n/e","n/e","15019","n/e","4632","43","n/e","948"
"Italy (IT)","04.01.2017 11:00 - 04.01.2017 12:00 (CET/CEST)","299","n/e","109","10864","1625","355","n/e","n/e","678","109","7","2678","880","n/e","n/e","14998","n/e","5821","44","n/e","913"
"Italy (IT)","04.01.2017 12:00 - 04.01.2017 13:00 (CET/CEST)","303","n/e","46","10972","1620","350","n/e","n/e","679","0","160","2338","793","n/e","n/e","14716","n/e","5860","43","n/e","991"
"Italy (IT)","04.01.2017 13:00 - 04.01.2017 14:00 (CET/CEST)","302","n/e","39","11198","1616","349","n/e","n/e","679","0","12","2209","645","n/e","n/e","13737","n/e","5366","43","n/e","1211"
"Italy (IT)","04.01.2017 14:00 - 04.01.2017 15:00 (CET/CEST)","299","n/e","33","11704","1617","331","n/e","n/e","680","238","7","2215","708","n/e","n/e","14267","n/e","3573","42","n/e","1524"
"Italy (IT)","04.01.2017 15:00 - 04.01.2017 16:00 (CET/CEST)","299","n/e","30","12476","1618","332","n/e","n/e","686","214","99","2199","744","n/e","n/e","15015","n/e","1534","45","n/e","2016"
"Italy (IT)","04.01.2017 16:00 - 04.01.2017 17:00 (CET/CEST)","298","n/e","36","12844","1615","383","n/e","n/e","688","549","86","2732","754","n/e","n/e","15587","n/e","226","44","n/e","2326"
"Italy (IT)","04.01.2017 17:00 - 04.01.2017 18:00 (CET/CEST)","299","n/e","6","12771","1618","338","n/e","n/e","689","1409","","3456","992","n/e","n/e","16130","n/e","0","45","n/e","3055"
"Italy (IT)","04.01.2017 18:00 - 04.01.2017 19:00 (CET/CEST)","301","n/e","13","12632","1615","330","n/e","n/e","688","1119","3","3731","1382","n/e","n/e","15747","n/e","0","43","n/e","4060"
"Italy (IT)","04.01.2017 19:00 - 04.01.2017 20:00 (CET/CEST)","293","n/e","8","12417","1617","354","n/e","n/e","689","1256","6","3475","1327","n/e","n/e","15604","n/e","0","43","n/e","4329"
"Italy (IT)","04.01.2017 20:00 - 04.01.2017 21:00 (CET/CEST)","297","n/e","1","11894","1614","398","n/e","n/e","687","658","6","3087","962","n/e","n/e","15276","n/e","0","45","n/e","4475"
"Italy (IT)","04.01.2017 21:00 - 04.01.2017 22:00 (CET/CEST)","301","n/e","0","10931","1604","361","n/e","n/e","687","326","6","2501","685","n/e","n/e","14470","n/e","0","44","n/e","4846"
"Italy (IT)","04.01.2017 22:00 - 04.01.2017 23:00 (CET/CEST)","301","n/e","1","9606","1402","378","n/e","n/e","687","154","132","1956","505","n/e","n/e","13399","n/e","0","44","n/e","5261"
"Italy (IT)","04.01.2017 23:00 - 05.01.2017 00:00 (CET/CEST)","299","n/e","16","8602","1131","233","n/e","n/e","688","126","403","1711","212","n/e","n/e","11521","n/e","0","47","n/e","5426"
"Italy (IT)","05.01.2017 00:00 - 05.01.2017 01:00 (CET/CEST)","302","n/e","13","7549","900","74","n/e","n/e","686","0","1180","1522","187","n/e","n/e","9932","n/e","0","45","n/e","5558"
"Italy (IT)","05.01.2017 01:00 - 05.01.2017 02:00 (CET/CEST)","303","n/e","5","6969","820","68","n/e","n/e","684","0","1186","1324","69","n/e","n/e","8737","n/e","0","47","n/e","5588"
"Italy (IT)","05.01.2017 02:00 - 05.01.2017 03:00 (CET/CEST)","303","n/e","8","7112","813","59","n/e","n/e","684","0","1428","1189","66","n/e","n/e","8580","n/e","0","48","n/e","5325"
"Italy (IT)","05.01.2017 03:00 - 05.01.2017 04:00 (CET/CEST)","302","n/e","8","6880","812","58","n/e","n/e","684","0","1429","1164","65","n/e","n/e","8325","n/e","0","47","n/e","4972"
"Italy (IT)","05.01.2017 04:00 - 05.01.2017 05:00 (CET/CEST)","299","n/e","24","6643","827","58","n/e","n/e","685","0","1057","1131","70","n/e","n/e","8110","n/e","0","47","n/e","4511"
"Italy (IT)","05.01.2017 05:00 - 05.01.2017 06:00 (CET/CEST)","296","n/e","16","7215","956","61","n/e","n/e","687","0","702","1142","70","n/e","n/e","8817","n/e","0","47","n/e","3874"
"Italy (IT)","05.01.2017 06:00 - 05.01.2017 07:00 (CET/CEST)","294","n/e","11","8223","1228","77","n/e","n/e","689","135","11","1462","124","n/e","n/e","9650","n/e","0","47","n/e","4246"
"Italy (IT)","05.01.2017 07:00 - 05.01.2017 08:00 (CET/CEST)","290","n/e","6","9910","1480","87","n/e","n/e","690","338","7","2176","567","n/e","n/e","11807","n/e","64","46","n/e","4389"
"Italy (IT)","05.01.2017 08:00 - 05.01.2017 09:00 (CET/CEST)","290","n/e","5","10832","1584","146","n/e","n/e","692","321","6","2746","928","n/e","n/e","12488","n/e","756","41","n/e","4811"
"Italy (IT)","05.01.2017 09:00 - 05.01.2017 10:00 (CET/CEST)","289","n/e","0","10678","1597","185","n/e","n/e","690","425","6","3057","1381","n/e","n/e","12460","n/e","2237","38","n/e","5233"
"Italy (IT)","05.01.2017 10:00 - 05.01.2017 11:00 (CET/CEST)","273","n/e","0","11074","1433","227","n/e","n/e","683","320","6","2651","1060","n/e","n/e","12212","n/e","3740","35","n/e","5220"
"Italy (IT)","05.01.2017 11:00 - 05.01.2017 12:00 (CET/CEST)","276","n/e","0","10943","1258","209","n/e","n/e","684","209","6","2256","788","n/e","n/e","11760","n/e","4997","36","n/e","5666"
"Italy (IT)","05.01.2017 12:00 - 05.01.2017 13:00 (CET/CEST)","282","n/e","0","10772","1170","243","n/e","n/e","684","202","7","1938","471","n/e","n/e","11513","n/e","5550","37","n/e","5501"
"Italy (IT)","05.01.2017 13:00 - 05.01.2017 14:00 (CET/CEST)","282","n/e","0","10559","1044","217","n/e","n/e","685","204","7","1818","437","n/e","n/e","11335","n/e","4741","37","n/e","5642"
"Italy (IT)","05.01.2017 14:00 - 05.01.2017 15:00 (CET/CEST)","292","n/e","6","10451","1114","196","n/e","n/e","693","449","7","1871","587","n/e","n/e","11846","n/e","2972","35","n/e","5735"
"Italy (IT)","05.01.2017 15:00 - 05.01.2017 16:00 (CET/CEST)","298","n/e","23","10892","1288","195","n/e","n/e","695","394","7","2060","749","n/e","n/e","12436","n/e","1456","33","n/e","5674"
"Italy (IT)","05.01.2017 16:00 - 05.01.2017 17:00 (CET/CEST)","304","n/e","36","11685","1436","205","n/e","n/e","690","974","1","2365","896","n/e","n/e","13362","n/e","215","35","n/e","5467"
"Italy (IT)","05.01.2017 17:00 - 05.01.2017 18:00 (CET/CEST)","303","n/e","72","12664","1548","237","n/e","n/e","692","1364","","4006","1393","n/e","n/e","14356","n/e","0","38","n/e","5242"
"Italy (IT)","05.01.2017 18:00 - 05.01.2017 19:00 (CET/CEST)","305","n/e","118","12518","1587","196","n/e","n/e","692","1378","63","4215","1571","n/e","n/e","14325","n/e","0","38","n/e","5229"
"Italy (IT)","05.01.2017 19:00 - 05.01.2017 20:00 (CET/CEST)","302","n/e","139","12352","1496","196","n/e","n/e","695","1313","85","3654","1240","n/e","n/e","13570","n/e","0","39","n/e","5514"
"Italy (IT)","05.01.2017 20:00 - 05.01.2017 21:00 (CET/CEST)","297","n/e","152","11357","1499","222","n/e","n/e","694","883","85","3176","897","n/e","n/e","13442","n/e","0","40","n/e","5450"
"Italy (IT)","05.01.2017 21:00 - 05.01.2017 22:00 (CET/CEST)","299","n/e","168","10449","1500","154","n/e","n/e","692","466","85","2414","687","n/e","n/e","12688","n/e","0","42","n/e","5430"
"Italy (IT)","05.01.2017 22:00 - 05.01.2017 23:00 (CET/CEST)","300","n/e","138","9257","1587","137","n/e","n/e","694","238","13","1945","531","n/e","n/e","11983","n/e","0","42","n/e","5394"
"Italy (IT)","05.01.2017 23:00 - 06.01.2017 00:00 (CET/CEST)","295","n/e","148","8025","1296","136","n/e","n/e","694","135","7","1736","336","n/e","n/e","10843","n/e","0","39","n/e","5474"
"Italy (IT)","06.01.2017 00:00 - 06.01.2017 01:00 (CET/CEST)","298","n/e","178","6912","1083","12","n/e","n/e","692","68","16","1365","353","n/e","n/e","10285","n/e","0","43","n/e","5609"
"Italy (IT)","06.01.2017 01:00 - 06.01.2017 02:00 (CET/CEST)","301","n/e","176","6159","1099","0","n/e","n/e","691","0","268","1232","70","n/e","n/e","10063","n/e","0","43","n/e","5582"
"Italy (IT)","06.01.2017 02:00 - 06.01.2017 03:00 (CET/CEST)","302","n/e","182","5935","962","0","n/e","n/e","691","0","499","1125","68","n/e","n/e","9646","n/e","0","43","n/e","5496"
"Italy (IT)","06.01.2017 03:00 - 06.01.2017 04:00 (CET/CEST)","302","n/e","196","5651","887","0","n/e","n/e","691","0","825","1102","68","n/e","n/e","9229","n/e","0","43","n/e","5581"
"Italy (IT)","06.01.2017 04:00 - 06.01.2017 05:00 (CET/CEST)","291","n/e","201","5367","831","0","n/e","n/e","691","0","1128","1084","67","n/e","n/e","9224","n/e","0","41","n/e","5588"
"Italy (IT)","06.01.2017 05:00 - 06.01.2017 06:00 (CET/CEST)","304","n/e","211","5991","852","0","n/e","n/e","691","0","767","1054","69","n/e","n/e","9219","n/e","0","44","n/e","5285"
"Italy (IT)","06.01.2017 06:00 - 06.01.2017 07:00 (CET/CEST)","301","n/e","211","6219","957","0","n/e","n/e","691","0","75","1098","173","n/e","n/e","9493","n/e","0","41","n/e","5343"
"Italy (IT)","06.01.2017 07:00 - 06.01.2017 08:00 (CET/CEST)","299","n/e","218","6596","1137","0","n/e","n/e","691","0","8","1521","250","n/e","n/e","10767","n/e","5","42","n/e","5460"
"Italy (IT)","06.01.2017 08:00 - 06.01.2017 09:00 (CET/CEST)","290","n/e","220","7396","1263","0","n/e","n/e","690","66","7","1785","461","n/e","n/e","11349","n/e","608","43","n/e","5394"
