"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|NO3","01.01.2017 00:00 - 01.01.2017 01:00 (CET)","n/e","n/e","n/e","18","n/e","n/e","n/e","n/e","n/e","n/e","n/e","106","1591","n/e","n/e","5","n/e","n/e","n/e","n/e","217"
"BZN|NO3","01.01.2017 01:00 - 01.01.2017 02:00 (CET)","n/e","n/e","n/e","18","n/e","n/e","n/e","n/e","n/e","n/e","n/e","106","1576","n/e","n/e","5","n/e","n/e","n/e","n/e","172"
"BZN|NO3","01.01.2017 02:00 - 01.01.2017 03:00 (CET)","n/e","n/e","n/e","18","n/e","n/e","n/e","n/e","n/e","n/e","n/e","105","1550","n/e","n/e","4","n/e","n/e","n/e","n/e","139"
"BZN|NO3","01.01.2017 03:00 - 01.01.2017 04:00 (CET)","n/e","n/e","n/e","18","n/e","n/e","n/e","n/e","n/e","n/e","n/e","105","1467","n/e","n/e","4","n/e","n/e","n/e","n/e","86"
"BZN|NO3","01.01.2017 04:00 - 01.01.2017 05:00 (CET)","n/e","n/e","n/e","18","n/e","n/e","n/e","n/e","n/e","n/e","n/e","105","1516","n/e","n/e","4","n/e","n/e","n/e","n/e","126"
"BZN|NO3","01.01.2017 05:00 - 01.01.2017 06:00 (CET)","n/e","n/e","n/e","18","n/e","n/e","n/e","n/e","n/e","n/e","n/e","105","1712","n/e","n/e","4","n/e","n/e","n/e","n/e","211"
"BZN|NO3","01.01.2017 06:00 - 01.01.2017 07:00 (CET)","n/e","n/e","n/e","18","n/e","n/e","n/e","n/e","n/e","n/e","n/e","104","1793","n/e","n/e","4","n/e","n/e","n/e","n/e","281"
"BZN|NO3","01.01.2017 07:00 - 01.01.2017 08:00 (CET)","n/e","n/e","n/e","18","n/e","n/e","n/e","n/e","n/e","n/e","n/e","104","1814","n/e","n/e","4","n/e","n/e","n/e","n/e","314"
"BZN|NO3","01.01.2017 08:00 - 01.01.2017 09:00 (CET)","n/e","n/e","n/e","18","n/e","n/e","n/e","n/e","n/e","n/e","n/e","104","1810","n/e","n/e","4","n/e","n/e","n/e","n/e","325"
"BZN|NO3","01.01.2017 09:00 - 01.01.2017 10:00 (CET)","n/e","n/e","n/e","18","n/e","n/e","n/e","n/e","n/e","n/e","n/e","104","1794","n/e","n/e","4","n/e","n/e","n/e","n/e","327"
"BZN|NO3","01.01.2017 10:00 - 01.01.2017 11:00 (CET)","n/e","n/e","n/e","18","n/e","n/e","n/e","n/e","n/e","n/e","n/e","105","1900","n/e","n/e","4","n/e","n/e","n/e","n/e","326"
