"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|NO4","01.01.2017 00:00 - 01.01.2017 01:00 (CET)","n/e","n/e","n/e","199","n/e","n/e","n/e","n/e","n/e","n/e","n/e","51","1614","n/e","n/e","0","n/e","n/e","n/e","n/e","83"
"BZN|NO4","01.01.2017 01:00 - 01.01.2017 02:00 (CET)","n/e","n/e","n/e","202","n/e","n/e","n/e","n/e","n/e","n/e","n/e","51","1584","n/e","n/e","0","n/e","n/e","n/e","n/e","92"
"BZN|NO4","01.01.2017 02:00 - 01.01.2017 03:00 (CET)","n/e","n/e","n/e","198","n/e","n/e","n/e","n/e","n/e","n/e","n/e","50","1561","n/e","n/e","0","n/e","n/e","n/e","n/e","126"
"BZN|NO4","01.01.2017 03:00 - 01.01.2017 04:00 (CET)","n/e","n/e","n/e","198","n/e","n/e","n/e","n/e","n/e","n/e","n/e","51","1466","n/e","n/e","0","n/e","n/e","n/e","n/e","124"
"BZN|NO4","01.01.2017 04:00 - 01.01.2017 05:00 (CET)","n/e","n/e","n/e","201","n/e","n/e","n/e","n/e","n/e","n/e","n/e","51","1570","n/e","n/e","0","n/e","n/e","n/e","n/e","121"
"BZN|NO4","01.01.2017 05:00 - 01.01.2017 06:00 (CET)","n/e","n/e","n/e","196","n/e","n/e","n/e","n/e","n/e","n/e","n/e","51","1681","n/e","n/e","0","n/e","n/e","n/e","n/e","120"
"BZN|NO4","01.01.2017 06:00 - 01.01.2017 07:00 (CET)","n/e","n/e","n/e","200","n/e","n/e","n/e","n/e","n/e","n/e","n/e","51","2059","n/e","n/e","0","n/e","n/e","n/e","n/e","105"
"BZN|NO4","01.01.2017 07:00 - 01.01.2017 08:00 (CET)","n/e","n/e","n/e","197","n/e","n/e","n/e","n/e","n/e","n/e","n/e","51","2216","n/e","n/e","0","n/e","n/e","n/e","n/e","93"
"BZN|NO4","01.01.2017 08:00 - 01.01.2017 09:00 (CET)","n/e","n/e","n/e","197","n/e","n/e","n/e","n/e","n/e","n/e","n/e","51","2453","n/e","n/e","0","n/e","n/e","n/e","n/e","96"
"BZN|NO4","01.01.2017 09:00 - 01.01.2017 10:00 (CET)","n/e","n/e","n/e","192","n/e","n/e","n/e","n/e","n/e","n/e","n/e","52","2370","n/e","n/e","1","n/e","n/e","n/e","n/e","106"
"BZN|NO4","01.01.2017 10:00 - 01.01.2017 11:00 (CET)","n/e","n/e","n/e","190","n/e","n/e","n/e","n/e","n/e","n/e","n/e","52","3074","n/e","n/e","1","n/e","n/e","n/e","n/e","104"
"BZN|NO4","01.01.2017 11:00 - 01.01.2017 12:00 (CET)","n/e","n/e","n/e","188","n/e","n/e","n/e","n/e","n/e","n/e","n/e","52","3362","n/e","n/e","1","n/e","n/e","n/e","n/e","100"
"BZN|NO4","01.01.2017 12:00 - 01.01.2017 13:00 (CET)","n/e","n/e","n/e","186","n/e","n/e","n/e","n/e","n/e","n/e","n/e","52","3508","n/e","n/e","1","n/e","n/e","n/e","n/e","76"
"BZN|NO4","01.01.2017 13:00 - 01.01.2017 14:00 (CET)","n/e","n/e","n/e","186","n/e","n/e","n/e","n/e","n/e","n/e","n/e","51","3565","n/e","n/e","1","n/e","n/e","n/e","n/e","68"
"BZN|NO4","01.01.2017 14:00 - 01.01.2017 15:00 (CET)","n/e","n/e","n/e","183","n/e","n/e","n/e","n/e","n/e","n/e","n/e","51","3613","n/e","n/e","1","n/e","n/e","n/e","n/e","63"
"BZN|NO4","01.01.2017 15:00 - 01.01.2017 16:00 (CET)","n/e","n/e","n/e","182","n/e","n/e","n/e","n/e","n/e","n/e","n/e","51","3626","n/e","n/e","1","n/e","n/e","n/e","n/e","65"
"BZN|NO4","01.01.2017 16:00 - 01.01.2017 17:00 (CET)","n/e","n/e","n/e","182","n/e","n/e","n/e","n/e","n/e","n/e","n/e","51","3554","n/e","n/e","1","n/e","n/e","n/e","n/e","67"
"BZN|NO4","01.01.2017 17:00 - 01.01.2017 18:00 (CET)","n/e","n/e","n/e","186","n/e","n/e","n/e","n/e","n/e","n/e","n/e","51","3582","n/e","n/e","1","n/e","n/e","n/e","n/e","65"
"BZN|NO4","01.01.2017 18:00 - 01.01.2017 19:00 (CET)","n/e","n/e","n/e","189","n/e","n/e","n/e","n/e","n/e","n/e","n/e","50","3574","n/e","n/e","1","n/e","n/e","n/e","n/e","45"
"BZN|NO4","01.01.2017 19:00 - 01.01.2017 20:00 (CET)","n/e","n/e","n/e","189","n/e","n/e","n/e","n/e","n/e","n/e","n/e","50","3575","n/e","n/e","1","n/e","n/e","n/e","n/e","43"
"BZN|NO4","01.01.2017 20:00 - 01.01.2017 21:00 (CET)","n/e","n/e","n/e","192","n/e","n/e","n/e","n/e","n/e","n/e","n/e","50","3569","n/e","n/e","1","n/e","n/e","n/e","n/e","30"
"BZN|NO4","01.01.2017 21:00 - 01.01.2017 22:00 (CET)","n/e","n/e","n/e","189","n/e","n/e","n/e","n/e","n/e","n/e","n/e","50","3574","n/e","n/e","1","n/e","n/e","n/e","n/e","41"
"BZN|NO4","01.01.2017 22:00 - 01.01.2017 23:00 (CET)","n/e","n/e","n/e","191","n/e","n/e","n/e","n/e","n/e","n/e","n/e","49","3567","n/e","n/e","1","n/e","n/e","n/e","n/e","50"
