"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|NO2","01.01.2017 00:00 - 01.01.2017 01:00 (CET)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","240","3989","n/e","n/e","10","n/e","n/e","n/e","n/e","69"
"BZN|NO2","01.01.2017 01:00 - 01.01.2017 02:00 (CET)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","239","3937","n/e","n/e","10","n/e","n/e","n/e","n/e","63"
"BZN|NO2","01.01.2017 02:00 - 01.01.2017 03:00 (CET)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","239","3900","n/e","n/e","10","n/e","n/e","n/e","n/e","58"
"BZN|NO2","01.01.2017 03:00 - 01.01.2017 04:00 (CET)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","241","3813","n/e","n/e","10","n/e","n/e","n/e","n/e","55"
"BZN|NO2","01.01.2017 04:00 - 01.01.2017 05:00 (CET)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","241","3792","n/e","n/e","10","n/e","n/e","n/e","n/e","50"
"BZN|NO2","01.01.2017 05:00 - 01.01.2017 06:00 (CET)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","241","3888","n/e","n/e","10","n/e","n/e","n/e","n/e","48"
"BZN|NO2","01.01.2017 06:00 - 01.01.2017 07:00 (CET)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","238","4008","n/e","n/e","10","n/e","n/e","n/e","n/e","50"
"BZN|NO2","01.01.2017 07:00 - 01.01.2017 08:00 (CET)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","239","3803","n/e","n/e","10","n/e","n/e","n/e","n/e","52"
"BZN|NO2","01.01.2017 08:00 - 01.01.2017 09:00 (CET)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","239","3780","n/e","n/e","10","n/e","n/e","n/e","n/e","52"
"BZN|NO2","01.01.2017 09:00 - 01.01.2017 10:00 (CET)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","241","4382","n/e","n/e","10","n/e","n/e","n/e","n/e","53"
"BZN|NO2","01.01.2017 10:00 - 01.01.2017 11:00 (CET)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","242","4705","n/e","n/e","10","n/e","n/e","n/e","n/e","58"
"BZN|NO2","01.01.2017 11:00 - 01.01.2017 12:00 (CET)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","243","4739","n/e","n/e","10","n/e","n/e","n/e","n/e","75"
"BZN|NO2","01.01.2017 12:00 - 01.01.2017 13:00 (CET)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","247","4801","n/e","n/e","10","n/e","n/e","n/e","n/e","95"
"BZN|NO2","01.01.2017 13:00 - 01.01.2017 14:00 (CET)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","246","4984","n/e","n/e","10","n/e","n/e","n/e","n/e","107"
"BZN|NO2","01.01.2017 14:00 - 01.01.2017 15:00 (CET)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","246","5340","n/e","n/e","10","n/e","n/e","n/e","n/e","115"
"BZN|NO2","01.01.2017 15:00 - 01.01.2017 16:00 (CET)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","246","6375","n/e","n/e","10","n/e","n/e","n/e","n/e","123"
"BZN|NO2","01.01.2017 16:00 - 01.01.2017 17:00 (CET)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","245","7036","n/e","n/e","10","n/e","n/e","n/e","n/e","138"
"BZN|NO2","01.01.2017 17:00 - 01.01.2017 18:00 (CET)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","246","7286","n/e","n/e","10","n/e","n/e","n/e","n/e","151"
"BZN|NO2","01.01.2017 18:00 - 01.01.2017 19:00 (CET)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","245","7035","n/e","n/e","10","n/e","n/e","n/e","n/e","172"
"BZN|NO2","01.01.2017 19:00 - 01.01.2017 20:00 (CET)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","244","6672","n/e","n/e","10","n/e","n/e","n/e","n/e","158"
"BZN|NO2","01.01.2017 20:00 - 01.01.2017 21:00 (CET)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","243","6043","n/e","n/e","10","n/e","n/e","n/e","n/e","151"
"BZN|NO2","01.01.2017 21:00 - 01.01.2017 22:00 (CET)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","242","5772","n/e","n/e","10","n/e","n/e","n/e","n/e","134"
"BZN|NO2","01.01.2017 22:00 - 01.01.2017 23:00 (CET)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","242","5225","n/e","n/e","10","n/e","n/e","n/e","n/e","107"
"BZN|NO2","01.01.2017 23:00 - 02.01.2017 00:00 (CET)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","239","4957","n/e","n/e","10","n/e","n/e","n/e","n/e","84"
"BZN|NO2","02.01.2017 00:00 - 02.01.2017 01:00 (CET)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","229","4768","n/e","n/e","10","n/e","n/e","n/e","n/e","82"
"BZN|NO2","02.01.2017 01:00 - 02.01.2017 02:00 (CET)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","229","4648","n/e","n/e","10","n/e","n/e","n/e","n/e","71"
"BZN|NO2","02.01.2017 02:00 - 02.01.2017 03:00 (CET)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","229","4387","n/e","n/e","10","n/e","n/e","n/e","n/e","74"
