"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|NO5","01.01.2017 20:00 - 01.01.2017 21:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","52","4620","n/e","n/e","19","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2017 21:00 - 01.01.2017 22:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","51","4363","n/e","n/e","19","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2017 22:00 - 01.01.2017 23:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","50","4022","n/e","n/e","18","n/e","n/e","n/e","n/e","0"
"BZN|NO5","01.01.2017 23:00 - 02.01.2017 00:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","50","3701","n/e","n/e","18","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2017 00:00 - 02.01.2017 01:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","45","3119","n/e","n/e","18","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2017 01:00 - 02.01.2017 02:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","45","2731","n/e","n/e","17","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2017 02:00 - 02.01.2017 03:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","44","2545","n/e","n/e","17","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2017 03:00 - 02.01.2017 04:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","44","2604","n/e","n/e","17","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2017 04:00 - 02.01.2017 05:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","44","3014","n/e","n/e","17","n/e","n/e","n/e","n/e","0"
"BZN|NO5","02.01.2017 05:00 - 02.01.2017 06:00 (CET)","n/e","n/e","n/e","99","n/e","n/e","n/e","n/e","n/e","n/e","n/e","43","3902","n/e","n/e","17","n/e","n/e","n/e","n/e","0"
