"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|FR","29.06.2017 15:00 - 29.06.2017 16:00 (CET)","294","n/e","n/e","2461","1118","273","n/e","n/e","n/e","43","","4624","1324","n/e","38894","n/e","n/e","3256","254","n/e","3985"
"BZN|FR","29.06.2017 16:00 - 29.06.2017 17:00 (CET)","284","n/e","n/e","2419","1101","273","n/e","n/e","n/e","285","","4742","1255","n/e","38936","n/e","n/e","2996","262","n/e","3946"
"BZN|FR","29.06.2017 17:00 - 29.06.2017 18:00 (CET)","297","n/e","n/e","2474","931","273","n/e","n/e","n/e","746","","4982","1243","n/e","38910","n/e","n/e","2400","258","n/e","3784"
"BZN|FR","29.06.2017 18:00 - 29.06.2017 19:00 (CET)","299","n/e","n/e","2792","741","273","n/e","n/e","n/e","922","","5109","1579","n/e","38843","n/e","n/e","1651","259","n/e","3698"
"BZN|FR","29.06.2017 19:00 - 29.06.2017 20:00 (CET)","298","n/e","n/e","3017","838","273","n/e","n/e","n/e","1228","","5064","1757","n/e","38837","n/e","n/e","914","260","n/e","3574"
"BZN|FR","29.06.2017 20:00 - 29.06.2017 21:00 (CET)","299","n/e","n/e","2881","890","273","n/e","n/e","n/e","657","","4815","1517","n/e","38643","n/e","n/e","347","259","n/e","3315"
"BZN|FR","29.06.2017 21:00 - 29.06.2017 22:00 (CET)","301","n/e","n/e","2931","887","270","n/e","n/e","n/e","67","","4809","1092","n/e","38637","n/e","n/e","98","259","n/e","3203"
"BZN|FR","29.06.2017 22:00 - 29.06.2017 23:00 (CET)","301","n/e","n/e","2849","799","272","n/e","n/e","n/e","519","","4820","1391","n/e","38495","n/e","n/e","0","259","n/e","3265"
"BZN|FR","29.06.2017 23:00 - 30.06.2017 00:00 (CET)","301","n/e","n/e","2848","773","273","n/e","n/e","n/e","346","","4631","1299","n/e","38655","n/e","n/e","0","260","n/e","3415"
"BZN|FR","30.06.2017 00:00 - 30.06.2017 01:00 (CET)","299","n/e","n/e","1969","629","271","n/e","n/e","n/e","","1124","4267","1268","n/e","37998","n/e","n/e","0","264","n/e","3425"
