"Week","Stored Energy Value 2016 [MWh] - BZN|NO5","Stored Energy Value 2017 [MWh] - BZN|NO5","Stored Energy Value 2018 [MWh] - BZN|NO5"
"Week 1","11880000","10167000","11194000"
"Week 2","11019000","9710000","10552000"
"Week 3","10119000","9339000","9914000"
"Week 4","9867000","8809000","9354000"
"Week 5","9470000","8105000","8719000"
"Week 6","8887000","7344000","7969000"
"Week 7","8280000","6623000","7296000"
"Week 8","7594000","6166000","6461000"
"Week 9","6883000","5579000","5639000"
"Week 10","6118000","4907000","4906000"
"Week 11","5538000","4482000","4296000"
"Week 12","5016000","4066000","3729000"
"Week 13","4578000","3737000","3194000"
"Week 14","4153000","3532000","2771000"
"Week 15","3714000","3350000","2397000"
"Week 16","3464000","3071000","2369000"
"Week 17","3091000","2702000","2488000"
"Week 18","3008000","2604000","2556000"
"Week 19","N/A","2519000","4213000"
"Week 20","3518000","3528000","5672000"
"Week 21","4416000","4879000","6766000"
"Week 22","6344000","6119000","8215000"
"Week 23","7504000","7817000","8974000"
"Week 24","8227000","8991000","9810000"
"Week 25","9282000","9816000","10202000"
"Week 26","10343000","10200000","10321000"
"Week 27","10703000","10397000","10401000"
"Week 28","11332000","10677000","10379000"
"Week 29","11910000","11078000","10425000"
"Week 30","12625000","11666000","10483000"
"Week 31","12932000","12335000","10868000"
"Week 32","13521000","12766000","11259000"
"Week 33","13660000","13118000","11677000"
"Week 34","14121000","13073000","11881000"
"Week 35","14590000","12994000","11778000"
"Week 36","14676000","13236000","11764000"
"Week 37","14669000","13585000","12648000"
"Week 38","14494000","13675000","13502000"
"Week 39","15151000","13701000","13929000"
"Week 40","14850000","14289000","13949000"
"Week 41","14429000","14363000","14710000"
"Week 42","13983000","14518000","14930000"
"Week 43","13662000","14583000","14812000"
"Week 44","13309000","14546000","14507000"
"Week 45","12656000","14294000","14207000"
"Week 46","12345000","13946000","14092000"
"Week 47","12085000","13600000","13547000"
"Week 48","11614000","13038000","13055000"
"Week 49","11500000","12905000","12604000"
"Week 50","10969000","12267000","11975000"
"Week 51","10716000","11826000","11748000"
"Week 52","10698000","11642000","11330000"
