"Week","Stored Energy Value 2016 [MWh] - BZN|NO4","Stored Energy Value 2017 [MWh] - BZN|NO4","Stored Energy Value 2018 [MWh] - BZN|NO4"
"Week 1","15928000","12362000","11910000"
"Week 2","15385000","11939000","11420000"
"Week 3","14845000","11598000","10926000"
"Week 4","14466000","11591000","10537000"
"Week 5","14056000","11226000","10012000"
"Week 6","13589000","10763000","9508000"
"Week 7","13138000","10450000","8988000"
"Week 8","12659000","9975000","8444000"
"Week 9","12143000","9460000","7899000"
"Week 10","11679000","9030000","7377000"
"Week 11","11364000","8713000","6889000"
"Week 12","11015000","8432000","6473000"
"Week 13","10661000","8163000","6001000"
"Week 14","10315000","7867000","5526000"
"Week 15","9953000","7536000","5097000"
"Week 16","9609000","7223000","4821000"
"Week 17","9339000","6839000","4687000"
"Week 18","9362000","6511000","4645000"
"Week 19","N/A","6195000","5398000"
"Week 20","9502000","6064000","6527000"
"Week 21","10083000","6221000","7250000"
"Week 22","11055000","6483000","7886000"
"Week 23","11371000","7518000","8082000"
"Week 24","11835000","9026000","8400000"
"Week 25","12527000","10214000","9163000"
"Week 26","13452000","11146000","9452000"
"Week 27","14011000","11976000","9562000"
"Week 28","14279000","13140000","9570000"
"Week 29","14564000","13893000","9664000"
"Week 30","14824000","14553000","9802000"
"Week 31","15037000","14980000","9990000"
"Week 32","15187000","15339000","10226000"
"Week 33","15186000","15815000","10601000"
"Week 34","15228000","16091000","11106000"
"Week 35","15502000","16400000","11092000"
"Week 36","15844000","16417000","10996000"
"Week 37","16032000","16462000","11045000"
"Week 38","15937000","16325000","11485000"
"Week 39","16143000","16160000","12054000"
"Week 40","16179000","16016000","12141000"
"Week 41","15958000","15799000","12319000"
"Week 42","15677000","15806000","12871000"
"Week 43","15338000","15577000","12943000"
"Week 44","14972000","15367000","12728000"
"Week 45","14551000","15089000","12528000"
"Week 46","14190000","14714000","12580000"
"Week 47","13843000","14288000","12239000"
"Week 48","13628000","13842000","11919000"
"Week 49","13371000","13431000","11631000"
"Week 50","13021000","12946000","11216000"
"Week 51","12863000","12623000","11542000"
"Week 52","12777000","12309000","11315000"
