"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|CH","22.08.2017 01:00 - 22.08.2017 02:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","285","","83","646","n/e","2067","n/e","n/e","0","n/e","n/e","1"
"BZN|CH","22.08.2017 02:00 - 22.08.2017 03:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","313","","82","688","n/e","2068","n/e","n/e","0","n/e","n/e","0"
"BZN|CH","22.08.2017 03:00 - 22.08.2017 04:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","287","","82","558","n/e","2070","n/e","n/e","0","n/e","n/e","0"
"BZN|CH","22.08.2017 04:00 - 22.08.2017 05:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","239","","82","528","n/e","2072","n/e","n/e","0","n/e","n/e","0"
"BZN|CH","22.08.2017 05:00 - 22.08.2017 06:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","314","","82","668","n/e","2072","n/e","n/e","0","n/e","n/e","0"
"BZN|CH","22.08.2017 06:00 - 22.08.2017 07:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","970","","81","966","n/e","2073","n/e","n/e","1","n/e","n/e","0"
"BZN|CH","22.08.2017 07:00 - 22.08.2017 08:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1875","","81","1685","n/e","2075","n/e","n/e","20","n/e","n/e","1"
"BZN|CH","22.08.2017 08:00 - 22.08.2017 09:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2110","","82","1757","n/e","2046","n/e","n/e","71","n/e","n/e","1"
"BZN|CH","22.08.2017 09:00 - 22.08.2017 10:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1502","","82","1580","n/e","1102","n/e","n/e","129","n/e","n/e","1"
"BZN|CH","22.08.2017 10:00 - 22.08.2017 11:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1128","","82","1197","n/e","1076","n/e","n/e","189","n/e","n/e","0"
"BZN|CH","22.08.2017 11:00 - 22.08.2017 12:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","852","","82","1088","n/e","1070","n/e","n/e","235","n/e","n/e","0"
"BZN|CH","22.08.2017 12:00 - 22.08.2017 13:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","653","","81","603","n/e","1067","n/e","n/e","258","n/e","n/e","1"
"BZN|CH","22.08.2017 13:00 - 22.08.2017 14:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","725","","80","539","n/e","1064","n/e","n/e","263","n/e","n/e","4"
"BZN|CH","22.08.2017 14:00 - 22.08.2017 15:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","670","","79","918","n/e","1061","n/e","n/e","253","n/e","n/e","8"
