"Week","Stored Energy Value 2016 [MWh] - BZN|SE2","Stored Energy Value 2017 [MWh] - BZN|SE2","Stored Energy Value 2018 [MWh] - BZN|SE2"
"Week 1","10322000","8586000","10037000"
"Week 2","9578000","8242000","9373000"
"Week 3","8784000","7832000","8726000"
"Week 4","8232000","7500000","8153000"
"Week 5","7641000","7021000","7496000"
"Week 6","6921000","6367000","6767000"
"Week 7","6200000","5845000","6044000"
"Week 8","5443000","5408000","5318000"
"Week 9","4701000","4865000","4530000"
"Week 10","4022000","4269000","3852000"
"Week 11","3580000","3899000","3276000"
"Week 12","3175000","3501000","2755000"
"Week 13","2827000","3268000","2251000"
"Week 14","2624000","3189000","1882000"
"Week 15","2436000","3121000","1521000"
"Week 16","2373000","2984000","1504000"
"Week 17","2410000","2688000","2344000"
"Week 18","3387000","2825000","3653000"
"Week 19","4857000","3032000","7040000"
"Week 20","5726000","4336000","9776000"
"Week 21","7610000","6399000","10725000"
"Week 22","8985000","7737000","11237000"
"Week 23","9397000","9532000","11220000"
"Week 24","9664000","11018000","11252000"
"Week 25","9901000","12028000","11539000"
"Week 26","10159000","12588000","11499000"
"Week 27","10226000","12700000","11295000"
"Week 28","10316000","13453000","11083000"
"Week 29","10236000","13706000","10905000"
"Week 30","10303000","13699000","10780000"
"Week 31","10488000","13712000","10759000"
"Week 32","10692000","13570000","10821000"
"Week 33","10659000","13714000","10907000"
"Week 34","10769000","13627000","11051000"
"Week 35","11044000","13406000","10997000"
"Week 36","11253000","13128000","10731000"
"Week 37","11287000","13173000","10701000"
"Week 38","11095000","12960000","11078000"
"Week 39","11231000","12716000","11842000"
"Week 40","11073000","12979000","12052000"
"Week 41","10713000","13143000","12353000"
"Week 42","10354000","13370000","12519000"
"Week 43","10103000","13399000","12481000"
"Week 44","9783000","13430000","12331000"
"Week 45","9266000","13287000","12193000"
"Week 46","9095000","12955000","12431000"
"Week 47","8960000","12497000","12039000"
"Week 48","8750000","11980000","11516000"
"Week 49","8737000","11646000","11071000"
"Week 50","7803000","11083000","10393000"
"Week 51","8682000","10769000","9719000"
"Week 52","8866000","10483000","9272000"
