"Week","Stored Energy Value 2016 [MWh] - BZN|NO3","Stored Energy Value 2017 [MWh] - BZN|NO3","Stored Energy Value 2018 [MWh] - BZN|NO3"
"Week 1","5384000","4698000","4762000"
"Week 2","5049000","4489000","4428000"
"Week 3","4668000","4425000","4080000"
"Week 4","4487000","4212000","3760000"
"Week 5","4269000","3909000","3468000"
"Week 6","4011000","3567000","3121000"
"Week 7","3721000","3299000","2789000"
"Week 8","3460000","3125000","2471000"
"Week 9","3159000","2854000","2137000"
"Week 10","2852000","2535000","1886000"
"Week 11","2724000","2331000","1664000"
"Week 12","2598000","2146000","1466000"
"Week 13","2492000","2048000","1303000"
"Week 14","2352000","2024000","1155000"
"Week 15","2182000","1911000","1018000"
"Week 16","2074000","1694000","1155000"
"Week 17","1899000","1449000","1384000"
"Week 18","2022000","1345000","1553000"
"Week 19","N/A","1288000","2750000"
"Week 20","2526000","1954000","3440000"
"Week 21","3135000","2908000","3833000"
"Week 22","3995000","3586000","4286000"
"Week 23","4251000","4543000","4509000"
"Week 24","4457000","5260000","4669000"
"Week 25","4643000","5710000","4771000"
"Week 26","4878000","5918000","4827000"
"Week 27","4927000","6048000","4796000"
"Week 28","5067000","6292000","4789000"
"Week 29","5142000","6426000","4783000"
"Week 30","5278000","6506000","4784000"
"Week 31","5369000","6578000","4827000"
"Week 32","5660000","6670000","5061000"
"Week 33","5643000","6683000","5186000"
"Week 34","5685000","6610000","5303000"
"Week 35","5855000","6485000","5242000"
"Week 36","5865000","6371000","5130000"
"Week 37","5842000","6258000","5300000"
"Week 38","5730000","6121000","5509000"
"Week 39","5848000","5958000","5888000"
"Week 40","5716000","6049000","5962000"
"Week 41","5485000","6108000","6248000"
"Week 42","5251000","6221000","6489000"
"Week 43","5149000","6271000","6513000"
"Week 44","5060000","6431000","6492000"
"Week 45","4679000","6329000","6434000"
"Week 46","4626000","6182000","6421000"
"Week 47","4666000","5973000","6221000"
"Week 48","4603000","5691000","6026000"
"Week 49","4844000","5582000","5865000"
"Week 50","4686000","5297000","5636000"
"Week 51","4814000","5208000","6150000"
"Week 52","4877000","5021000","6022000"
