"Week","Stored Energy Value 2016 [MWh] - BZN|SE1","Stored Energy Value 2017 [MWh] - BZN|SE1","Stored Energy Value 2018 [MWh] - BZN|SE1"
"Week 1","10172000","7107000","9233000"
"Week 2","9738000","6784000","8846000"
"Week 3","9272000","6468000","8465000"
"Week 4","8915000","6183000","8108000"
"Week 5","8512000","5825000","7733000"
"Week 6","8121000","5424000","7288000"
"Week 7","7649000","5137000","6861000"
"Week 8","7195000","4864000","6386000"
"Week 9","6721000","4522000","5870000"
"Week 10","6297000","4185000","5412000"
"Week 11","5962000","3884000","4908000"
"Week 12","5583000","3587000","4484000"
"Week 13","5237000","3259000","4030000"
"Week 14","4939000","3007000","3615000"
"Week 15","4643000","2772000","3306000"
"Week 16","4309000","2554000","3098000"
"Week 17","4170000","2391000","2959000"
"Week 18","4367000","2393000","3048000"
"Week 19","4751000","2362000","3861000"
"Week 20","5053000","2487000","5357000"
"Week 21","5766000","2944000","6227000"
"Week 22","6551000","3144000","6871000"
"Week 23","6740000","3778000","7097000"
"Week 24","6963000","5223000","7333000"
"Week 25","7431000","6318000","7946000"
"Week 26","8101000","7242000","8101000"
"Week 27","8655000","7963000","8221000"
"Week 28","8939000","9056000","8320000"
"Week 29","9036000","9835000","8560000"
"Week 30","9166000","10392000","8760000"
"Week 31","9438000","11034000","8967000"
"Week 32","9705000","11333000","9135000"
"Week 33","9793000","11520000","9290000"
"Week 34","9880000","11694000","9380000"
"Week 35","9951000","11782000","9330000"
"Week 36","10107000","11728000","9195000"
"Week 37","10206000","12072000","9100000"
"Week 38","10158000","12126000","9209000"
"Week 39","N/A","12036000","9401000"
"Week 40","10145000","12107000","9505000"
"Week 41","9965000","12035000","9586000"
"Week 42","9773000","11946000","9834000"
"Week 43","9553000","11796000","9876000"
"Week 44","9271000","11621000","9793000"
"Week 45","8892000","11401000","9681000"
"Week 46","8685000","11143000","9612000"
"Week 47","8521000","10939000","9329000"
"Week 48","8288000","10678000","9020000"
"Week 49","8062000","10466000","8844000"
"Week 50","7711000","10077000","8556000"
"Week 51","7542000","9800000","8130000"
"Week 52","7459000","9524000","7819000"
