"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|CZ","05.02.2017 16:00 - 05.02.2017 17:00 (CET)","223","4343","221","268","512","5","n/e","n/e","n/e","79","0","88","23","n/e","3003","106","284","51","16","n/e","8"
"BZN|CZ","05.02.2017 17:00 - 05.02.2017 18:00 (CET)","223","4280","220","273","502","5","n/e","n/e","n/e","545","0","78","127","n/e","3005","111","286","0","16","n/e","10"
"BZN|CZ","05.02.2017 18:00 - 05.02.2017 19:00 (CET)","223","4221","221","279","504","5","n/e","n/e","n/e","634","0","79","111","n/e","3004","117","290","0","16","n/e","13"
"BZN|CZ","05.02.2017 19:00 - 05.02.2017 20:00 (CET)","224","4155","203","278","492","5","n/e","n/e","n/e","717","0","79","103","n/e","3005","116","289","0","16","n/e","13"
"BZN|CZ","05.02.2017 20:00 - 05.02.2017 21:00 (CET)","224","4178","207","276","495","5","n/e","n/e","n/e","519","0","82","63","n/e","3006","110","287","0","16","n/e","15"
"BZN|CZ","05.02.2017 21:00 - 05.02.2017 22:00 (CET)","227","4160","196","271","493","5","n/e","n/e","n/e","389","0","86","18","n/e","3007","104","284","0","16","n/e","16"
"BZN|CZ","05.02.2017 22:00 - 05.02.2017 23:00 (CET)","226","4198","200","260","510","5","n/e","n/e","n/e","429","0","86","17","n/e","3007","101","283","0","16","n/e","19"
"BZN|CZ","05.02.2017 23:00 - 06.02.2017 00:00 (CET)","225","4195","196","257","506","5","n/e","n/e","n/e","241","0","86","23","n/e","3008","100","283","0","16","n/e","24"
"BZN|CZ","06.02.2017 00:00 - 06.02.2017 01:00 (CET)","231","4177","196","252","499","5","n/e","n/e","n/e","0","756","88","17","n/e","3007","97","282","0","16","n/e","30"
"BZN|CZ","06.02.2017 01:00 - 06.02.2017 02:00 (CET)","232","4183","195","253","491","5","n/e","n/e","n/e","0","936","88","17","n/e","3005","97","282","0","16","n/e","33"
