"Week","Stored Energy Value 2016 [MWh] - BZN|SE4","Stored Energy Value 2017 [MWh] - BZN|SE4","Stored Energy Value 2018 [MWh] - BZN|SE4"
"Week 1","139000","57000","200000"
"Week 2","135000","65000","187000"
"Week 3","128000","69000","179000"
"Week 4","152000","73000","187000"
"Week 5","166000","75000","193000"
"Week 6","174000","74000","185000"
"Week 7","172000","74000","178000"
"Week 8","168000","86000","170000"
"Week 9","165000","100000","159000"
"Week 10","163000","109000","151000"
"Week 11","161000","116000","147000"
"Week 12","158000","124000","140000"
"Week 13","156000","128000","137000"
"Week 14","159000","124000","145000"
"Week 15","158000","132000","151000"
"Week 16","153000","132000","150000"
"Week 17","151000","130000","148000"
"Week 18","149000","131000","144000"
"Week 19","140000","123000","138000"
"Week 20","135000","124000","131000"
"Week 21","133000","119000","124000"
"Week 22","126000","115000","116000"
"Week 23","116000","121000","106000"
"Week 24","111000","133000","101000"
"Week 25","107000","131000","96000"
"Week 26","104000","127000","89000"
"Week 27","103000","123000","85000"
"Week 28","101000","116000","47000"
"Week 29","96000","109000","65000"
"Week 30","85000","104000","62000"
"Week 31","84000","105000","55000"
"Week 32","82000","100000","53000"
"Week 33","79000","100000","51000"
"Week 34","75000","67000","49000"
"Week 35","71000","102000","50000"
"Week 36","64000","110000","48000"
"Week 37","59000","120000","47000"
"Week 38","52000","128000","47000"
"Week 39","50000","125000","44000"
"Week 40","44000","133000","45000"
"Week 41","38000","135000","44000"
"Week 42","37000","138000","41000"
"Week 43","36000","158000","45000"
"Week 44","43000","161000","44000"
"Week 45","41000","164000","44000"
"Week 46","46000","165000","46000"
"Week 47","53000","169000","44000"
"Week 48","50000","182000","44000"
"Week 49","51000","185000","56000"
"Week 50","50000","185000","64000"
"Week 51","53000","186000","70000"
"Week 52","61000","195000","70000"
