"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|DK1","01.01.2017 00:00 - 01.01.2017 01:00 (CET)","293","n/e","n/e","83","261","2","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","5","0","81","706","1953"
"BZN|DK1","01.01.2017 01:00 - 01.01.2017 02:00 (CET)","293","n/e","n/e","88","209","2","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","5","0","96","709","1816"
"BZN|DK1","01.01.2017 02:00 - 01.01.2017 03:00 (CET)","306","n/e","n/e","88","225","4","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","5","0","96","797","1514"
"BZN|DK1","01.01.2017 03:00 - 01.01.2017 04:00 (CET)","451","n/e","n/e","79","309","1","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","4","0","96","784","1244"
"BZN|DK1","01.01.2017 04:00 - 01.01.2017 05:00 (CET)","407","n/e","n/e","70","291","1","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","4","0","96","772","1090"
"BZN|DK1","01.01.2017 05:00 - 01.01.2017 06:00 (CET)","395","n/e","n/e","72","258","2","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","5","0","97","550","963"
"BZN|DK1","01.01.2017 06:00 - 01.01.2017 07:00 (CET)","419","n/e","n/e","98","341","3","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","5","0","111","376","868"
"BZN|DK1","01.01.2017 07:00 - 01.01.2017 08:00 (CET)","369","n/e","n/e","104","255","3","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","5","0","113","436","752"
"BZN|DK1","01.01.2017 08:00 - 01.01.2017 09:00 (CET)","319","n/e","n/e","113","295","5","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","6","0","114","441","694"
"BZN|DK1","01.01.2017 09:00 - 01.01.2017 10:00 (CET)","308","n/e","n/e","129","388","10","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","6","1","114","417","614"
"BZN|DK1","01.01.2017 10:00 - 01.01.2017 11:00 (CET)","332","n/e","n/e","124","368","7","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","6","8","114","410","540"
"BZN|DK1","01.01.2017 11:00 - 01.01.2017 12:00 (CET)","386","n/e","n/e","135","384","9","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","6","17","115","405","505"
"BZN|DK1","01.01.2017 12:00 - 01.01.2017 13:00 (CET)","389","n/e","n/e","144","403","9","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","6","22","120","420","481"
"BZN|DK1","01.01.2017 13:00 - 01.01.2017 14:00 (CET)","425","n/e","n/e","139","425","5","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","6","26","120","400","447"
"BZN|DK1","01.01.2017 14:00 - 01.01.2017 15:00 (CET)","437","n/e","n/e","140","564","5","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","6","15","118","336","465"
"BZN|DK1","01.01.2017 15:00 - 01.01.2017 16:00 (CET)","432","n/e","n/e","152","677","3","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","5","3","116","299","427"
"BZN|DK1","01.01.2017 16:00 - 01.01.2017 17:00 (CET)","399","n/e","n/e","211","811","3","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","5","0","113","296","429"
"BZN|DK1","01.01.2017 17:00 - 01.01.2017 18:00 (CET)","430","n/e","n/e","224","727","4","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","5","0","112","344","360"
"BZN|DK1","01.01.2017 18:00 - 01.01.2017 19:00 (CET)","498","n/e","n/e","214","687","3","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","5","0","117","315","301"
"BZN|DK1","01.01.2017 19:00 - 01.01.2017 20:00 (CET)","482","n/e","n/e","199","620","6","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","5","0","117","338","290"
"BZN|DK1","01.01.2017 20:00 - 01.01.2017 21:00 (CET)","477","n/e","n/e","179","564","2","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","4","0","116","447","391"
"BZN|DK1","01.01.2017 21:00 - 01.01.2017 22:00 (CET)","441","n/e","n/e","171","405","1","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","4","0","117","503","491"
"BZN|DK1","01.01.2017 22:00 - 01.01.2017 23:00 (CET)","410","n/e","n/e","162","382","1","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","4","0","117","543","546"
"BZN|DK1","01.01.2017 23:00 - 02.01.2017 00:00 (CET)","412","n/e","n/e","162","349","1","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","4","0","111","567","571"
"BZN|DK1","02.01.2017 00:00 - 02.01.2017 01:00 (CET)","349","n/e","n/e","156","325","2","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","5","0","108","558","636"
"BZN|DK1","02.01.2017 01:00 - 02.01.2017 02:00 (CET)","353","n/e","n/e","152","306","7","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","5","0","99","499","611"
"BZN|DK1","02.01.2017 02:00 - 02.01.2017 03:00 (CET)","425","n/e","n/e","161","336","5","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","5","0","98","491","617"
