"Week","Stored Energy Value 2016 [MWh] - BZN|NO1","Stored Energy Value 2017 [MWh] - BZN|NO1","Stored Energy Value 2018 [MWh] - BZN|NO1"
"Week 1","3436000","3157000","3471000"
"Week 2","3139000","2954000","3175000"
"Week 3","2827000","2691000","2929000"
"Week 4","2662000","2409000","2674000"
"Week 5","2466000","2091000","2396000"
"Week 6","2244000","1812000","2133000"
"Week 7","1922000","1555000","1904000"
"Week 8","1659000","1350000","1657000"
"Week 9","1429000","1186000","1380000"
"Week 10","1202000","987000","1150000"
"Week 11","1062000","865000","939000"
"Week 12","953000","742000","752000"
"Week 13","927000","736000","599000"
"Week 14","915000","769000","495000"
"Week 15","880000","792000","429000"
"Week 16","883000","755000","633000"
"Week 17","883000","731000","970000"
"Week 18","1050000","887000","1243000"
"Week 19","N/A","1099000","2688000"
"Week 20","2054000","2107000","3378000"
"Week 21","2881000","2910000","3729000"
"Week 22","3562000","3369000","4046000"
"Week 23","3831000","4003000","4142000"
"Week 24","3982000","4311000","4233000"
"Week 25","4188000","4405000","4261000"
"Week 26","4475000","4421000","4258000"
"Week 27","4523000","4421000","4237000"
"Week 28","4616000","4469000","4210000"
"Week 29","4664000","4490000","4191000"
"Week 30","4781000","4589000","4167000"
"Week 31","4853000","4760000","4187000"
"Week 32","4986000","4869000","4295000"
"Week 33","5002000","4965000","4425000"
"Week 34","5081000","4941000","4479000"
"Week 35","5128000","4855000","4482000"
"Week 36","5110000","4895000","4507000"
"Week 37","5104000","5135000","4788000"
"Week 38","5025000","5146000","4967000"
"Week 39","5051000","5098000","5043000"
"Week 40","5025000","5282000","5015000"
"Week 41","4917000","5235000","5129000"
"Week 42","4807000","5186000","5191000"
"Week 43","4687000","5127000","5091000"
"Week 44","4591000","5016000","5002000"
"Week 45","4367000","4938000","4974000"
"Week 46","4278000","4813000","5095000"
"Week 47","4203000","4676000","4895000"
"Week 48","4019000","4462000","4672000"
"Week 49","3864000","4284000","4503000"
"Week 50","3610000","3998000","4252000"
"Week 51","3500000","3796000","4085000"
"Week 52","3401000","3683000","3921000"
