Technology;Country/area;Indicator;2016;2017;2018
;Hungary;Electricity capacity (MW);329;329;329
;Italy;Electricity capacity (MW);9384;9736.578;10230.246
;Luxembourg;Electricity capacity (MW);120;120;123
;Netherlands;Electricity capacity (MW);3300;3245;3436
;Norway;Electricity capacity (MW);881;1205;1205
;Poland;Electricity capacity (MW);5747;5759;5766
;Portugal;Electricity capacity (MW);5124;5124;5172
;Slovakia;Electricity capacity (MW);3;4;3
;Spain;Electricity capacity (MW);22985;23119;23400
;Sweden;Electricity capacity (MW);6232;6408;7097
;Switzerland;Electricity capacity (MW);75;75;75
;UK;Electricity capacity (MW);10832;12597;13554
Offshore wind energy;Europe;Electricity capacity (MW);12633;15802;18766
;Austria;Electricity capacity (MW);;;
;Belgium;Electricity capacity (MW);712;877;1186
;Czechia;Electricity capacity (MW);;;
;Denmark;Electricity capacity (MW);1271;1264;1701
;Finland;Electricity capacity (MW);32;73;73
;France;Electricity capacity (MW);0;2;2
;Germany;Electricity capacity (MW);4132;5406;6396
;Hungary;Electricity capacity (MW);;;
;Italy;Electricity capacity (MW);;;
;Luxembourg;Electricity capacity (MW);;;
;Netherlands;Electricity capacity (MW);957;957;957
;Norway;Electricity capacity (MW);2;2;2
;Poland;Electricity capacity (MW);;;
;Portugal;Electricity capacity (MW);0;0;0
;Slovakia;Electricity capacity (MW);;;
;Spain;Electricity capacity (MW);5;5;5
;Sweden;Electricity capacity (MW);203;203;203
;Switzerland;Electricity capacity (MW);;;
;UK;Electricity capacity (MW);5293;6988;8217
Solar;Europe;Electricity capacity (MW);106103;112538;121533
;Austria;Electricity capacity (MW);1096;1269;1438
;Belgium;Electricity capacity (MW);3327;3616;3987
;Czechia;Electricity capacity (MW);2068;2070;2075
;Denmark;Electricity capacity (MW);851;906;998
;Finland;Electricity capacity (MW);39;82;140
;France;Electricity capacity (MW);7702;8610;9617
;Germany;Electricity capacity (MW);40679;42293;45181
;Hungary;Electricity capacity (MW);235;344;726
;Italy;Electricity capacity (MW);19289.07;19688.363;20113.659
;Luxembourg;Electricity capacity (MW);122;128;131
;Netherlands;Electricity capacity (MW);2049;2903;4522
;Norway;Electricity capacity (MW);27;45;68
;Poland;Electricity capacity (MW);187;287;562
;Portugal;Electricity capacity (MW);522;593;681
;Slovakia;Electricity capacity (MW);533;528;472
;Spain;Electricity capacity (MW);7017;7027;7068
;Sweden;Electricity capacity (MW);153;402;492
;Switzerland;Electricity capacity (MW);1664;1906;2171
;UK;Electricity capacity (MW);11930;12782;13118
Solar photovoltaic;Europe;Electricity capacity (MW);103782;110212;119207
;Austria;Electricity capacity (MW);1096;1269;1438
;Belgium;Electricity capacity (MW);3327;3616;3987
;Czechia;Electricity capacity (MW);2068;2070;2075
;Denmark;Electricity capacity (MW);851;906;998
;Finland;Electricity capacity (MW);39;82;140
;France;Electricity capacity (MW);7702;8610;9617
;Germany;Electricity capacity (MW);40677;42291;45179
;Hungary;Electricity capacity (MW);235;344;726
;Italy;Electricity capacity (MW);19283;19682.293;20107.589
;Luxembourg;Electricity capacity (MW);122;128;131
;Netherlands;Electricity capacity (MW);2049;2903;4522
;Norway;Electricity capacity (MW);27;45;68
;Poland;Electricity capacity (MW);187;287;562
;Portugal;Electricity capacity (MW);513;579;667
;Slovakia;Electricity capacity (MW);533;528;472
;Spain;Electricity capacity (MW);4713;4723;4764
;Sweden;Electricity capacity (MW);153;402;492
;Switzerland;Electricity capacity (MW);1664;1906;2171
;UK;Electricity capacity (MW);11930;12782;13118
Concentrated solar power;Europe;Electricity capacity (MW);2321;2326;2326
;Austria;Electricity capacity (MW);;;
;Belgium;Electricity capacity (MW);;;
;Czechia;Electricity capacity (MW);;;
;Denmark;Electricity capacity (MW);;;
;Finland;Electricity capacity (MW);;;
;France;Electricity capacity (MW);0;0;0
;Germany;Electricity capacity (MW);2;2;2
;Hungary;Electricity capacity (MW);;;
;Italy;Electricity capacity (MW);6.07;6.07;6.07
;Luxembourg;Electricity capacity (MW);;;
;Netherlands;Electricity capacity (MW);;;
;Norway;Electricity capacity (MW);;;
;Poland;Electricity capacity (MW);;;
;Portugal;Electricity capacity (MW);9;14;14
;Slovakia;Electricity capacity (MW);;;
;Spain;Electricity capacity (MW);2304;2304;2304
;Sweden;Electricity capacity (MW);;;
;Switzerland;Electricity capacity (MW);;;
;UK;Electricity capacity (MW);;;
Bioenergy;Europe;Electricity capacity (MW);35491;36850;39813
;Austria;Electricity capacity (MW);1393;1290;1271
;Belgium;Electricity capacity (MW);923;912;887
;Czechia;Electricity capacity (MW);773;802;782
;Denmark;Electricity capacity (MW);1305;1791;1797
;Finland;Electricity capacity (MW);2008;2230;2230
;France;Electricity capacity (MW);1442;1490;1711
;Germany;Electricity capacity (MW);8660;8982;9651
;Hungary;Electricity capacity (MW);427;461;484
;Italy;Electricity capacity (MW);3439;3450.488;3491.073
;Luxembourg;Electricity capacity (MW);25;36;36
;Netherlands;Electricity capacity (MW);769;772;849
;Norway;Electricity capacity (MW);87;87;87
;Poland;Electricity capacity (MW);974;968;1004
;Portugal;Electricity capacity (MW);587;582;648
;Slovakia;Electricity capacity (MW);253;246;243
;Spain;Electricity capacity (MW);1018;1023;1037
;Sweden;Electricity capacity (MW);4850;4822;5021
;Switzerland;Electricity capacity (MW);241;242;243
;UK;Electricity capacity (MW);5245;5476;6963
Solid biofuels;Europe;Electricity capacity (MW);21981;22918;25191
;Austria;Electricity capacity (MW);1188;1108;1094
;Belgium;Electricity capacity (MW);691;685;652
;Czechia;Electricity capacity (MW);404;430;413
;Denmark;Electricity capacity (MW);1198;1683;1675
;Finland;Electricity capacity (MW);1895;2114;2114
;France;Electricity capacity (MW);1035;1052;1253
;Germany;Electricity capacity (MW);2579;2605;2667
;Hungary;Electricity capacity (MW);351;379;408
;Italy;Electricity capacity (MW);1094;1092.256;1145.011
;Luxembourg;Electricity capacity (MW);13;23;24
;Netherlands;Electricity capacity (MW);548;551;622
