fuel;year;capacity [GW]
solarPV;2022;63
solarPV;2024;73
solarPV;2026;83
solarPV;2028;95
solarPV;2030;100
windonshore;2022;57
windonshore;2024;62
windonshore;2026;65
windonshore;2028;68
windonshore;2030;71
windoffshore;2030;20
windoffshore;2040;40
biomass;2030;8,4
