,,DE_BadenWue,DE_Bayern,DE_Berlin,DE_Brandenburg,DE_Bremen,DE_Hamburg,DE_Hessen,DE_MeckPom,DE_Niedersachsen,DE_NordRheinWest,DE_RheinlPfalz,DE_Saarland,DE_Sachsen,DE_SachsenAnhalt,DE_SchleswHolst,DE_Thueringen,Austria,Belgium,Czech_Republic,Denmark,France,Italy,Luxembourg,Netherlands,Norway,Poland,Sweden,Switzerland
BEV,t0027,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0028,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0029,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0030,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0031,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0032,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0033,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0034,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0035,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0036,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0037,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0038,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0.252900,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0039,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0.284300,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0040,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0.292900,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0041,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0.347600,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0042,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0.461700,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0043,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0.570300,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0044,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0.624000,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0045,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0.602800,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0046,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0.514500,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0047,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0.423300,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0048,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0.359100,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0049,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0.281900,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0050,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0.180600,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0051,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0.114800,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0052,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0.072700,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0053,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0.045000,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0054,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0.032000,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0055,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0.074900,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0056,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0.168100,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0057,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0.314500,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0058,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0.279600,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0059,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0.214200,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0060,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0.178200,0,0,0,0,0,0,0,0,0,0,0,0
BEV,t0061,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0.212100,0,0,0,0,0,0,0,0,0,0,0,0
