,,fixed_costs,installed_cap,interference_duration_neg,interference_duration_pos,interference_duration_pos_shed,maximum_activations_year,maximum_activations_year_shed,potential_neg_overall,potential_pos_overall,potential_pos_overall_shed,regeneration_duration,shifting_duration,specific_investments,variable_costs,variable_costs_shed,max_cap,country,from,unit_lifetime,efficiency,year
tcs+hoho_cluster_shift_only,shift_only,1.3,50548.0,7.0,3.0,1.0,385.0,0.0,3996.0,1208.0,0.0,1.0,5.0,66.0,2.5,0.01,4506.0,DE,DE_bus_el,15,1.0,SQ
tcs+hoho_cluster_shift_only,shift_only,1.2,53897.0,7.0,3.0,1.0,385.0,0.0,3132.0,991.0,0.0,1.0,5.0,62.3,2.5,0.01,3627.0,DE,DE_bus_el,15,1.0,2020
tcs+hoho_cluster_shift_only,shift_only,1.3249,57246.0,7.0,3.0,1.0,385.0,0.0,2268.0,774.0,0.0,1.0,5.0,64.6991,2.7602,0.011,3156.0,DE,DE_bus_el,15,1.0,2025
tcs+hoho_cluster_shift_only,shift_only,1.3409,60596.0,7.0,3.0,1.0,385.0,0.0,1404.0,558.0,0.0,1.0,5.0,67.0447,3.0475,0.0122,3702.0,DE,DE_bus_el,15,1.0,2030
tcs+hoho_cluster_shift_only,shift_only,1.3459,62117.0,7.0,3.0,1.0,385.0,0.0,2925.0,927.0,0.0,1.0,5.0,69.043,3.3647,0.0135,4290.0,DE,DE_bus_el,15,1.0,2035
tcs+hoho_cluster_shift_only,shift_only,1.4859,63638.0,7.0,3.0,1.0,385.0,0.0,4446.0,1297.0,0.0,1.0,5.0,70.7311,3.7149,0.0149,4878.0,DE,DE_bus_el,15,1.0,2040
tcs+hoho_cluster_shift_only,shift_only,1.4765,65159.0,7.0,3.0,1.0,385.0,0.0,5968.0,1666.0,0.0,1.0,5.0,72.0226,4.1015,0.0164,5466.0,DE,DE_bus_el,15,1.0,2045
tcs+hoho_cluster_shift_only,shift_only,1.4491,66680.0,7.0,3.0,1.0,385.0,0.0,7489.0,2036.0,0.0,1.0,5.0,72.8167,4.5284,0.0181,6054.0,DE,DE_bus_el,15,1.0,2050
