,,fixed_costs,installed_cap,interference_duration_neg,interference_duration_pos,interference_duration_pos_shed,maximum_activations_year,maximum_activations_year_shed,potential_neg_overall,potential_pos_overall,potential_pos_overall_shed,regeneration_duration,shifting_duration,specific_investments,variable_costs,variable_costs_shed,max_cap,country,from,unit_lifetime,efficiency,year
ind_cluster_shed_only,shed_only,0.01,2000.0,1.0,3.0,3.0,52.0,40.0,0.0,977.0,976.79,24.0,1.0,0.6,229.0,564.0,1800.0,DE,DE_bus_el,15,1.0,SQ
ind_cluster_shed_only,shed_only,0.01,2181.0,1.0,3.0,3.0,52.0,40.0,0.0,1065.0,1065.35,24.0,1.0,0.6,229.0,564.0,1963.0,DE,DE_bus_el,15,1.0,2020
ind_cluster_shed_only,shed_only,0.011,2363.0,1.0,3.0,3.0,52.0,40.0,0.0,1154.0,1153.91,24.0,1.0,0.6624,252.8345,622.7016,2126.0,DE,DE_bus_el,15,1.0,2025
ind_cluster_shed_only,shed_only,0.0122,2544.0,1.0,3.0,3.0,52.0,40.0,0.0,1242.0,1242.48,24.0,1.0,0.6095,279.1497,687.5129,2290.0,DE,DE_bus_el,15,1.0,2030
ind_cluster_shed_only,shed_only,0.0135,2438.0,1.0,3.0,3.0,52.0,40.0,0.0,1191.0,1190.71,24.0,1.0,0.6729,308.2038,759.0697,2194.0,DE,DE_bus_el,15,1.0,2035
ind_cluster_shed_only,shed_only,0.0149,2332.0,1.0,3.0,3.0,52.0,40.0,0.0,1139.0,1138.94,24.0,1.0,0.5944,340.282,838.0743,2099.0,DE,DE_bus_el,15,1.0,2040
ind_cluster_shed_only,shed_only,0.0164,2226.0,1.0,3.0,3.0,52.0,40.0,0.0,1087.0,1087.17,24.0,1.0,0.6562,375.6988,925.3018,2003.0,DE,DE_bus_el,15,1.0,2045
ind_cluster_shed_only,shed_only,0.0181,2120.0,1.0,3.0,3.0,52.0,40.0,0.0,1035.0,1035.4,24.0,1.0,0.7245,414.8018,1021.6079,1908.0,DE,DE_bus_el,15,1.0,2050
