,,fixed_costs,installed_cap,interference_duration_neg,interference_duration_pos,interference_duration_pos_shed,maximum_activations_year,maximum_activations_year_shed,potential_neg_overall,potential_pos_overall,potential_pos_overall_shed,regeneration_duration,shifting_duration,specific_investments,variable_costs,variable_costs_shed,max_cap,country,from,unit_lifetime,efficiency,year
hoho_cluster_shift_only,shift_only,1.5,161680.0,2.0,2.0,1.0,2342.0,0.0,2503.0,3089.0,0.0,1.0,5.0,74.9,0.01,0.01,16168.0,DE,DE_bus_el,15,1.0,SQ
hoho_cluster_shift_only,shift_only,1.5,144698.0,2.0,2.0,1.0,2342.0,0.0,2463.0,2872.0,0.0,1.0,5.0,74.7,0.01,0.01,14470.0,DE,DE_bus_el,15,1.0,2020
hoho_cluster_shift_only,shift_only,1.6561,127715.0,2.0,2.0,1.0,2342.0,0.0,2422.0,2655.0,0.0,1.0,5.0,82.254,0.011,0.011,12772.0,DE,DE_bus_el,15,1.0,2025
hoho_cluster_shift_only,shift_only,1.8285,110733.0,2.0,2.0,1.0,2342.0,0.0,2382.0,2438.0,0.0,1.0,5.0,90.5713,0.0122,0.0122,11073.0,DE,DE_bus_el,15,1.0,2030
hoho_cluster_shift_only,shift_only,2.0188,104625.0,2.0,2.0,1.0,2342.0,0.0,2369.0,2358.0,0.0,1.0,5.0,99.8634,0.0135,0.0135,10462.0,DE,DE_bus_el,15,1.0,2035
hoho_cluster_shift_only,shift_only,2.2289,98517.0,2.0,2.0,1.0,2342.0,0.0,2357.0,2278.0,0.0,1.0,5.0,109.9601,0.0149,0.0149,9852.0,DE,DE_bus_el,15,1.0,2040
hoho_cluster_shift_only,shift_only,2.4609,92409.0,2.0,2.0,1.0,2342.0,0.0,2345.0,2198.0,0.0,1.0,5.0,121.0767,0.0164,0.0164,9241.0,DE,DE_bus_el,15,1.0,2045
hoho_cluster_shift_only,shift_only,2.717,86301.0,2.0,2.0,1.0,2342.0,0.0,2333.0,2118.0,0.0,1.0,5.0,133.3162,0.0181,0.0181,8630.0,DE,DE_bus_el,15,1.0,2050
