,,fixed_costs,installed_cap,interference_duration_neg,interference_duration_pos,interference_duration_pos_shed,maximum_activations_year,maximum_activations_year_shed,potential_neg_overall,potential_pos_overall,potential_pos_overall_shed,regeneration_duration,shifting_duration,specific_investments,variable_costs,variable_costs_shed,max_cap,country,from,unit_lifetime,efficiency,year
ind_cluster_shed_only,shed_only,0.1,853.0,1.0,1.0,1.0,20.0,0.0,0.0,290.0,289.57,24.0,1.0,5.8,640.9,1106.2,768.0,DE,DE_bus_el,15,1.0,SQ
ind_cluster_shed_only,shed_only,0.1,1140.0,1.0,1.0,1.0,20.0,0.0,0.0,387.0,386.78,24.0,1.0,5.2,640.9,1106.2,1026.0,DE,DE_bus_el,15,1.0,2020
ind_cluster_shed_only,shed_only,0.1104,1426.0,1.0,1.0,1.0,20.0,0.0,0.0,484.0,483.98,24.0,1.0,4.9684,707.6054,1221.3342,1284.0,DE,DE_bus_el,15,1.0,2025
ind_cluster_shed_only,shed_only,0.1219,1713.0,1.0,1.0,1.0,20.0,0.0,0.0,581.0,581.19,24.0,1.0,4.6322,781.2535,1348.4516,1541.0,DE,DE_bus_el,15,1.0,2030
ind_cluster_shed_only,shed_only,0.1346,1815.0,1.0,1.0,1.0,20.0,0.0,0.0,616.0,615.74,24.0,1.0,4.1722,862.567,1488.7996,1633.0,DE,DE_bus_el,15,1.0,2035
ind_cluster_shed_only,shed_only,0.0149,1916.0,1.0,1.0,1.0,20.0,0.0,0.0,650.0,650.3,24.0,1.0,3.5663,952.3437,1643.755,1725.0,DE,DE_bus_el,15,1.0,2040
ind_cluster_shed_only,shed_only,0.0164,2018.0,1.0,1.0,1.0,20.0,0.0,0.0,685.0,684.85,24.0,1.0,2.789,1051.4644,1814.8384,1816.0,DE,DE_bus_el,15,1.0,2045
ind_cluster_shed_only,shed_only,0.0181,2120.0,1.0,1.0,1.0,20.0,0.0,0.0,719.0,719.4,24.0,1.0,1.8114,1160.9016,2003.7282,1908.0,DE,DE_bus_el,15,1.0,2050
