,,fixed_costs,installed_cap,interference_duration_neg,interference_duration_pos,interference_duration_pos_shed,maximum_activations_year,maximum_activations_year_shed,potential_neg_overall,potential_pos_overall,potential_pos_overall_shed,regeneration_duration,shifting_duration,specific_investments,variable_costs,variable_costs_shed,max_cap,country,from,unit_lifetime,efficiency,year
hoho_cluster_shift_shed,shift_shed,5.2,2500.0,1.0,2.0,1.0,266.0,365.0,2283.0,250.0,1894.69,1.0,1.0,259.5,0.01,0.01,250.0,DE,DE_bus_el,15,1.0,SQ
hoho_cluster_shift_shed,shift_shed,4.7,2183.0,1.0,2.0,1.0,266.0,365.0,1522.0,218.0,1654.69,1.0,1.0,235.0,0.01,0.01,218.0,DE,DE_bus_el,15,1.0,2020
hoho_cluster_shift_shed,shift_shed,4.6371,1867.0,1.0,2.0,1.0,266.0,365.0,761.0,187.0,1414.7,1.0,1.0,232.409,0.011,0.011,187.0,DE,DE_bus_el,15,1.0,2025
hoho_cluster_shift_shed,shift_shed,4.5103,1550.0,1.0,2.0,1.0,266.0,365.0,0.0,155.0,1174.71,1.0,1.0,226.6111,0.0122,0.0122,155.0,DE,DE_bus_el,15,1.0,2030
hoho_cluster_shift_shed,shift_shed,4.3068,1556.0,1.0,2.0,1.0,266.0,365.0,0.0,156.0,1179.44,1.0,1.0,217.2231,0.0135,0.0135,156.0,DE,DE_bus_el,15,1.0,2035
hoho_cluster_shift_shed,shift_shed,4.0121,1562.0,1.0,2.0,1.0,266.0,365.0,0.0,156.0,1184.18,1.0,1.0,203.4262,0.0149,0.0149,156.0,DE,DE_bus_el,15,1.0,2040
hoho_cluster_shift_shed,shift_shed,3.6093,1569.0,1.0,2.0,1.0,266.0,365.0,0.0,157.0,1188.92,1.0,1.0,184.4041,0.0164,0.0164,157.0,DE,DE_bus_el,15,1.0,2045
hoho_cluster_shift_shed,shift_shed,3.2605,1575.0,1.0,2.0,1.0,266.0,365.0,0.0,158.0,1193.65,1.0,1.0,159.2187,0.0181,0.0181,158.0,DE,DE_bus_el,15,1.0,2050
