,,fixed_costs,installed_cap,interference_duration_neg,interference_duration_pos,interference_duration_pos_shed,maximum_activations_year,maximum_activations_year_shed,potential_neg_overall,potential_pos_overall,potential_pos_overall_shed,regeneration_duration,shifting_duration,specific_investments,variable_costs,variable_costs_shed,max_cap,country,from,unit_lifetime,efficiency,year
ind_cluster_shed_only,shed_only,0.01,2120.0,1.0,6.0,5.0,4080.0,182.0,0.0,1369.0,1368.95,4.0,5.0,0.1,64.1,424.0,1908.0,DE,DE_bus_el,15,1.0,SQ
ind_cluster_shed_only,shed_only,0.01,2261.0,1.0,6.0,5.0,4080.0,182.0,0.0,1460.0,1460.21,4.0,5.0,0.1,64.1,424.0,2035.0,DE,DE_bus_el,15,1.0,2020
ind_cluster_shed_only,shed_only,0.011,2403.0,1.0,6.0,5.0,4080.0,182.0,0.0,1551.0,1551.48,4.0,5.0,0.1104,70.7716,468.1303,2162.0,DE,DE_bus_el,15,1.0,2025
ind_cluster_shed_only,shed_only,0.0122,2544.0,1.0,6.0,5.0,4080.0,182.0,0.0,1643.0,1642.74,4.0,5.0,0.0122,78.1375,516.8536,2290.0,DE,DE_bus_el,15,1.0,2030
ind_cluster_shed_only,shed_only,0.0135,2438.0,1.0,6.0,5.0,4080.0,182.0,0.0,1574.0,1574.29,4.0,5.0,0.0135,86.2702,570.6482,2194.0,DE,DE_bus_el,15,1.0,2035
ind_cluster_shed_only,shed_only,0.0149,2332.0,1.0,6.0,5.0,4080.0,182.0,0.0,1506.0,1505.84,4.0,5.0,0.0149,95.2492,630.0417,2099.0,DE,DE_bus_el,15,1.0,2040
ind_cluster_shed_only,shed_only,0.0164,2226.0,1.0,6.0,5.0,4080.0,182.0,0.0,1437.0,1437.4,4.0,5.0,0.0164,105.1628,695.6169,2003.0,DE,DE_bus_el,15,1.0,2045
ind_cluster_shed_only,shed_only,0.0181,2120.0,1.0,6.0,5.0,4080.0,182.0,0.0,1369.0,1368.95,4.0,5.0,0.0181,116.1083,768.0173,1908.0,DE,DE_bus_el,15,1.0,2050
