,,fixed_costs,installed_cap,interference_duration_neg,interference_duration_pos,interference_duration_pos_shed,maximum_activations_year,maximum_activations_year_shed,potential_neg_overall,potential_pos_overall,potential_pos_overall_shed,regeneration_duration,shifting_duration,specific_investments,variable_costs,variable_costs_shed,max_cap,country,from,unit_lifetime,efficiency,year
ind_cluster_shift_only,shift_only,0.01,15384.0,5.0,4.0,2.0,828.0,33.48,7504.0,9181.0,3849.21,4.0,26.0,1.3,87.8,140.1,13845.0,DE,DE_bus_el,15,1.0,SQ
ind_cluster_shift_only,shift_only,0.01,15456.0,5.0,4.0,2.0,828.0,33.48,7796.0,9959.0,3565.45,4.0,26.0,1.1,87.8,140.1,13910.0,DE,DE_bus_el,15,1.0,2020
ind_cluster_shift_only,shift_only,0.011,15528.0,5.0,4.0,2.0,828.0,33.48,8088.0,10757.0,3281.7,4.0,26.0,1.1041,96.9383,154.6817,13975.0,DE,DE_bus_el,15,1.0,2025
ind_cluster_shift_only,shift_only,0.0122,15600.0,5.0,4.0,2.0,828.0,33.48,8380.0,11556.0,2997.94,4.0,26.0,0.9752,107.0277,170.7811,14040.0,DE,DE_bus_el,15,1.0,2030
ind_cluster_shift_only,shift_only,0.0135,14968.0,5.0,4.0,2.0,828.0,33.48,7668.0,10167.0,3185.27,4.0,26.0,0.8075,118.1672,188.5562,13471.0,DE,DE_bus_el,15,1.0,2035
ind_cluster_shift_only,shift_only,0.0149,14336.0,5.0,4.0,2.0,828.0,33.48,6957.0,8778.0,3372.59,4.0,26.0,0.743,130.4662,208.1812,12903.0,DE,DE_bus_el,15,1.0,2040
ind_cluster_shift_only,shift_only,0.0164,13704.0,5.0,4.0,2.0,828.0,33.48,6245.0,7389.0,3559.91,4.0,26.0,0.4922,144.0452,229.8489,12334.0,DE,DE_bus_el,15,1.0,2045
ind_cluster_shift_only,shift_only,0.0181,13073.0,5.0,4.0,2.0,828.0,33.48,5533.0,6001.0,3747.24,4.0,26.0,0.3623,159.0375,253.7718,11765.0,DE,DE_bus_el,15,1.0,2050
