new_timeindex,tcs+hoho_cluster_shift_only,hoho_cluster_shift_shed,hoho_cluster_shift_only,tcs_cluster_shift_only,ind_cluster_shed_only,ind_cluster_shift_shed,ind_cluster_shift_only
2017-01-01 00:00:00,0.3314,0.3496,0.3496,0.1584,1.0,1.0,0.7203
2017-01-01 01:00:00,0.3438,0.271,0.271,0.1561,1.0,1.0,0.7203
2017-01-01 02:00:00,0.3358,0.2317,0.2317,0.1512,1.0,1.0,0.7203
2017-01-01 03:00:00,0.3167,0.2119,0.2119,0.146,1.0,1.0,0.7203
2017-01-01 04:00:00,0.289,0.2042,0.2042,0.1444,1.0,1.0,0.7203
2017-01-01 05:00:00,0.2514,0.2152,0.2152,0.1662,1.0,1.0,0.7203
2017-01-01 06:00:00,0.11,0.2663,0.2663,0.1948,1.0,1.0,0.766
2017-01-01 07:00:00,0.0679,0.4287,0.4287,0.2046,1.0,1.0,0.766
2017-01-01 08:00:00,0.109,0.6992,0.6992,0.2049,1.0,1.0,0.766
2017-01-01 09:00:00,0.3306,0.8494,0.8494,0.2074,1.0,1.0,0.766
2017-01-01 10:00:00,0.3742,0.8401,0.8401,0.2149,1.0,1.0,0.766
2017-01-01 11:00:00,0.1905,0.9119,0.9119,0.2188,1.0,1.0,0.766
2017-01-01 12:00:00,0.0418,0.8747,0.8747,0.2221,1.0,1.0,0.766
2017-01-01 13:00:00,0.1175,0.7395,0.7395,0.2249,1.0,1.0,0.766
2017-01-01 14:00:00,0.1364,0.677,0.677,0.221,1.0,1.0,0.766
2017-01-01 15:00:00,0.1486,0.6839,0.6839,0.2134,1.0,1.0,0.766
2017-01-01 16:00:00,0.1363,0.783,0.783,0.2104,1.0,1.0,0.766
2017-01-01 17:00:00,0.1189,0.9125,0.9125,0.2086,1.0,1.0,0.766
2017-01-01 18:00:00,0.047,0.9107,0.9107,0.2095,1.0,1.0,0.7203
2017-01-01 19:00:00,0.1123,0.9605,0.9605,0.2071,1.0,1.0,0.7203
2017-01-01 20:00:00,0.1142,0.905,0.905,0.1866,1.0,1.0,0.7203
2017-01-01 21:00:00,0.0889,0.8795,0.8795,0.1745,1.0,1.0,0.7203
2017-01-01 22:00:00,0.232,0.6598,0.6598,0.1676,1.0,1.0,0.7203
2017-01-01 23:00:00,0.2918,0.4087,0.4087,0.1603,1.0,1.0,0.7203
2017-01-02 00:00:00,0.7767,0.2657,0.2657,0.7098,1.0,1.0,0.7517
2017-01-02 01:00:00,0.7963,0.2232,0.2232,0.7047,1.0,1.0,0.7517
2017-01-02 02:00:00,0.8065,0.21,0.21,0.7011,1.0,1.0,0.7517
2017-01-02 03:00:00,0.7807,0.2036,0.2036,0.698,1.0,1.0,0.7517
2017-01-02 04:00:00,0.7378,0.2357,0.2357,0.7018,1.0,1.0,0.7517
2017-01-02 05:00:00,0.6642,0.3782,0.3782,0.746,1.0,1.0,0.7517
2017-01-02 06:00:00,0.6511,0.6625,0.6625,0.8396,1.0,1.0,0.9035
2017-01-02 07:00:00,0.4066,0.7074,0.7074,0.8737,1.0,1.0,0.9035
2017-01-02 08:00:00,0.413,0.6529,0.6529,0.9205,1.0,1.0,0.9035
2017-01-02 09:00:00,0.4468,0.6266,0.6266,0.9633,1.0,1.0,0.9035
2017-01-02 10:00:00,0.3713,0.5821,0.5821,0.9669,1.0,1.0,0.9035
2017-01-02 11:00:00,0.3148,0.6299,0.6299,0.9726,1.0,1.0,0.9035
2017-01-02 12:00:00,0.2758,0.6313,0.6313,0.965,1.0,1.0,0.9035
2017-01-02 13:00:00,0.3273,0.6001,0.6001,0.9434,1.0,1.0,0.9035
2017-01-02 14:00:00,0.4451,0.5755,0.5755,0.9249,1.0,1.0,0.9035
2017-01-02 15:00:00,0.4311,0.6194,0.6194,0.9302,1.0,1.0,0.9035
2017-01-02 16:00:00,0.3345,0.7028,0.7028,0.9409,1.0,1.0,0.9035
2017-01-02 17:00:00,0.3285,0.8709,0.8709,0.9254,1.0,1.0,0.9035
2017-01-02 18:00:00,0.4013,0.9333,0.9333,0.8477,1.0,1.0,0.8499
2017-01-02 19:00:00,0.4107,0.942,0.942,0.7931,1.0,1.0,0.8499
2017-01-02 20:00:00,0.3865,0.9069,0.9069,0.7304,1.0,1.0,0.8499
2017-01-02 21:00:00,0.3933,0.8564,0.8564,0.7177,1.0,1.0,0.8499
2017-01-02 22:00:00,0.6086,0.6452,0.6452,0.7222,1.0,1.0,0.8499
2017-01-02 23:00:00,0.7077,0.3922,0.3922,0.7168,1.0,1.0,0.7517
2017-01-03 00:00:00,0.7587,0.2657,0.2657,0.7098,1.0,1.0,0.7517
2017-01-03 01:00:00,0.7773,0.2232,0.2232,0.7047,1.0,1.0,0.7517
2017-01-03 02:00:00,0.7902,0.21,0.21,0.7011,1.0,1.0,0.7517
2017-01-03 03:00:00,0.7671,0.2036,0.2036,0.698,1.0,1.0,0.7517
2017-01-03 04:00:00,0.7251,0.2357,0.2357,0.7018,1.0,1.0,0.7517
2017-01-03 05:00:00,0.6519,0.3782,0.3782,0.746,1.0,1.0,0.7517
2017-01-03 06:00:00,0.6457,0.6625,0.6625,0.8396,1.0,1.0,0.9035
2017-01-03 07:00:00,0.4022,0.7074,0.7074,0.8737,1.0,1.0,0.9035
2017-01-03 08:00:00,0.4113,0.6529,0.6529,0.9205,1.0,1.0,0.9035
2017-01-03 09:00:00,0.4433,0.6266,0.6266,0.9633,1.0,1.0,0.9035
2017-01-03 10:00:00,0.3695,0.5821,0.5821,0.9669,1.0,1.0,0.9035
2017-01-03 11:00:00,0.313,0.6299,0.6299,0.9726,1.0,1.0,0.9035
2017-01-03 12:00:00,0.2737,0.6313,0.6313,0.965,1.0,1.0,0.9035
2017-01-03 13:00:00,0.3242,0.6001,0.6001,0.9434,1.0,1.0,0.9035
2017-01-03 14:00:00,0.442,0.5755,0.5755,0.9249,1.0,1.0,0.9035
2017-01-03 15:00:00,0.4231,0.6194,0.6194,0.9302,1.0,1.0,0.9035
2017-01-03 16:00:00,0.3305,0.7028,0.7028,0.9409,1.0,1.0,0.9035
2017-01-03 17:00:00,0.3271,0.8709,0.8709,0.9254,1.0,1.0,0.9035
2017-01-03 18:00:00,0.3998,0.9333,0.9333,0.8477,1.0,1.0,0.8499
2017-01-03 19:00:00,0.409,0.942,0.942,0.7931,1.0,1.0,0.8499
2017-01-03 20:00:00,0.3825,0.9069,0.9069,0.7304,1.0,1.0,0.8499
2017-01-03 21:00:00,0.3875,0.8564,0.8564,0.7177,1.0,1.0,0.8499
2017-01-03 22:00:00,0.5973,0.6452,0.6452,0.7222,1.0,1.0,0.8499
2017-01-03 23:00:00,0.6911,0.3922,0.3922,0.7168,1.0,1.0,0.7517
2017-01-04 00:00:00,0.7484,0.2657,0.2657,0.7098,1.0,1.0,0.7517
2017-01-04 01:00:00,0.7683,0.2232,0.2232,0.7047,1.0,1.0,0.7517
2017-01-04 02:00:00,0.7812,0.21,0.21,0.7011,1.0,1.0,0.7517
2017-01-04 03:00:00,0.7581,0.2036,0.2036,0.698,1.0,1.0,0.7517
2017-01-04 04:00:00,0.7148,0.2357,0.2357,0.7018,1.0,1.0,0.7517
2017-01-04 05:00:00,0.6442,0.3782,0.3782,0.746,1.0,1.0,0.7517
2017-01-04 06:00:00,0.6407,0.6625,0.6625,0.8396,1.0,1.0,0.9035
2017-01-04 07:00:00,0.4002,0.7074,0.7074,0.8737,1.0,1.0,0.9035
2017-01-04 08:00:00,0.4102,0.6529,0.6529,0.9205,1.0,1.0,0.9035
2017-01-04 09:00:00,0.4423,0.6266,0.6266,0.9633,1.0,1.0,0.9035
2017-01-04 10:00:00,0.3685,0.5821,0.5821,0.9669,1.0,1.0,0.9035
2017-01-04 11:00:00,0.3126,0.6299,0.6299,0.9726,1.0,1.0,0.9035
2017-01-04 12:00:00,0.2727,0.6313,0.6313,0.965,1.0,1.0,0.9035
2017-01-04 13:00:00,0.3221,0.6001,0.6001,0.9434,1.0,1.0,0.9035
2017-01-04 14:00:00,0.4383,0.5755,0.5755,0.9249,1.0,1.0,0.9035
2017-01-04 15:00:00,0.423,0.6194,0.6194,0.9302,1.0,1.0,0.9035
2017-01-04 16:00:00,0.3285,0.7028,0.7028,0.9409,1.0,1.0,0.9035
2017-01-04 17:00:00,0.3264,0.8709,0.8709,0.9254,1.0,1.0,0.9035
2017-01-04 18:00:00,0.3978,0.9333,0.9333,0.8477,1.0,1.0,0.8499
2017-01-04 19:00:00,0.4066,0.942,0.942,0.7931,1.0,1.0,0.8499
2017-01-04 20:00:00,0.3801,0.9069,0.9069,0.7304,1.0,1.0,0.8499
