,,fixed_costs,installed_cap,interference_duration_neg,interference_duration_pos,interference_duration_pos_shed,maximum_activations_year,maximum_activations_year_shed,potential_neg_overall,potential_pos_overall,potential_pos_overall_shed,regeneration_duration,shifting_duration,specific_investments,variable_costs,variable_costs_shed,max_cap,country,from,unit_lifetime,efficiency,year
tcs+hoho_cluster_shift_only,shift_only,0.5,83430.0,10.0,22.0,1.0,841.0,0.0,15933.0,5700.0,0.0,1.0,19.0,25.5,0.2,0.01,10568.0,DE,DE_bus_el,15,1.0,SQ
tcs+hoho_cluster_shift_only,shift_only,0.4,80626.0,10.0,22.0,1.0,841.0,0.0,13645.0,6146.0,0.0,1.0,19.0,22.4,0.2,0.01,8241.0,DE,DE_bus_el,15,1.0,2020
tcs+hoho_cluster_shift_only,shift_only,0.4416,77822.0,10.0,22.0,1.0,841.0,0.0,13199.0,5913.0,0.0,1.0,19.0,21.3088,0.2208,0.011,5913.0,DE,DE_bus_el,15,1.0,2025
tcs+hoho_cluster_shift_only,shift_only,0.3657,75018.0,10.0,22.0,1.0,841.0,0.0,12753.0,6167.0,0.0,1.0,19.0,19.7477,0.2438,0.0122,6167.0,DE,DE_bus_el,15,1.0,2030
tcs+hoho_cluster_shift_only,shift_only,0.4038,74306.0,10.0,22.0,1.0,841.0,0.0,13243.0,6439.0,0.0,1.0,19.0,17.7655,0.2692,0.0135,6439.0,DE,DE_bus_el,15,1.0,2035
tcs+hoho_cluster_shift_only,shift_only,0.2972,73595.0,10.0,22.0,1.0,841.0,0.0,13733.0,6711.0,0.0,1.0,19.0,15.0081,0.2972,0.0149,6711.0,DE,DE_bus_el,15,1.0,2040
tcs+hoho_cluster_shift_only,shift_only,0.1641,72883.0,10.0,22.0,1.0,841.0,0.0,14223.0,6564.0,0.0,1.0,19.0,11.4842,0.3281,0.0164,6983.0,DE,DE_bus_el,15,1.0,2045
tcs+hoho_cluster_shift_only,shift_only,0.1811,72171.0,10.0,22.0,1.0,841.0,0.0,15193.0,6406.0,0.0,1.0,19.0,7.0643,0.3623,0.0181,7254.0,DE,DE_bus_el,15,1.0,2050
