,,fixed_costs,installed_cap,interference_duration_neg,interference_duration_pos,interference_duration_pos_shed,maximum_activations_year,maximum_activations_year_shed,potential_neg_overall,potential_pos_overall,potential_pos_overall_shed,regeneration_duration,shifting_duration,specific_investments,variable_costs,variable_costs_shed,max_cap,country,from,year
tcs_cluster_shift_only,shift_only,0.01,6000.0,3.0,2.0,1.0,365.0,0.0,2945.0,2029.0,0.0,1.0,4.0,451.0,341.3,0.01,2358.0,DE,DE_bus_el,SQ
tcs_cluster_shift_only,shift_only,0.01,6429.0,3.0,2.0,1.0,365.0,0.0,2959.0,2060.0,0.0,1.0,4.0,386.6,292.5,0.01,2530.0,DE,DE_bus_el,2020
tcs_cluster_shift_only,shift_only,0.011,6858.0,3.0,2.0,1.0,365.0,0.0,2972.0,2091.0,0.0,1.0,4.0,355.7348,269.1749,0.011,2701.0,DE,DE_bus_el,2025
tcs_cluster_shift_only,shift_only,0.0122,7287.0,3.0,2.0,1.0,365.0,0.0,2986.0,2121.0,0.0,1.0,4.0,314.1349,237.7039,0.0122,2873.0,DE,DE_bus_el,2030
tcs_cluster_shift_only,shift_only,0.0135,8310.0,3.0,2.0,1.0,365.0,0.0,3026.0,2240.0,0.0,1.0,4.0,260.1563,196.9005,0.0135,3282.0,DE,DE_bus_el,2035
tcs_cluster_shift_only,shift_only,0.0149,9333.0,3.0,2.0,1.0,365.0,0.0,3065.0,2358.0,0.0,1.0,4.0,191.5386,144.8799,0.0149,3691.0,DE,DE_bus_el,2040
tcs_cluster_shift_only,shift_only,0.0164,10356.0,3.0,2.0,1.0,365.0,0.0,3105.0,2476.0,0.0,1.0,4.0,105.655,80.0616,0.0164,4100.0,DE,DE_bus_el,2045
tcs_cluster_shift_only,shift_only,0.0181,11379.0,3.0,2.0,1.0,365.0,0.0,3145.0,2594.0,0.0,1.0,4.0,0.0181,0.0181,0.0181,4510.0,DE,DE_bus_el,2050
