Scenario,Region,Year,Parameter,Unit,Value,Source,Comment
ALL,ALL,ALL,EnergyConversion_Capex_ElectricityHeat_CH4_ExCCGT,Eur/MW (el),850000,DEA 2016b,p.71
ALL,ALL,ALL,EnergyConversion_Capex_H2_Electricity,Eur/MW (el),400000,DEA 2017,
ALL,ALL,ALL,EnergyConversion_Capex_Heat_CH4_Large,Eur/MW (el),250000,DEA 2016b,p.311
ALL,ALL,ALL,EnergyConversion_Capex_Heat_Electricity_Large,Eur/MWh (th),250000,DEA 2016b,p.275
ALL,ALL,ALL,EnergyConversion_Capex_Heat_ElectricityHeat_Large,Eur/MWh (th),1000000,DEA 2016b,p.265
ALL,ALL,ALL,EnergyConversion_Capex_Heat_ElectricityHeat_Small,Eur/MWh (th),1333333,DEA 2016a,p.90
ALL,ALL,ALL,EnergyConversion_COP_Heat_ElectricityHeat_Large,-,4.5,DEA 2016b,p.265
ALL,AT,ALL,EnergyConversion_COP_Heat_ElectricityHeat_Small,-,3.730780411,Own calculation,
ALL,BE,ALL,EnergyConversion_COP_Heat_ElectricityHeat_Small,-,3.867685477,Own calculation,
ALL,CH,ALL,EnergyConversion_COP_Heat_ElectricityHeat_Small,-,3.736113801,Own calculation,
ALL,CZ,ALL,EnergyConversion_COP_Heat_ElectricityHeat_Small,-,3.737260809,Own calculation,
ALL,DE,ALL,EnergyConversion_COP_Heat_ElectricityHeat_Small,-,3.80241591,Own calculation,
ALL,DK,ALL,EnergyConversion_COP_Heat_ElectricityHeat_Small,-,3.829732509,Own calculation,
ALL,FR,ALL,EnergyConversion_COP_Heat_ElectricityHeat_Small,-,3.918137095,Own calculation,
ALL,IT,ALL,EnergyConversion_COP_Heat_ElectricityHeat_Small,-,4.037595448,Own calculation,
ALL,LU,ALL,EnergyConversion_COP_Heat_ElectricityHeat_Small,-,3.789750871,Own calculation,
ALL,NL,ALL,EnergyConversion_COP_Heat_ElectricityHeat_Small,-,3.90358185,Own calculation,
ALL,PL,ALL,EnergyConversion_COP_Heat_ElectricityHeat_Small,-,3.746091829,Own calculation,
ALL,ALL,ALL,EnergyConversion_E2P_Electricity_Hydro_ReservoirPump,KWh/kW,400,Own assumption ,
ALL,ALL,ALL,EnergyConversion_Eta_Electricity_Hydro_ReservoirPump,percent,82,Stein 2019,
ALL,ALL,ALL,EnergyConversion_Eta_Electricity_Hydro_ReservoirSelfDischarge,percent,0,Own assumption ,
ALL,ALL,ALL,EnergyConversion_Eta_Electricity_Hydro_ReservoirTurbine,percent,83,Stein 2019,
ALL,ALL,ALL,EnergyConversion_Eta_Heat_CH4_Large,percent,94,DEA 2016b,p.311
ALL,ALL,ALL,EnergyConversion_Eta_Heat_CH4_Small,percent,90,Gils 2015,
ALL,ALL,ALL,EnergyConversion_Eta_Heat_Electricity_Large,percent,99,DEA 2016b,p.275
ALL,ALL,ALL,EnergyConversion_Eta_Heat_Electricity_Small,percent,99,Gils 2015,
ALL,ALL,ALL,EnergyConversion_EtaElectricityToH2_H2_Electricity,MW (chem)/MW (el),72,DEA 2017,
ALL,ALL,ALL,EnergyConversion_EtaGross_Electricity_CH4_GT,percent,47,Nitsch 2012,
ALL,ALL,ALL,EnergyConversion_EtaNet_Electricity_CH4_GT,percent,46.5,Nitsch 2012,
ALL,ALL,ALL,EnergyConversion_EtaNet_Electricity_Coal_ST,percent,46.7,DIW 2013,p. 79
ALL,ALL,ALL,EnergyConversion_EtaNetPartialLoad_Electricity_CH4_GT,percent,34.9,Own calculation,
ALL,ALL,ALL,EnergyConversion_EtaNetPartialLoad_ElectricityHeat_CH4_ExCCGT,percent,41.56,Own calculation,
ALL,ALL,ALL,EnergyConversion_EtaNominal_ElectricityHeat_CH4_ExCCGT,percent,88,Gils 2015,
ALL,ALL,ALL,EnergyConversion_FixOM_Electricity_CH4_GT,percent Inv./a,4,Cebulla 2017,
ALL,ALL,ALL,EnergyConversion_FixOM_Electricity_Hydro_ReservoirPump,percent Inv./a,5,Own assumption,
ALL,ALL,ALL,EnergyConversion_FixOM_Electricity_Hydro_ReservoirStorage,percent Inv./a,5,Own assumption,
ALL,ALL,ALL,EnergyConversion_FixOM_Electricity_Hydro_ReservoirTurbine,percent Inv./a,5,Own assumption,
ALL,ALL,ALL,EnergyConversion_FixOM_Electricity_Nuclear_ST,percent Inv./a,0,DIW 2013,p.78
ALL,ALL,ALL,EnergyConversion_FixOM_ElectricityHeat_CH4_ExCCGT,percent Inv./a,2,Own assumption,
ALL,ALL,ALL,EnergyConversion_FixOM_H2_Electricity,percent Inv./a,5,DEA 2017,
ALL,ALL,ALL,EnergyConversion_FixOM_Heat_CH4_Large,percent Inv./a,1,DEA 2016b,p.311
ALL,ALL,ALL,EnergyConversion_FixOM_Heat_Electricity_Large,percent Inv./a,0.4,DEA 2016b,p.275
ALL,ALL,ALL,EnergyConversion_FixOM_Heat_ElectricityHeat_Large,percent Inv./a,0.3,DEA 2016b,p.265
ALL,ALL,ALL,EnergyConversion_FixOM_Heat_ElectricityHeat_Small,percent Inv./a,3.69,DEA 2016a,p.90
ALL,ALL,ALL,EnergyConversion_HotStartFuelCons_Electricity_CH4_GT,GWh (th) /MW (el),0.00064,Stein 2019,
ALL,ALL,ALL,EnergyConversion_HotStartFuelCons_Electricity_Nuclear_ST,GWh (th) /MW (el),0.012,Stein 2019,
ALL,ALL,ALL,EnergyConversion_HotStartFuelCons_ElectricityHeat_CH4_BpCCGT,GWh (th) /MW (el),0.00165,Stein 2019,
ALL,ALL,ALL,EnergyConversion_HotStartFuelCons_ElectricityHeat_CH4_ExCCGT,GWh (th) /MW (el),0.00165,Stein 2019,
ALL,ALL,ALL,EnergyConversion_InletTemperature_Heat_ElectricityHeat_Small,degree celsius,41,Own assumption ,
ALL,ALL,ALL,EnergyConversion_InterestRate_ALL,%,7,BMWi 2017,
ALL,ALL,ALL,EnergyConversion_LifeTime_Electricity_CH4_GT,a,30,Garcia 2015,
ALL,ALL,ALL,EnergyConversion_LifeTime_Electricity_Hydro_ReservoirPump,a,30,Own assumption,
ALL,ALL,ALL,EnergyConversion_LifeTime_Electricity_Hydro_ReservoirTurbine,a,30,Own assumption,
ALL,ALL,ALL,EnergyConversion_LifeTime_Electricity_Nuclear_ST,a,45,ECF 2010, App.A p.5
ALL,ALL,ALL,EnergyConversion_LifeTime_ElectricityHeat_CH4_ExCCGT,a,25,DEA 2016b,p.71
