Technology;Specification;Year;Unit;Value;Source
Run of River;Min;2050;2018 €/KWh*a;0;BMU, Langfristszenarien und Strategien für den Ausbau der erneuerbaren Energien in Deutschland bei Berücksichtigung der Entwicklung in Europa und global, 2012., K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019., n.a.
Run of River;Max;2018;2018 €/KWh*a;0;BMU, Langfristszenarien und Strategien für den Ausbau der erneuerbaren Energien in Deutschland bei Berücksichtigung der Entwicklung in Europa und global, 2012., K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019., n.a.
Run of River;Max;2020;2018 €/KWh*a;0;BMU, Langfristszenarien und Strategien für den Ausbau der erneuerbaren Energien in Deutschland bei Berücksichtigung der Entwicklung in Europa und global, 2012., K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019., n.a.
Run of River;Max;2030;2018 €/KWh*a;0;BMU, Langfristszenarien und Strategien für den Ausbau der erneuerbaren Energien in Deutschland bei Berücksichtigung der Entwicklung in Europa und global, 2012., K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019., n.a.
Run of River;Max;2040;2018 €/KWh*a;0;BMU, Langfristszenarien und Strategien für den Ausbau der erneuerbaren Energien in Deutschland bei Berücksichtigung der Entwicklung in Europa und global, 2012., K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019., n.a.
Run of River;Max;2050;2018 €/KWh*a;0;BMU, Langfristszenarien und Strategien für den Ausbau der erneuerbaren Energien in Deutschland bei Berücksichtigung der Entwicklung in Europa und global, 2012., K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019., n.a.
Run of River;Mean;2018;2018 €/KWh*a;0;
Run of River;Mean;2020;2018 €/KWh*a;0;
Run of River;Mean;2030;2018 €/KWh*a;0;
Run of River;Mean;2040;2018 €/KWh*a;0;
Run of River;Mean;2050;2018 €/KWh*a;0;
Run of River;Median;2018;2018 €/KWh*a;0;
Run of River;Median;2020;2018 €/KWh*a;0;
Run of River;Median;2030;2018 €/KWh*a;0;
Run of River;Median;2040;2018 €/KWh*a;0;
Run of River;Median;2050;2018 €/KWh*a;0;
Solid Biomass;Min;2018;2018 €/KWh*a;0.001;M. Child, C. Kemfert, D. Bogdanov, and C. Breyer, “Flexible electricity generation, grid exchange and storage for the transition to a 100% renewable energy system in Europe,” Renewable Energy, vol. 139, 2019, pp. 80–101.
Solid Biomass;Min;2020;2018 €/KWh*a;0.001;M. Child, C. Kemfert, D. Bogdanov, and C. Breyer, “Flexible electricity generation, grid exchange and storage for the transition to a 100% renewable energy system in Europe,” Renewable Energy, vol. 139, 2019, pp. 80–101.
Solid Biomass;Min;2030;2018 €/KWh*a;0.001;M. Child, C. Kemfert, D. Bogdanov, and C. Breyer, “Flexible electricity generation, grid exchange and storage for the transition to a 100% renewable energy system in Europe,” Renewable Energy, vol. 139, 2019, pp. 80–101.
Solid Biomass;Min;2040;2018 €/KWh*a;0.001;M. Child, C. Kemfert, D. Bogdanov, and C. Breyer, “Flexible electricity generation, grid exchange and storage for the transition to a 100% renewable energy system in Europe,” Renewable Energy, vol. 139, 2019, pp. 80–101.
Solid Biomass;Min;2050;2018 €/KWh*a;0.001;M. Child, C. Kemfert, D. Bogdanov, and C. Breyer, “Flexible electricity generation, grid exchange and storage for the transition to a 100% renewable energy system in Europe,” Renewable Energy, vol. 139, 2019, pp. 80–101.
Solid Biomass;Max;2018;2018 €/KWh*a;0.008;Technology data survey from Energy System 2050 (unpublished).
Solid Biomass;Max;2020;2018 €/KWh*a;0.008;Technology data survey from Energy System 2050 (unpublished).
Solid Biomass;Max;2030;2018 €/KWh*a;0.008;Technology data survey from Energy System 2050 (unpublished).
Solid Biomass;Max;2040;2018 €/KWh*a;0.008;Technology data survey from Energy System 2050 (unpublished).
Solid Biomass;Max;2050;2018 €/KWh*a;0.008;Technology data survey from Energy System 2050 (unpublished).
Solid Biomass;Mean;2018;2018 €/KWh*a;0.005;
Solid Biomass;Mean;2020;2018 €/KWh*a;0.005;
Solid Biomass;Mean;2030;2018 €/KWh*a;0.005;
Solid Biomass;Mean;2040;2018 €/KWh*a;0.005;
Solid Biomass;Mean;2050;2018 €/KWh*a;0.005;
Solid Biomass;Median;2018;2018 €/KWh*a;0.004;
Solid Biomass;Median;2020;2018 €/KWh*a;0.004;
Solid Biomass;Median;2030;2018 €/KWh*a;0.004;
Solid Biomass;Median;2040;2018 €/KWh*a;0.004;
Solid Biomass;Median;2050;2018 €/KWh*a;0.004;
Biogas;Min;2018;2018 €/KWh*a;NA;
Biogas;Min;2020;2018 €/KWh*a;NA;
Biogas;Min;2030;2018 €/KWh*a;NA;
Biogas;Min;2040;2018 €/KWh*a;NA;
Biogas;Min;2050;2018 €/KWh*a;NA;
Biogas;Max;2018;2018 €/KWh*a;NA;
Biogas;Max;2020;2018 €/KWh*a;NA;
Biogas;Max;2030;2018 €/KWh*a;NA;
Biogas;Max;2040;2018 €/KWh*a;NA;
Biogas;Max;2050;2018 €/KWh*a;NA;
Biogas;Mean;2018;2018 €/KWh*a;NA;
Biogas;Mean;2020;2018 €/KWh*a;NA;
Biogas;Mean;2030;2018 €/KWh*a;NA;
Biogas;Mean;2040;2018 €/KWh*a;NA;
Biogas;Mean;2050;2018 €/KWh*a;NA;
Biogas;Median;2018;2018 €/KWh*a;NA;
Biogas;Median;2020;2018 €/KWh*a;NA;
Biogas;Median;2030;2018 €/KWh*a;NA;
Biogas;Median;2040;2018 €/KWh*a;NA;
Biogas;Median;2050;2018 €/KWh*a;NA;
Offshore wind;Min;2018;2018 €/KWh*a;0;n.a.
Offshore wind;Min;2020;2018 €/KWh*a;0;n.a.
Offshore wind;Min;2030;2018 €/KWh*a;0;n.a.
Offshore wind;Min;2040;2018 €/KWh*a;0;n.a.
Offshore wind;Min;2050;2018 €/KWh*a;0;n.a.
Offshore wind;Max;2018;2018 €/KWh*a;0.03;Nitsch, J., Pregger, T., Naegler, T., Dominik Heide, Tena, D. L. d., Trieb, F., . . . Wenzel, B. (2012). Langfristszenarien und Strategien für den Ausbau der erneuerbaren Energien in Deutschland bei Berücksichtigung der Entwicklung in Europa und global. Retrieved from Stuttgart, Kassel, Teltow
Offshore wind;Max;2020;2018 €/KWh*a;0.02;Nitsch, J., Pregger, T., Naegler, T., Dominik Heide, Tena, D. L. d., Trieb, F., . . . Wenzel, B. (2012). Langfristszenarien und Strategien für den Ausbau der erneuerbaren Energien in Deutschland bei Berücksichtigung der Entwicklung in Europa und global. Retrieved from Stuttgart, Kassel, Teltow
Offshore wind;Max;2030;2018 €/KWh*a;0.02;Nitsch, J., Pregger, T., Naegler, T., Dominik Heide, Tena, D. L. d., Trieb, F., . . . Wenzel, B. (2012). Langfristszenarien und Strategien für den Ausbau der erneuerbaren Energien in Deutschland bei Berücksichtigung der Entwicklung in Europa und global. Retrieved from Stuttgart, Kassel, Teltow
Offshore wind;Max;2040;2018 €/KWh*a;0.02;Nitsch, J., Pregger, T., Naegler, T., Dominik Heide, Tena, D. L. d., Trieb, F., . . . Wenzel, B. (2012). Langfristszenarien und Strategien für den Ausbau der erneuerbaren Energien in Deutschland bei Berücksichtigung der Entwicklung in Europa und global. Retrieved from Stuttgart, Kassel, Teltow
Offshore wind;Max;2050;2018 €/KWh*a;0.02;Nitsch, J., Pregger, T., Naegler, T., Dominik Heide, Tena, D. L. d., Trieb, F., . . . Wenzel, B. (2012). Langfristszenarien und Strategien für den Ausbau der erneuerbaren Energien in Deutschland bei Berücksichtigung der Entwicklung in Europa und global. Retrieved from Stuttgart, Kassel, Teltow
Offshore wind;Mean;2018;2018 €/KWh*a;0.02;
Offshore wind;Mean;2020;2018 €/KWh*a;0.01;
Offshore wind;Mean;2030;2018 €/KWh*a;0.01;
Offshore wind;Mean;2040;2018 €/KWh*a;0.01;
Offshore wind;Mean;2050;2018 €/KWh*a;0.01;
Offshore wind;Median;2018;2018 €/KWh*a;0.02;
Offshore wind;Median;2020;2018 €/KWh*a;0.02;
Offshore wind;Median;2030;2018 €/KWh*a;0.01;
Offshore wind;Median;2040;2018 €/KWh*a;0.01;
Offshore wind;Median;2050;2018 €/KWh*a;0.01;
Pumped hydro;Min;2018;2018 €/KWh*a;0.001;Assumption based on K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019.
Pumped hydro;Min;2020;2018 €/KWh*a;0.001;Assumption based on K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019.
Pumped hydro;Min;2030;2018 €/KWh*a;0.001;K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019.
Pumped hydro;Min;2040;2018 €/KWh*a;0.001;Assumption based on K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019.
Pumped hydro;Min;2050;2018 €/KWh*a;0.001;K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019.
Pumped hydro;Max;2018;2018 €/KWh*a;0.001;Assumption based on K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019.
Pumped hydro;Max;2020;2018 €/KWh*a;0.001;Assumption based on K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019.
Pumped hydro;Max;2030;2018 €/KWh*a;0.001;K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019.
Pumped hydro;Max;2040;2018 €/KWh*a;0.001;Assumption based on K.-K. Cao, T. Pregger, Y. Scholz, H.C. Gils, K. Nienhaus, M. Deissenroth, C. Schimeczek, N. Krämer, B. Schober, H. Lens, T. Kneiske, and B. Idlbi, Analysis of infrastructural options to integrate renewable energies in Germany and Europe considering security of supply (INTEEVER), Federal Ministry for Economic Affairs and Energy, 2019.
