commissioned;ST_uranium;ST_lignite;ST_hardcoal;CC_natgas;M_natgas;ST_natgas;GT_natgas;M_oil;ST_oil;GT_oil;CC_oil;ST_biomass;GT_biomass;water;ST_mixedfuels;ST_otherfossil;GT_otherfossil;ST_waste
1962;0,33;0,3088;0,33;0,45;0,3888;0,3432;0,2812;0,3888;0,3432;0,2812;0,45;0,38;0,38;0,9;0,4;0,4;0,4;0,4
1963;0,33;0,3112;0,3325;0,45;0,3902;0,3443;0,2838;0,3902;0,3443;0,2838;0,45;0,38;0,38;0,9;0,4;0,4;0,4;0,4
1964;0,33;0,3136;0,335;0,45;0,3916;0,3454;0,2864;0,3916;0,3454;0,2864;0,45;0,38;0,38;0,9;0,4;0,4;0,4;0,4
1965;0,33;0,316;0,3375;0,45;0,393;0,3465;0,289;0,393;0,3465;0,289;0,45;0,38;0,38;0,9;0,4;0,4;0,4;0,4
1966;0,33;0,3184;0,34;0,45;0,3944;0,3476;0,2916;0,3944;0,3476;0,2916;0,45;0,38;0,38;0,9;0,4;0,4;0,4;0,4
1967;0,33;0,3208;0,3425;0,45;0,3958;0,3487;0,2942;0,3958;0,3487;0,2942;0,45;0,38;0,38;0,9;0,4;0,4;0,4;0,4
1968;0,33;0,3232;0,345;0,45;0,3972;0,3498;0,2968;0,3972;0,3498;0,2968;0,45;0,38;0,38;0,9;0,4;0,4;0,4;0,4
1969;0,33;0,3256;0,3475;0,45;0,3986;0,3509;0,2994;0,3986;0,3509;0,2994;0,45;0,38;0,38;0,9;0,4;0,4;0,4;0,4
1970;0,33;0,328;0,35;0,45;0,4;0,352;0,302;0,4;0,352;0,302;0,45;0,38;0,38;0,9;0,4;0,4;0,4;0,4
1971;0,33;0,3304;0,3525;0,45;0,4014;0,3531;0,3046;0,4014;0,3531;0,3046;0,45;0,38;0,38;0,9;0,4;0,4;0,4;0,4
1972;0,33;0,3328;0,355;0,45;0,4028;0,3542;0,3072;0,4028;0,3542;0,3072;0,45;0,38;0,38;0,9;0,4;0,4;0,4;0,4
1973;0,33;0,3352;0,3575;0,45;0,4042;0,3553;0,3098;0,4042;0,3553;0,3098;0,45;0,38;0,38;0,9;0,4;0,4;0,4;0,4
1974;0,33;0,3376;0,36;0,45;0,4056;0,3564;0,3124;0,4056;0,3564;0,3124;0,45;0,38;0,38;0,9;0,4;0,4;0,4;0,4
1975;0,33;0,34;0,3625;0,45;0,407;0,3575;0,315;0,407;0,3575;0,315;0,45;0,38;0,38;0,9;0,4;0,4;0,4;0,4
1976;0,33;0,3424;0,365;0,45;0,4084;0,3586;0,3176;0,4084;0,3586;0,3176;0,45;0,38;0,38;0,9;0,4;0,4;0,4;0,4
1977;0,33;0,3448;0,3675;0,45;0,4098;0,3597;0,3202;0,4098;0,3597;0,3202;0,45;0,38;0,38;0,9;0,4;0,4;0,4;0,4
1978;0,33;0,3472;0,37;0,45;0,4112;0,3608;0,3228;0,4112;0,3608;0,3228;0,45;0,38;0,38;0,9;0,4;0,4;0,4;0,4
