Kraftwerksnummer BNetzA;Kraftwerksbetreiber;Kraftwerksblock;Netto-Nennleistung in MW laut KW-Liste;Stilllegungsanzeigentyp;Systemrelevanz von zur Stilllegung angezeigten KW-Blöcken gemäß ÜNB
BNA0738;;;;;
BNA0739;;;;;
BNA0740;;;;;
BNA0741;;;;;
BNA0735;Lausitz Energie Kraftwerke AG;GTKW Thyrow F-H;112,5;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0736;;;;;
BNA0737;;;;;
BNA0918a;Dow Deutschland Anlagengesellschaft mbH;DOW Stade Alt;190;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0075;Vattenfall Europe Wärme AG;HKW Lichterfelde 1;144;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0076;Vattenfall Europe Wärme AG;HKW Lichterfelde 3;144;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0080;Vattenfall Europe Wärme AG;HKW Lichterfelde 2;144;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0288;Mainova AG;HKW Niederrad Block 2;56;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0661;Evonik Degussa GmbH;Marl KW II Block 3;60,4;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0161;Vattenfall Europe Generation AG;Brunsbüttel GT A-D;254;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0162;;;;;
BNA0163;;;;;
BNA0164;;;;;
BNA0991;Kraftwerke Voerde beschränkt haftende OHG;Voerde A;695;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0992;Kraftwerke Voerde beschränkt haftende OHG;Voerde B;695;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0799;Heizkraftwerk Pforzheim GmbH;DT2;11,3;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0074;Vattenfall Europe Wärme AG;HKW Charlottenburg GT 6;67;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0990;STEAG GmbH;West 1;322;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0989;STEAG GmbH;West 2;318;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0449;STEAG GmbH;Herne 3;280;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0820;STEAG GmbH;Weiher 3;655,6;Geplant vorläufig;x
BNA0093;STEAG GmbH;Bexbach;726;Geplant vorläufig;x
BNA0273;Stadtwerke Flensburg GmbH;Heizkraftwerk FL 8;35;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0274;Stadtwerke Flensburg GmbH;Heizkraftwerk FL 7;23;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA0514;EnBW Energie Baden-Württemberg AG;RDK 4S;342;Geplant endgültig;x
BNA0211;Stadtwerke Duisburg AG;HKW I;95;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
BNA1084;WSW Energie & Wasser AG;HKW Elberfeld;85;Geplante endgültige Stilllegung und mittlerweile endgültig stillgelegt;
