2019-01-01_00:00:00;0.99
2019-02-01_00:00:00;0.991
2019-03-01_00:00:00;0.977
2019-04-01_00:00:00;0.916
2019-05-01_00:00:00;0.895
2019-06-01_00:00:00;0.878
2019-07-01_00:00:00;0.881
2019-08-01_00:00:00;0.871
2019-09-01_00:00:00;0.918
2019-10-01_00:00:00;0.953
2019-11-01_00:00:00;0.972
2019-12-01_00:00:00;0.995
