bnaID;ERid;opsd;Peschel;Hahn;ITE;ERman;tecFin;Comment
BNA1076a;ER0000241;SPP;NA;SPP;NA;NA;SPP;NA
BNA1076b;ER0000242;SPP;SPP;SPP;NA;NA;SPP;NA
BNA1078;ER0000522;SPP;CC;T;CC;NA;CC;NA
BNA1082;ER0000524;CC;NA;CC;CC;NA;CC;NA
BNA1083;ER0000679;CC;NA;NA;NA;NA;CC;NA
BNA1084;ER0000243;SPP;SPP;SPP;NA;NA;SPP;NA
BNA1085;ER0000525;CC;CC;NA;CC;NA;CC;NA
BNA1086;ER0000526;CC;CC;NA;CC;NA;CC;NA
BNA1087;ER0000527;CC;CC;NA;T;NA;CC;NA
BNA1088;ER0000528;CC;CC;CC;T;NA;CC;NA
BNA1089;ER0000529;SPP;CC;T;SPP;NA;SPP;NA
BNA1091;ER0000069;SPP;NA;NA;NA;NA;SPP;NA
BNA1092;ER0000681;T;NA;NA;NA;NA;T;NA
BNA1093;ER0000244;SPP;SPP;SPP;NA;NA;SPP;NA
BNA1094;ER0000530;SPP;CC;NA;T;CC;CC;NA
BNA1097;ER0000132;SPP;SPP;NA;NA;NA;SPP;NA
BNA1098;ER0000766;ROR;NA;NA;NA;NA;ROR;NA
BNA1102;ER0000750;ROR;NA;NA;NA;NA;ROR;NA
BNA1103;ER0000279;SPP;CC;NA;SPP;NA;SPP;NA
BNA1104;ER0000281;SPP;T;NA;T;NA;T;NA
BNA1105;ER0000283;SPP;CC;NA;T;T;T;NA
BNA1108;ER0000552;SPP;NA;NA;NA;NA;SPP;NA
BNA1110;ER0000553;SPP;NA;NA;NA;NA;SPP;NA
BNA1114;ER0000912;SPP;NA;NA;NA;NA;SPP;NA
BNA1114;ER0000913;SPP;NA;NA;NA;NA;SPP;NA
BNA1115;ER0000849;SPP;NA;NA;NA;NA;SPP;NA
BNA1116;ER0000556;SPP;NA;NA;NA;NA;SPP;NA
BNA1117;ER0000308;SPP;CC;NA;T;T;T;NA
BNA1118;ER0000767;ROR;NA;NA;NA;NA;ROR;NA
BNA1119;ER0000557;SPP;NA;NA;NA;NA;SPP;NA
BNA1120;ER0000313;T;T;NA;T;NA;T;NA
BNA1121;ER0000314;SPP;M;NA;T;M;M;NA
BNA1125;ER0000317;T;CC;NA;T;NA;T;NA
BNA1126;ER0000769;ROR;NA;NA;NA;NA;ROR;NA
BNA1127;ER0000318;T;NA;NA;T;NA;T;NA
BNA1128;ER0000319;T;T;NA;T;NA;T;NA
BNA1129;ER0000770;ROR;NA;NA;NA;NA;ROR;NA
BNA1131;ER0000325;SPP;M;NA;T;T;T;NA
BNA1134;ER0000772;ROR;NA;NA;NA;NA;ROR;NA
BNA1135;ER0000773;ROR;NA;NA;NA;NA;ROR;NA
BNA1136;ER0000774;ROR;NA;NA;NA;NA;ROR;NA
BNA1137;ER0000775;ROR;NA;NA;NA;NA;ROR;NA
BNA1138;ER0000343;SPP;M;NA;M;NA;M;NA
BNA1139;ER0000560;SPP;NA;NA;NA;NA;SPP;NA
BNA1140;ER0000777;ROR;NA;NA;NA;NA;ROR;NA
BNA1141;ER0000887;SPP;SPP;NA;NA;NA;SPP;NA
BNA1141;ER0000888;SPP;SPP;NA;NA;NA;SPP;NA
BNA1141;ER0000889;SPP;SPP;NA;NA;NA;SPP;NA
BNA1143;ER0000779;ROR;NA;NA;NA;NA;ROR;NA
BNA1144;ER0000565;SPP;NA;NA;NA;NA;SPP;NA
BNA1148;ER0000569;SPP;NA;NA;NA;NA;SPP;NA
BNA1151;ER0000370;SPP;T;NA;T;NA;T;NA
BNA1152;ER0000783;ROR;NA;NA;NA;NA;ROR;NA
BNA1153;ER0000784;ROR;NA;NA;NA;NA;ROR;NA
BNA1154;ER0000572;SPP;NA;NA;NA;NA;SPP;NA
BNA1155;ER0000573;SPP;NA;NA;NA;NA;SPP;NA
BNA1157;ER0000785;ROR;NA;NA;NA;NA;ROR;NA
BNA1160;ER0000787;ROR;NA;NA;NA;NA;ROR;NA
BNA1161;ER0000575;SPP;NA;NA;NA;NA;SPP;NA
BNA1164;ER0000113;SPP;SPP;NA;NA;NA;SPP;NA
BNA1165;ER0000382;SPP;CC;NA;T;T;T;NA
BNA1166;ER0000652;SPP;NA;NA;NA;NA;SPP;NA
BNA1167;ER0000577;SPP;NA;NA;NA;NA;SPP;NA
BNA1168;ER0000578;SPP;NA;NA;NA;NA;SPP;NA
BNA1169;ER0000788;ROR;NA;NA;NA;NA;ROR;NA
BNA1175;ER0000918;ROR;NA;NA;NA;NA;ROR;NA
BNA1175;ER0000919;ROR;NA;NA;NA;NA;ROR;NA
BNA1181;ER0000790;ROR;NA;NA;NA;NA;ROR;NA
BNA1182;ER0000393;SPP;CC;NA;CC;NA;CC;NA
BNA1183;ER0000394;CC;CC;NA;CC;NA;CC;NA
BNA1184;ER0000579;SPP;NA;NA;NA;NA;SPP;NA
BNA1185;ER0000116;SPP;SPP;NA;NA;NA;SPP;NA
BNA1186a;ER0000580;SPP;NA;NA;NA;NA;SPP;NA
BNA1186b;ER0000581;SPP;NA;NA;NA;NA;SPP;NA
BNA1186c;ER0000582;SPP;NA;NA;NA;NA;SPP;NA
BNA1186d;ER0000583;SPP;NA;NA;NA;NA;SPP;NA
BNA1186e;ER0000584;SPP;NA;NA;NA;NA;SPP;NA
BNA1187;ER0000399;SPP;CC;NA;T;T;T;NA
BNA1189;ER0000793;ROR;NA;NA;NA;NA;ROR;NA
BNA1190;ER0000585;SPP;NA;NA;NA;NA;SPP;NA
BNA1191;ER0000794;ROR;NA;NA;NA;NA;ROR;NA
BNA1192;ER0000795;ROR;NA;NA;NA;NA;ROR;NA
BNA1193;ER0000403;SPP;T;NA;CC;T;T;NA
BNA1196a;ER0000420;SPP;M;NA;M;NA;M;NA
BNA1196b;ER0000421;CC;CC;NA;CC;NA;CC;NA
BNA1197;ER0000590;SPP;NA;NA;NA;NA;SPP;NA
BNA1198;ER0000591;SPP;NA;NA;NA;NA;SPP;NA
BNA1199;ER0000594;SPP;NA;NA;NA;NA;SPP;NA
BNA1200;ER0000424;CC;CC;NA;CC;NA;CC;NA
BNA1209;ER0000797;ROR;NA;NA;NA;NA;ROR;NA
BNA1210;ER0000798;ROR;NA;NA;NA;NA;ROR;NA
BNA1212;ER0000660;SPP;NA;NA;NA;NA;SPP;NA
BNA1213;ER0000799;ROR;NA;NA;NA;NA;ROR;NA
BNA1214;ER0000800;ROR;NA;NA;NA;NA;ROR;NA
BNA1216;ER0000801;ROR;NA;NA;NA;NA;ROR;NA
BNA1217;ER0000804;ROR;NA;NA;NA;NA;ROR;NA
BNA1219;ER0000805;ROR;NA;NA;NA;NA;ROR;NA
BNA1220;ER0000808;ROR;NA;NA;NA;NA;ROR;NA
BNA1221;ER0000809;ROR;NA;NA;NA;NA;ROR;NA
BNA1222;ER0000603;SPP;NA;NA;NA;NA;SPP;NA
BNA1225;ER0000468;SPP;NA;NA;T;M;M;NA
BNA1226;ER0000469;SPP;M;NA;T;M;M;NA
BNA1227;ER0000914;SPP;NA;NA;NA;NA;SPP;NA
BNA1227;ER0000915;SPP;NA;NA;NA;NA;SPP;NA
BNA1228;ER0000814;ROR;NA;NA;NA;NA;ROR;NA
BNA1229;ER0000604;SPP;NA;NA;NA;NA;SPP;NA
BNA1230;ER0000815;ROR;NA;NA;NA;NA;ROR;NA
BNA1232;ER0000605;SPP;NA;NA;NA;NA;SPP;NA
BNA1233;ER0000606;SPP;NA;NA;NA;NA;SPP;NA
BNA1234;ER0000816;ROR;NA;NA;NA;NA;ROR;NA
BNA1235;ER0000817;ROR;NA;NA;NA;NA;ROR;NA
BNA1238;ER0000477;SPP;CC;NA;CC;NA;CC;NA
BNA1239;ER0000818;ROR;NA;NA;NA;NA;ROR;NA
BNA1243;ER0000608;SPP;NA;NA;NA;NA;SPP;NA
BNA1244;ER0000610;SPP;NA;NA;NA;NA;SPP;NA
BNA1245;ER0000823;ROR;NA;NA;NA;NA;ROR;NA
BNA1246;ER0000824;ROR;NA;NA;NA;NA;ROR;NA
BNA1247;ER0000826;ROR;NA;NA;NA;NA;ROR;NA
BNA1248a;ER0000486;SPP;NA;NA;NA;NA;SPP;NA
BNA1248b;ER0000487;SPP;CC;NA;NA;CC;CC;NA
BNA1249;ER0000877;SPP;NA;NA;NA;NA;SPP;NA
BNA1250;ER0000827;ROR;NA;NA;NA;NA;ROR;NA
BNA1251;ER0000828;ROR;NA;NA;NA;NA;ROR;NA
BNA1254;ER0000611;SPP;NA;NA;NA;NA;SPP;NA
BNA1255;ER0000612;SPP;NA;NA;NA;NA;SPP;NA
BNA1256;ER0000063;SPP;NA;NA;NA;NA;SPP;NA
BNA1260;ER0000908;SPP;CC;T;CC;NA;CC;NA
BNA1260;ER0000909;SPP;CC;T;CC;NA;CC;NA
BNA1261;ER0000615;SPP;NA;NA;NA;NA;SPP;NA
BNA1262;ER0000616;SPP;NA;NA;NA;NA;SPP;NA
BNA1263;ER0000832;ROR;NA;NA;NA;NA;ROR;NA
BNA1264;ER0000499;SPP;CC;NA;T;T;T;NA
BNA1265;ER0000834;ROR;NA;NA;NA;NA;ROR;NA
BNA1267;ER0000835;ROR;NA;NA;NA;NA;ROR;NA
BNA1269;ER0000839;ROR;NA;NA;NA;NA;ROR;NA
BNA1271;ER0000501;SPP;CC;T;SPP;NA;SPP;NA
BNA1273;ER0000842;ROR;NA;NA;NA;NA;ROR;NA
BNA1274;ER0000843;ROR;NA;NA;NA;NA;ROR;NA
BNA1275;ER0000535;SPP;NA;NA;CC;SPP;SPP;NA
BNA1276;ER0000536;SPP;NA;NA;T;SPP;SPP;NA
BNA1279;ER0000516;CC;T;CC;T;T;T;NA
BNA1280;ER0000677;CC;NA;CC;NA;NA;CC;NA
BNA1284;ER0000521;SPP;T;NA;T;NA;T;NA
BNA1285;ER0000523;SPP;T;NA;T;NA;T;NA
BNA1286;ER0000627;SPP;NA;NA;NA;NA;SPP;NA
BNA1287;ER0000847;ROR;NA;NA;NA;NA;ROR;NA
BNA1289;ER0000576;SPP;NA;NA;NA;NA;SPP;NA
BNA1291;ER0000547;SPP;NA;NA;SPP;NA;SPP;NA
BNA1292a;ER0000371;SPP;CC;NA;T;T;T;NA
BNA1292b;ER0000372;SPP;M;NA;M;NA;M;NA
BNA1293a;ER0000080;SPP;NA;NA;NA;NA;SPP;NA
BNA1293b;ER0000081;SPP;SPP;NA;NA;NA;SPP;NA
BNA1293c;ER0000286;SPP;NA;NA;CC;T;T;NA
BNA1293d;ER0000632;SPP;NA;NA;NA;NA;SPP;NA
BNA1294;ER0000646;SPP;NA;NA;NA;NA;SPP;NA
BNA1295;ER0000548;SPP;NA;NA;NA;NA;SPP;NA
BNA1315;ER0000353;SPP;CC;NA;T;T;T;NA
BNA1316;ER0000624;SPP;NA;NA;NA;NA;SPP;NA
BNA1327a;ER0000439;SPP;M;NA;T;M;M;NA
BNA1327b;ER0000440;SPP;M;NA;T;M;M;NA
BNA1328;ER0000476;SPP;CC;NA;CC;NA;CC;NA
BNA1329;ER0000397;CC;CC;NA;CC;NA;CC;NA
BNA1330;ER0000564;SPP;NA;NA;NA;NA;SPP;NA
BNA1331;ER0000890;SPP;SPP;NA;NA;NA;SPP;NA
BNA1331;ER0000891;SPP;SPP;NA;NA;NA;SPP;NA
BNA1332;ER0000431;SPP;T;NA;T;NA;T;NA
BNA1333a;ER0000496;SPP;CC;NA;CC;NA;CC;NA
BNA1333b;ER0000497;SPP;CC;NA;SPP;NA;SPP;NA
BNA1333c;ER0000498;SPP;CC;NA;T;CC;CC;NA
BNA1334;ER0000894;CC;CC;NA;NA;NA;CC;NA
BNA1334;ER0000895;CC;CC;NA;NA;NA;CC;NA
BNA1335a;ER0000502;SPP;CC;T;T;NA;T;NA
BNA1335b;ER0000503;SPP;CC;NA;SPP;NA;SPP;NA
BNA1335c;ER0000067;M;NA;NA;NA;NA;M;NA
BNA1336;ER0000331;SPP;CC;CC;CC;NA;CC;NA
BNA1337a;ER0000533;SPP;NA;NA;T;SPP;SPP;NA
BNA1337b;ER0000012;SPP;NA;NA;NA;NA;SPP;NA
BNA1337c;ER0000013;SPP;NA;NA;NA;NA;SPP;NA
BNA1337d;ER0000631;SPP;NA;NA;NA;NA;SPP;NA
BNA1337e;ER0000278;CC;CC;CC;CC;NA;CC;NA
BNA1338;ER0000683;SPP;NA;NA;NA;NA;SPP;NA
BNA1396;ER0000432;SPP;M;T;M;NA;M;NA
BNA1397a;ER0000862;T;NA;NA;NA;NA;T;NA
BNA1397b;ER0000863;T;NA;NA;NA;NA;T;NA
BNA1397c;ER0000864;T;NA;NA;NA;NA;T;NA
BNA1397d;ER0000865;T;NA;NA;NA;NA;T;NA
BNA1397e;ER0000866;T;NA;NA;NA;NA;T;NA
BNA1398;ER0000042;SPP;NA;NA;NA;NA;SPP;NA
BNA1399;ER0000873;SPP;NA;NA;SPP;NA;SPP;NA
BNA1400a;ER0000130;SPP;NA;NA;NA;NA;SPP;NA
BNA1400b;ER0000680;SPP;SPP;NA;NA;NA;SPP;NA
BNA1401a;ER0000101;SPP;NA;SPP;NA;NA;SPP;NA
BNA1401b;ER0000102;SPP;NA;SPP;NA;NA;SPP;NA
BNA1402;ER0000446;SPP;CC;NA;T;CC;CC;NA
BNA1403;ER0000494;SPP;CC;NA;CC;NA;CC;NA
BNA1404;ER0000088;SPP;NA;SPP;NA;NA;SPP;NA
BNA1405a;ER0000223;SPP;SPP;NA;NA;NA;SPP;NA
BNA1405b;ER0000065;SPP;NA;NA;NA;NA;SPP;NA
BNA1405c;ER0000066;SPP;NA;NA;NA;NA;SPP;NA
BNA1406;ER0000444;SPP;CC;NA;T;T;T;NA
BNA1407;ER0000507;SPP;T;NA;CC;T;T;NA
BNA1408;ER0000479;SPP;CC;NA;T;CC;CC;NA
BNA1409;ER0000850;SPP;NA;NA;NA;NA;SPP;NA
BNA1437;ER0000492;T;T;T;T;NA;T;NA
BNA1444a;ER0000459;T;NA;NA;T;NA;T;NA
BNA1444b;ER0000460;T;NA;NA;T;NA;T;NA
BNA1444c;ER0000461;T;NA;NA;T;NA;T;NA
BNA1444d;ER0000462;T;NA;NA;T;NA;T;NA
BNA1447a;ER0000622;SPP;NA;NA;NA;NA;SPP;NA
BNA1447b;ER0000623;SPP;NA;NA;NA;NA;SPP;NA
BNA1448;ER0000599;SPP;NA;NA;NA;NA;SPP;NA
BNA1449a;ER0000625;SPP;NA;NA;NA;NA;SPP;NA
BNA1449b;ER0000626;SPP;NA;NA;NA;NA;SPP;NA
BNA1450;ER0000398;CC;CC;NA;CC;NA;CC;NA
BNA1451;ER0000093;SPP;SPP;NA;NA;NA;SPP;NA
BNA1458;ER0000277;SPP;T;NA;CC;CC;CC;NA
BNA1461;ER0000131;SPP;SPP;NA;NA;NA;SPP;NA
BNA1463;ER0000375;SPP;T;NA;T;NA;T;NA
BNA1464;ER0000485;SPP;CC;CC;CC;NA;CC;NA
BNA1465a;ER0000878;SPP;NA;NA;NA;NA;SPP;NA
BNA1465b;ER0000517;SPP;T;NA;NA;CC;CC;NA
BNA1466;ER0000840;ROR;NA;NA;NA;NA;ROR;NA
BNA1467;ER0000211;SPP;SPP;NA;NA;NA;SPP;NA
BNA1486;ER0000125;SPP;SPP;NA;NA;NA;SPP;NA
BNA1487;ER0000316;CC;NA;NA;T;T;T;NA
BNA1488;ER0000920;SPP;NA;NA;NA;NA;SPP;NA
BNA1488;ER0000921;SPP;NA;NA;NA;NA;SPP;NA
BNA1489;ER0000495;SPP;CC;NA;T;M;M;NA
BNA1490;ER0000574;SPP;NA;NA;NA;NA;SPP;NA
BNA1492a;ER0000354;SPP;CC;NA;CC;NA;CC;NA
BNA1492b;ER0000355;SPP;CC;NA;CC;NA;CC;NA
BNA1498;ER0000902;SPP;NA;NA;NA;NA;SPP;NA
BNA1498;ER0000903;SPP;NA;NA;NA;NA;SPP;NA
BNA1499;ER0000898;SPP;NA;NA;NA;NA;SPP;NA
BNA1499;ER0000899;SPP;NA;NA;NA;NA;SPP;NA
BNA1500;ER0000892;SPP;NA;NA;NA;NA;SPP;NA
BNA1500;ER0000893;SPP;NA;NA;NA;NA;SPP;NA
BNA1501;ER0000043;SPP;NA;NA;NA;NA;SPP;NA
BNA1502;ER0000900;SPP;CC;NA;NA;M;M;NA
BNA1502;ER0000901;SPP;CC;NA;NA;M;M;NA
BNA1503;ER0000332;SPP;M;NA;NA;M;M;NA
BNA1504;ER0000518;SPP;M;NA;NA;M;M;NA
BNA1505;ER0000335;SPP;CC;NA;NA;CC;CC;NA
BNA1506;ER0000389;SPP;NA;NA;NA;NA;SPP;NA
BNA1507;ER0000282;SPP;CC;NA;NA;CC;CC;NA
BNA1508;ER0000203;SPP;SPP;NA;NA;NA;SPP;NA
BNA1509;ER0000415;SPP;CC;NA;NA;CC;CC;NA
BNA1510;ER0000614;SPP;NA;NA;NA;NA;SPP;NA
BNA1511a;ER0000094;SPP;SPP;NA;NA;NA;SPP;NA
BNA1511b;ER0000326;SPP;T;NA;NA;T;T;NA
BNA1516;ER0000467;SPP;CC;NA;NA;CC;CC;NA
BNA1520;ER0000621;SPP;NA;NA;NA;NA;SPP;NA
BNA1522;ER0000049;SPP;NA;NA;NA;NA;SPP;NA
BNA1523a;ER0000428;CC;CC;NA;NA;NA;CC;NA
BNA1523b;ER0000429;CC;NA;NA;NA;NA;CC;NA
BNA1523c;ER0000872;SPP;NA;NA;NA;NA;SPP;NA
BNA1523d;ER0000430;SPP;CC;NA;NA;SPP;SPP;NA
BNA1524;ER0000299;SPP;T;NA;NA;CC;CC;NA
BNA1526;ER0000651;SPP;NA;NA;NA;NA;SPP;NA
BNA1528;ER0000386;SPP;M;NA;NA;M;M;NA
BNA1531;ER0000416;SPP;CC;NA;NA;T;T;NA
BNA1541;ER0000351;SPP;T;NA;NA;M;M;NA
BNA1553;ER0000867;SPP;NA;NA;NA;NA;SPP;NA
BNA1556;ER0000404;SPP;T;NA;NA;CC;CC;NA
BNA1557;ER0000531;SPP;M;NA;NA;M;M;NA
BNA1558;ER0000180;SPP;NA;NA;NA;NA;SPP;NA
BNA1658;ER0000402;SPP;NA;NA;NA;NA;SPP;NA
BNA1671;ER0000307;SPP;NA;NA;NA;NA;SPP;NA
BNA1672;ER0000754;ROR;NA;NA;NA;NA;ROR;NA
BNA1673;ER0000181;SPP;NA;NA;NA;NA;SPP;NA
BNA1674;ER0000238;SPP;NA;NA;NA;NA;SPP;NA
BNA1675;ER0000744;ROR;NA;NA;NA;NA;ROR;NA
BNA1676;ER0000427;SPP;NA;NA;NA;NA;SPP;NA
BNA1677;ER0000520;SPP;NA;NA;NA;NA;SPP;NA
BNA1678;ER0000441;SPP;NA;NA;NA;NA;SPP;NA
