label,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PL_bus_natgas,2.38,2.31,4.0,2.18,2.12,2.05,1.99,1.92,1.86,1.79,1.72,1.66,1.59,1.53,1.46,1.4,1.33,1.27,1.2,1.14,1.07,1.0,0.94,0.87,0.81,0.74,0.68,0.61,0.55,0.48,0.42,0.35,0.28,0.22,0.15,0.09
NO2_bus_natgas,2.38,2.31,4.0,2.18,2.12,2.05,1.99,1.92,1.86,1.79,1.72,1.66,1.59,1.53,1.46,1.4,1.33,1.27,1.2,1.14,1.07,1.0,0.94,0.87,0.81,0.74,0.68,0.61,0.55,0.48,0.42,0.35,0.28,0.22,0.15,0.09
NO5_bus_natgas,2.38,2.31,4.0,2.18,2.12,2.05,1.99,1.92,1.86,1.79,1.72,1.66,1.59,1.53,1.46,1.4,1.33,1.27,1.2,1.14,1.07,1.0,0.94,0.87,0.81,0.74,0.68,0.61,0.55,0.48,0.42,0.35,0.28,0.22,0.15,0.09
DE_bus_oil,2.38,2.31,3.0,2.18,2.12,2.05,1.99,1.92,1.86,1.79,1.72,1.66,1.59,1.53,1.46,1.4,1.33,1.27,1.2,1.14,1.07,1.0,0.94,0.87,0.81,0.74,0.68,0.61,0.55,0.48,0.42,0.35,0.28,0.22,0.15,0.09
AT_bus_oil,2.38,2.31,3.0,2.18,2.12,2.05,1.99,1.92,1.86,1.79,1.72,1.66,1.59,1.53,1.46,1.4,1.33,1.27,1.2,1.14,1.07,1.0,0.94,0.87,0.81,0.74,0.68,0.61,0.55,0.48,0.42,0.35,0.28,0.22,0.15,0.09
BE_bus_oil,2.38,2.31,3.0,2.18,2.12,2.05,1.99,1.92,1.86,1.79,1.72,1.66,1.59,1.53,1.46,1.4,1.33,1.27,1.2,1.14,1.07,1.0,0.94,0.87,0.81,0.74,0.68,0.61,0.55,0.48,0.42,0.35,0.28,0.22,0.15,0.09
DK2_bus_oil,2.38,2.31,3.0,2.18,2.12,2.05,1.99,1.92,1.86,1.79,1.72,1.66,1.59,1.53,1.46,1.4,1.33,1.27,1.2,1.14,1.07,1.0,0.94,0.87,0.81,0.74,0.68,0.61,0.55,0.48,0.42,0.35,0.28,0.22,0.15,0.09
DK1_bus_oil,2.38,2.31,3.0,2.18,2.12,2.05,1.99,1.92,1.86,1.79,1.72,1.66,1.59,1.53,1.46,1.4,1.33,1.27,1.2,1.14,1.07,1.0,0.94,0.87,0.81,0.74,0.68,0.61,0.55,0.48,0.42,0.35,0.28,0.22,0.15,0.09
FR_bus_oil,2.38,2.31,3.0,2.18,2.12,2.05,1.99,1.92,1.86,1.79,1.72,1.66,1.59,1.53,1.46,1.4,1.33,1.27,1.2,1.14,1.07,1.0,0.94,0.87,0.81,0.74,0.68,0.61,0.55,0.48,0.42,0.35,0.28,0.22,0.15,0.09
PL_bus_oil,2.38,2.31,3.0,2.18,2.12,2.05,1.99,1.92,1.86,1.79,1.72,1.66,1.59,1.53,1.46,1.4,1.33,1.27,1.2,1.14,1.07,1.0,0.94,0.87,0.81,0.74,0.68,0.61,0.55,0.48,0.42,0.35,0.28,0.22,0.15,0.09
DE_bus_otherfossil,3.53,3.44,5.0,3.27,3.19,3.1,3.01,2.93,2.84,2.76,2.67,2.59,2.5,2.42,2.33,2.24,2.16,2.07,1.99,1.9,1.82,1.73,1.65,1.56,1.47,1.39,1.3,1.22,1.13,1.05,0.96,0.88,0.79,0.7,0.62,0.53
AT_bus_otherfossil,3.53,3.44,5.0,3.27,3.19,3.1,3.01,2.93,2.84,2.76,2.67,2.59,2.5,2.42,2.33,2.24,2.16,2.07,1.99,1.9,1.82,1.73,1.65,1.56,1.47,1.39,1.3,1.22,1.13,1.05,0.96,0.88,0.79,0.7,0.62,0.53
BE_bus_otherfossil,3.53,3.44,5.0,3.27,3.19,3.1,3.01,2.93,2.84,2.76,2.67,2.59,2.5,2.42,2.33,2.24,2.16,2.07,1.99,1.9,1.82,1.73,1.65,1.56,1.47,1.39,1.3,1.22,1.13,1.05,0.96,0.88,0.79,0.7,0.62,0.53
CH_bus_otherfossil,3.53,3.44,5.0,3.27,3.19,3.1,3.01,2.93,2.84,2.76,2.67,2.59,2.5,2.42,2.33,2.24,2.16,2.07,1.99,1.9,1.82,1.73,1.65,1.56,1.47,1.39,1.3,1.22,1.13,1.05,0.96,0.88,0.79,0.7,0.62,0.53
CZ_bus_otherfossil,3.53,3.44,5.0,3.27,3.19,3.1,3.01,2.93,2.84,2.76,2.67,2.59,2.5,2.42,2.33,2.24,2.16,2.07,1.99,1.9,1.82,1.73,1.65,1.56,1.47,1.39,1.3,1.22,1.13,1.05,0.96,0.88,0.79,0.7,0.62,0.53
DK2_bus_otherfossil,3.53,3.44,5.0,3.27,3.19,3.1,3.01,2.93,2.84,2.76,2.67,2.59,2.5,2.42,2.33,2.24,2.16,2.07,1.99,1.9,1.82,1.73,1.65,1.56,1.47,1.39,1.3,1.22,1.13,1.05,0.96,0.88,0.79,0.7,0.62,0.53
DK1_bus_otherfossil,3.53,3.44,5.0,3.27,3.19,3.1,3.01,2.93,2.84,2.76,2.67,2.59,2.5,2.42,2.33,2.24,2.16,2.07,1.99,1.9,1.82,1.73,1.65,1.56,1.47,1.39,1.3,1.22,1.13,1.05,0.96,0.88,0.79,0.7,0.62,0.53
NL_bus_otherfossil,3.53,3.44,5.0,3.27,3.19,3.1,3.01,2.93,2.84,2.76,2.67,2.59,2.5,2.42,2.33,2.24,2.16,2.07,1.99,1.9,1.82,1.73,1.65,1.56,1.47,1.39,1.3,1.22,1.13,1.05,0.96,0.88,0.79,0.7,0.62,0.53
PL_bus_otherfossil,3.53,3.44,5.0,3.27,3.19,3.1,3.01,2.93,2.84,2.76,2.67,2.59,2.5,2.42,2.33,2.24,2.16,2.07,1.99,1.9,1.82,1.73,1.65,1.56,1.47,1.39,1.3,1.22,1.13,1.05,0.96,0.88,0.79,0.7,0.62,0.53
SE3_bus_otherfossil,3.53,3.44,5.0,3.27,3.19,3.1,3.01,2.93,2.84,2.76,2.67,2.59,2.5,2.42,2.33,2.24,2.16,2.07,1.99,1.9,1.82,1.73,1.65,1.56,1.47,1.39,1.3,1.22,1.13,1.05,0.96,0.88,0.79,0.7,0.62,0.53
DE_bus_waste,3.53,3.44,5.0,3.27,3.19,3.1,3.01,2.93,2.84,2.76,2.67,2.59,2.5,2.42,2.33,2.24,2.16,2.07,1.99,1.9,1.82,1.73,1.65,1.56,1.47,1.39,1.3,1.22,1.13,1.05,0.96,0.88,0.79,0.7,0.62,0.53
DE_bus_mixedfuels,3.53,3.44,5.0,3.27,3.19,3.1,3.01,2.93,2.84,2.76,2.67,2.59,2.5,2.42,2.33,2.24,2.16,2.07,1.99,1.9,1.82,1.73,1.65,1.56,1.47,1.39,1.3,1.22,1.13,1.05,0.96,0.88,0.79,0.7,0.62,0.53
CH_bus_uranium,5.0,5.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
CZ_bus_uranium,5.0,5.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
FR_bus_uranium,5.0,5.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
NL_bus_uranium,5.0,5.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
PL_bus_uranium,5.0,5.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
SE3_bus_uranium,5.0,5.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
AT_bus_otherRES,1.95,1.9,4.0,1.8,1.74,1.69,1.64,1.59,1.53,1.48,1.43,1.37,1.32,1.27,1.22,1.16,1.11,1.06,1.01,0.95,0.9,0.85,0.79,0.74,0.69,0.64,0.58,0.53,0.48,0.43,0.37,0.32,0.27,0.21,0.16,0.11
BE_bus_otherRES,1.95,1.9,4.0,1.8,1.74,1.69,1.64,1.59,1.53,1.48,1.43,1.37,1.32,1.27,1.22,1.16,1.11,1.06,1.01,0.95,0.9,0.85,0.79,0.74,0.69,0.64,0.58,0.53,0.48,0.43,0.37,0.32,0.27,0.21,0.16,0.11
CH_bus_otherRES,1.95,1.9,4.0,1.8,1.74,1.69,1.64,1.59,1.53,1.48,1.43,1.37,1.32,1.27,1.22,1.16,1.11,1.06,1.01,0.95,0.9,0.85,0.79,0.74,0.69,0.64,0.58,0.53,0.48,0.43,0.37,0.32,0.27,0.21,0.16,0.11
