,biomass,hardcoal,lignite,natgas,uranium,oil,otherfossil,waste,mixedfuels
2017-01-01 00:00:00,0.0,11.908248673380903,4.4965539710027045,11.85993344251916,10.921806026396771,9.125328855684893,0.0,0.0,0.0
2017-01-01 01:00:00,0.0,11.682956969858926,4.411483837527057,11.63555581301138,10.715176793777216,8.952687106298935,0.0,0.0,0.0
2017-01-01 02:00:00,0.0,11.419145633799861,4.3118686931604815,11.372814836327167,10.473218776353345,8.75052763991343,0.0,0.0,0.0
2017-01-01 03:00:00,0.0,11.341544545158406,4.28256652683397,11.295528597888765,10.402045922911533,8.691061678726765,0.0,0.0,0.0
2017-01-01 04:00:00,0.0,11.052595308163754,4.1734593126110395,11.007751712049656,10.137032350849895,8.469638958854487,0.0,0.0,0.0
2017-01-01 05:00:00,0.0,10.729563529190912,4.051482532620938,10.686030567025167,9.840759529625581,8.22209867859872,0.0,0.0,0.0
2017-01-01 06:00:00,0.0,10.728654943715975,4.051139450801152,10.685125667945952,9.83992620857327,8.221402426657757,0.0,0.0,0.0
2017-01-01 07:00:00,0.0,10.859464594886616,4.1005331670855325,10.815404586288567,9.959899991087568,8.321642278643534,0.0,0.0,0.0
2017-01-01 08:00:00,0.0,11.468423228409033,4.330475909872091,11.42189249739236,10.518414366782343,8.788289217485369,0.0,0.0,0.0
2017-01-01 09:00:00,0.0,11.732242400888552,4.43009401327055,11.684641278702387,10.760379571481732,8.990454688944807,0.0,0.0,0.0
2017-01-01 10:00:00,0.0,11.96072295558241,4.516368256753735,11.912194821284704,10.9699335006626,9.1655400651321,0.0,0.0,0.0
2017-01-01 11:00:00,0.0,11.273542752149114,4.256889053951266,11.227802707946195,10.33967718901409,8.638951688332197,0.0,0.0,0.0
2017-01-01 12:00:00,0.0,10.4133367192832,3.932075308533776,10.371086781325666,9.550727974785897,7.979773067793956,0.0,0.0,0.0
2017-01-01 13:00:00,0.0,10.89279760750626,4.113119710612742,10.848602357174165,9.990471799595479,8.34718547229424,0.0,0.0,0.0
2017-01-01 14:00:00,0.0,11.796458324373912,4.454341942052484,11.748596659495593,10.81927604562749,9.039663555474887,0.0,0.0,0.0
2017-01-01 15:00:00,0.0,13.041910489872027,4.924624603598088,12.988995663059175,11.961558789280026,9.99405751347144,0.0,0.0,0.0
2017-01-01 16:00:00,0.0,14.129644522895875,5.335352907964236,14.072316442517096,12.959188284837397,10.82759156462465,0.0,0.0,0.0
2017-01-01 17:00:00,0.0,14.153874083373752,5.344501988519296,14.096447696615902,12.981410743143611,10.846158753927941,0.0,0.0,0.0
2017-01-01 18:00:00,0.0,13.879090637427486,5.240743776130144,13.822779127087824,12.729389511625447,10.635591324817806,0.0,0.0,0.0
2017-01-01 19:00:00,0.0,13.29158712810305,5.018902486928984,13.237659290498451,12.190552983714149,10.185385515928502,0.0,0.0,0.0
2017-01-01 20:00:00,0.0,12.667175713297244,4.783124774874595,12.615781294542597,11.617865887548497,9.706897061611674,0.0,0.0,0.0
2017-01-01 21:00:00,0.0,12.59418098425516,4.7555619696511755,12.543082726361954,11.550917817062773,9.650960968445464,0.0,0.0,0.0
2017-01-01 22:00:00,0.0,11.951298070221661,4.51280942061775,11.902808175427054,10.961289343779884,9.15831774548604,0.0,0.0,0.0
2017-01-01 23:00:00,0.0,11.45879338587518,4.326839681920074,11.412301725932512,10.509582230747549,8.780909838505293,0.0,0.0,0.0
2017-01-02 00:00:00,0.0,11.032707504896848,4.165949679313388,10.987944599389113,10.118791991958345,8.45439887191934,0.0,0.0,0.0
2017-01-02 01:00:00,0.0,10.853414863427496,4.098248788856447,10.809379400350801,9.954351400751527,8.317006350173509,0.0,0.0,0.0
2017-01-02 02:00:00,0.0,10.920886860632207,4.123726210875732,10.876577644024572,10.016234225497259,8.368710356356983,0.0,0.0,0.0
2017-01-02 03:00:00,0.0,11.174967774454384,4.219667148400574,11.129627677627031,10.249267858896149,8.563413369215887,0.0,0.0,0.0
2017-01-02 04:00:00,0.0,11.892854644983606,4.49074118682107,11.84460187217563,10.90768719190384,9.11353236273349,0.0,0.0,0.0
2017-01-02 05:00:00,0.0,13.280898295745464,5.014866384484272,13.227013825844814,12.18074958131131,10.17719462967633,0.0,0.0,0.0
2017-01-02 06:00:00,0.0,14.532132899255632,5.4873324942696895,14.473171806386405,13.32833576361881,11.136019688323772,0.0,0.0,0.0
2017-01-02 07:00:00,0.0,15.449401570104452,5.833693088300736,15.386718851258992,14.169620722631787,11.838925589946669,0.0,0.0,0.0
2017-01-02 08:00:00,0.0,16.521760383138478,6.238615710538762,16.454726792469675,15.15314863407315,12.660677561090981,0.0,0.0,0.0
2017-01-02 09:00:00,0.0,17.452841289687488,6.590191803925727,17.38203003278205,16.007101665717627,13.37416782288753,0.0,0.0,0.0
2017-01-02 10:00:00,0.0,17.59579495061152,6.644171097550506,17.524403689095873,16.13821348561652,13.483713668194898,0.0,0.0,0.0
2017-01-02 11:00:00,0.0,17.50868065689045,6.611276745567567,17.437642843419766,16.058315471706646,13.416957707680533,0.0,0.0,0.0
2017-01-02 12:00:00,0.0,17.087281041035745,6.452156276385046,17.01795296845841,15.671823302270237,13.094037840972563,0.0,0.0,0.0
2017-01-02 13:00:00,0.0,16.87343915793797,6.37140959440154,16.804978704120803,15.475695422212269,12.930170125416025,0.0,0.0,0.0
2017-01-02 14:00:00,0.0,16.879739334574506,6.373788540714306,16.811253319107006,15.48147371161851,12.93499797082253,0.0,0.0,0.0
