label,identifier,capacity,fuel,country,efficiency_el,type,max_load_factor,part_load_losses,min_uptime,min_downtime,cold_startup_time,warm_startup_time,hot_startup_time,cold_startup_costs,warm_startup_costs,hot_startup_costs,outages,initial_status,unit_lifetime,min_load_factor,grad_pos,grad_neg,from,to_el
DE_transformer_hardcoal_BNA0377,BNA0377,426.6484,hardcoal,DE,0.417,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0402,BNA0402,162.2937,hardcoal,DE,0.4075,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0403,BNA0403,102.8976,hardcoal,DE,0.36,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0404,BNA0404,114.6095,hardcoal,DE,0.36,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0413c,BNA0413c,638.8851,hardcoal,DE,0.46,emb,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.25,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0420,BNA0420,113.7729,hardcoal,DE,0.3975,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0421,BNA0421,113.7729,hardcoal,DE,0.4,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0432,BNA0432,104.5707,hardcoal,DE,0.4,emb,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.25,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0433,BNA0433,104.5707,hardcoal,DE,0.4,emb,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.25,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0434,BNA0434,650.848,hardcoal,DE,0.4475,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0450,BNA0450,375.6179,hardcoal,DE,0.4,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0464,BNA0464,577.2302,hardcoal,DE,0.405,emb,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.25,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0498,BNA0498,55.2133,hardcoal,DE,0.3975,ipp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0510b,BNA0510b,11.21,hardcoal,DE,0.415,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0518a,BNA0518a,432.5044,hardcoal,DE,0.46,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0518b,BNA0518b,697.6956,hardcoal,DE,0.46,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0526,BNA0526,270.2107,hardcoal,DE,0.3956,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0557a,BNA0557a,21.7507,hardcoal,DE,0.3175,ipp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0557b,BNA0557b,92.0222,hardcoal,DE,0.3525,ipp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0600b,BNA0600b,86.1662,hardcoal,DE,0.33,ipp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0644,BNA0644,213.3242,hardcoal,DE,0.38,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
DE_transformer_hardcoal_BNA0645,BNA0645,355.5403,hardcoal,DE,0.395,chp,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,DE_bus_hardcoal,DE_bus_el
