cluster,fixed_costs,interference_duration_neg,interference_duration_pos,maximum_activations_year,regeneration_duration,shifting_duration,specific_investments,variable_costs,installed_cap,potential_neg_overall,potential_pos_overall,max_cap,country,from
ind_cluster-1,3.0,1.75,1.5,41.0,3.0,2.5,3.8,614.8,9427.0,1212.0,3706.0,7124.0,DE,DE_bus_el
ind_cluster-2,24.6,3.5,1.75,2.0,3.0,5.0,10.3,1365.0,164.0,24.0,104.0,1369.0,DE,DE_bus_el
tcs_cluster,0.0,1.0,1.0,143.0,0.0,1.0,236.4,387.1,3300.0,1791.0,936.0,1259.0,DE,DE_bus_el
hoho_cluster,445.2,0.25,0.25,2577.0,0.0,0.25,1161.2,0.0,161974.0,500.0,2589.0,8885.0,DE,DE_bus_el
tcs_hoho_cluster,49.4,4.0,2.5,313.0,0.0,3.75,193.6,2.0,46435.0,267.0,652.0,7935.0,DE,DE_bus_el
