link,from,to,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,conversion_factor,type
DK1_link_NL,DK1_bus_el,NL_bus_el,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,0.95,DC
NL_link_DK1,NL_bus_el,DK1_bus_el,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,0.95,DC
NO2_link_NL,NO2_bus_el,NL_bus_el,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,0.95,DC
NL_link_NO2,NL_bus_el,NO2_bus_el,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,723,0.95,DC
NO2_link_NO1,NO2_bus_el,NO1_bus_el,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0.95,DC
NO2_link_NO5,NO2_bus_el,NO5_bus_el,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,0.95,DC
NO3_link_NO5,NO3_bus_el,NO5_bus_el,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,0.95,DC
NO3_link_NO1,NO3_bus_el,NO1_bus_el,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,0.95,DC
NO3_link_SE2,NO3_bus_el,SE2_bus_el,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,0.95,DC
NO3_link_NO4,NO3_bus_el,NO4_bus_el,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,0.95,DC
NO4_link_SE1,NO4_bus_el,SE1_bus_el,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,0.95,DC
NO4_link_SE2,NO4_bus_el,SE2_bus_el,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,0.95,DC
NO4_link_NO3,NO4_bus_el,NO3_bus_el,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,0.95,DC
NO5_link_NO2,NO5_bus_el,NO2_bus_el,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,0.95,DC
NO5_link_NO1,NO5_bus_el,NO1_bus_el,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,0.95,DC
NO5_link_NO3,NO5_bus_el,NO3_bus_el,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,0.95,DC
SE4_link_SE3,SE4_bus_el,SE3_bus_el,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0.95,DC
SE3_link_SE4,SE3_bus_el,SE4_bus_el,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,0.95,DC
SE3_link_SE2,SE3_bus_el,SE2_bus_el,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,0.95,DC
SE3_link_NO1,SE3_bus_el,NO1_bus_el,2095,2095,2095,2095,2095,2095,2095,2095,2095,2095,2095,2095,2095,2095,2095,2095,0.95,DC
SE2_link_SE3,SE2_bus_el,SE3_bus_el,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,7300,0.95,DC
SE2_link_NO3,SE2_bus_el,NO3_bus_el,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.95,DC
SE2_link_NO4,SE2_bus_el,NO4_bus_el,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.95,DC
SE2_link_SE1,SE2_bus_el,SE1_bus_el,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,0.95,DC
SE1_link_SE2,SE1_bus_el,SE2_bus_el,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,0.95,DC
SE1_link_NO4,SE1_bus_el,NO4_bus_el,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,0.95,DC
