label,identifier,capacity,fuel,country,efficiency_el,type,max_load_factor,part_load_losses,min_uptime,min_downtime,cold_startup_time,warm_startup_time,hot_startup_time,cold_startup_costs,warm_startup_costs,hot_startup_costs,outages,initial_status,unit_lifetime,min_load_factor,grad_pos,grad_neg,from,to_el,technology
DE_transformer_lignite_BNA0879,BNA0879,450.0,lignite,DE,0.465,chp,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_lignite_BNA0914,BNA0914,750.0,lignite,DE,0.41,chp,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_lignite_BNA0915,BNA0915,750.0,lignite,DE,0.412,chp,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_lignite_BNA1002,BNA1002,31.0,lignite,DE,0.385,chp,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_lignite_BNA1141,BNA1141,14.5,lignite,DE,0.3496,chp,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_lignite_BNA1164,BNA1164,23.22,lignite,DE,0.4096,chp,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_lignite_BNA1185,BNA1185,20.3,lignite,DE,0.4336,chp,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_lignite_BNA1293a,BNA1293a,10.0,lignite,DE,0.388,chp,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_lignite_BNA1293b,BNA1293b,10.0,lignite,DE,0.388,chp,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_lignite_BNA1400a,BNA1400a,23.3,lignite,DE,0.3832,ipp,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_lignite_BNA1401a,BNA1401a,1060.0,lignite,DE,0.43,emb,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.4,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_lignite_BNA1401b,BNA1401b,1060.0,lignite,DE,0.43,emb,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.4,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_lignite_BNA1404,BNA1404,640.0,lignite,DE,0.437,emb,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.4,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_lignite_BNA1511a,BNA1511a,9.3,lignite,DE,0.3592,ipp,1.0,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20.0,0.5,45.0,0.0,0.2543,0.2543,DE_bus_lignite,DE_bus_el,
DE_transformer_natgas_BNA0015,BNA0015,65.0,natgas,DE,0.37,chp,1.0,0.17,1.0,0.0,0.4,0.2,0.1,23.9,21.0,16.5,20.0,0.5,40.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0016,BNA0016,50.0,natgas,DE,0.3046,emb,1.0,0.17,1.0,0.0,0.4,0.2,0.1,23.9,21.0,16.5,20.0,0.5,40.0,0.2,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0017,BNA0017,57.0,natgas,DE,0.3098,emb,1.0,0.17,1.0,0.0,0.4,0.2,0.1,23.9,21.0,16.5,20.0,0.5,40.0,0.2,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0018,BNA0018,81.0,natgas,DE,0.315,emb,1.0,0.17,1.0,0.0,0.4,0.2,0.1,23.9,21.0,16.5,20.0,0.5,40.0,0.2,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0025,BNA0025,15.1,natgas,DE,0.3773,ipp,1.0,0.05,4.0,2.0,2.0,1.0,0.1,86.8,34.5,19.5,20.0,0.5,41.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0033,BNA0033,30.7,natgas,DE,0.37,chp,1.0,0.17,1.0,0.0,0.4,0.2,0.1,23.9,21.0,16.5,20.0,0.5,40.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0051,BNA0051,17.8,natgas,DE,0.4336,ipp,1.0,0.12,1.0,0.0,0.5,0.3,0.1,0.0,0.0,0.0,20.0,0.5,30.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0059b,BNA0059b,78.0,natgas,DE,0.593,ipp,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0073,BNA0073,444.0,natgas,DE,0.4902,chp,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0081,BNA0081,164.0,natgas,DE,0.385,chp,1.0,0.05,4.0,2.0,2.0,1.0,0.1,86.8,34.5,19.5,20.0,0.5,41.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0088a,BNA0088a,140.5,natgas,DE,0.63,ipp,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0098,BNA0098,23.0,natgas,DE,0.45,chp,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0100,BNA0100,37.5,natgas,DE,0.5625,chp,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0105,BNA0105,106.0,natgas,DE,0.56,ipp,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0111,BNA0111,44.0,natgas,DE,0.3993,chp,1.0,0.05,4.0,2.0,2.0,1.0,0.1,86.8,34.5,19.5,20.0,0.5,41.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0117b,BNA0117b,95.0,natgas,DE,0.58,chp,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0129,BNA0129,36.0,natgas,DE,0.3817,chp,1.0,0.05,4.0,2.0,2.0,1.0,0.1,86.8,34.5,19.5,20.0,0.5,41.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0130,BNA0130,160.0,natgas,DE,0.513,emb,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.2,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0136,BNA0136,74.0,natgas,DE,0.585,chp,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0156b,BNA0156b,13.5,natgas,DE,0.3696,ipp,1.0,0.17,1.0,0.0,0.4,0.2,0.1,23.9,21.0,16.5,20.0,0.5,40.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0172a,BNA0172a,120.0,natgas,DE,0.5445,ipp,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0172b,BNA0172b,50.0,natgas,DE,0.3619,ipp,1.0,0.05,4.0,2.0,2.0,1.0,0.1,86.8,34.5,19.5,20.0,0.5,41.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0174,BNA0174,73.1,natgas,DE,0.3872,ipp,1.0,0.05,4.0,2.0,2.0,1.0,0.1,86.8,34.5,19.5,20.0,0.5,41.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0202,BNA0202,26.0,natgas,DE,0.3894,ipp,1.0,0.05,4.0,2.0,2.0,1.0,0.1,86.8,34.5,19.5,20.0,0.5,41.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0207,BNA0207,260.0,natgas,DE,0.41,chp,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0213,BNA0213,40.0,natgas,DE,0.3872,chp,1.0,0.05,4.0,2.0,2.0,1.0,0.1,86.8,34.5,19.5,20.0,0.5,41.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0214,BNA0214,234.0,natgas,DE,0.5625,chp,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0220,BNA0220,100.0,natgas,DE,0.54,chp,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0221a,BNA0221a,64.7,natgas,DE,0.315,emb,1.0,0.17,1.0,0.0,0.4,0.2,0.1,23.9,21.0,16.5,20.0,0.5,40.0,0.2,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0221b,BNA0221b,66.7,natgas,DE,0.3124,emb,1.0,0.17,1.0,0.0,0.4,0.2,0.1,23.9,21.0,16.5,20.0,0.5,40.0,0.2,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0233,BNA0233,46.6,natgas,DE,0.3773,chp,1.0,0.05,4.0,2.0,2.0,1.0,0.1,86.8,34.5,19.5,20.0,0.5,41.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0239,BNA0239,321.0,natgas,DE,0.42,emb,1.0,0.17,1.0,0.0,0.4,0.2,0.1,23.9,21.0,16.5,20.0,0.5,40.0,0.2,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0243,BNA0243,57.0,natgas,DE,0.3927,ipp,1.0,0.05,4.0,2.0,2.0,1.0,0.1,86.8,34.5,19.5,20.0,0.5,41.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0256a,BNA0256a,76.5,natgas,DE,0.364,chp,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0256b,BNA0256b,32.6,natgas,DE,0.364,chp,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0261a,BNA0261a,21.6,natgas,DE,0.5625,chp,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0261c,BNA0261c,6.7,natgas,DE,0.603,chp,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0284,BNA0284,48.0,natgas,DE,0.4,chp,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0285,BNA0285,70.0,natgas,DE,0.3894,chp,1.0,0.05,4.0,2.0,2.0,1.0,0.1,86.8,34.5,19.5,20.0,0.5,41.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0286,BNA0286,99.0,natgas,DE,0.3784,chp,1.0,0.05,4.0,2.0,2.0,1.0,0.1,86.8,34.5,19.5,20.0,0.5,41.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0354,BNA0354,18.8,natgas,DE,0.531,chp,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0360,BNA0360,14.7,natgas,DE,0.3696,chp,1.0,0.17,1.0,0.0,0.4,0.2,0.1,23.9,21.0,16.5,20.0,0.5,40.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0361,BNA0361,30.0,natgas,DE,0.4037,ipp,1.0,0.05,4.0,2.0,2.0,1.0,0.1,86.8,34.5,19.5,20.0,0.5,41.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0374,BNA0374,572.0,natgas,DE,0.3597,emb,1.0,0.05,4.0,2.0,2.0,1.0,0.1,86.8,34.5,19.5,20.0,0.5,41.0,0.2,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0386,BNA0386,25.0,natgas,DE,0.513,ipp,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0392a,BNA0392a,97.0,natgas,DE,0.525,chp,1.0,0.05,4.0,2.0,2.0,1.0,0.1,86.8,34.5,19.5,20.0,0.5,41.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0392b,BNA0392b,56.1,natgas,DE,0.564,chp,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0400,BNA0400,127.0,natgas,DE,0.38,chp,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0401,BNA0401,22.5,natgas,DE,0.5085,chp,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0410,BNA0410,407.0,natgas,DE,0.577,emb,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.2,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0411,BNA0411,410.0,natgas,DE,0.577,emb,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.2,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0418,BNA0418,230.0,natgas,DE,0.55,chp,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0444,BNA0444,69.0,natgas,DE,0.5805,ipp,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0497,BNA0497,96.5,natgas,DE,0.585,ipp,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0499,BNA0499,86.0,natgas,DE,0.55,ipp,1.0,0.05,4.0,2.0,2.0,1.0,0.1,86.8,34.5,19.5,20.0,0.5,41.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0504,BNA0504,182.0,natgas,DE,0.522,chp,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0510a,BNA0510a,11.6,natgas,DE,0.3729,chp,1.0,0.05,4.0,2.0,2.0,1.0,0.1,86.8,34.5,19.5,20.0,0.5,41.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0514,BNA0514,353.0,natgas,DE,0.57,emb,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.2,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0515,BNA0515,37.0,natgas,DE,0.3674,chp,1.0,0.05,4.0,2.0,2.0,1.0,0.1,86.8,34.5,19.5,20.0,0.5,41.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0521,BNA0521,48.31,natgas,DE,0.3718,chp,1.0,0.05,4.0,2.0,2.0,1.0,0.1,86.8,34.5,19.5,20.0,0.5,41.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0527,BNA0527,21.5,natgas,DE,0.3905,chp,1.0,0.05,4.0,2.0,2.0,1.0,0.1,86.8,34.5,19.5,20.0,0.5,41.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0531,BNA0531,125.0,natgas,DE,0.4545,emb,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.2,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0545,BNA0545,413.0,natgas,DE,0.58,chp,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0546,BNA0546,108.0,natgas,DE,0.558,chp,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0548a,BNA0548a,800.0,natgas,DE,0.5715,emb,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.2,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0548b,BNA0548b,430.0,natgas,DE,0.592,emb,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.2,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0556a,BNA0556a,25.8,natgas,DE,0.3839,ipp,1.0,0.05,4.0,2.0,2.0,1.0,0.1,86.8,34.5,19.5,20.0,0.5,41.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0556b,BNA0556b,14.0,natgas,DE,0.4406,ipp,1.0,0.12,1.0,0.0,0.5,0.3,0.1,0.0,0.0,0.0,20.0,0.5,30.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0574a,BNA0574a,56.0,natgas,DE,0.3098,emb,1.0,0.17,1.0,0.0,0.4,0.2,0.1,23.9,21.0,16.5,20.0,0.5,40.0,0.2,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0588,BNA0588,167.0,natgas,DE,0.42,chp,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
DE_transformer_natgas_BNA0592,BNA0592,39.0,natgas,DE,0.5,ipp,1.0,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20.0,0.5,34.0,0.0,1.0,1.0,DE_bus_natgas,DE_bus_el,
