label,identifier,capacity,fuel,country,efficiency_el,type,max_load_factor,part_load_losses,min_uptime,min_downtime,cold_startup_time,warm_startup_time,hot_startup_time,cold_startup_costs,warm_startup_costs,hot_startup_costs,outages,initial_status,unit_lifetime,min_load_factor,grad_pos,grad_neg,from,to_el
NL_transformer_hardcoal,,220.25,hardcoal,NL,0.4301,emb,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0045,0.0003,0.0003,NL_bus_hardcoal,NL_bus_el
NL_transformer_natgas,,7665.25,natgas,NL,0.4764,emb,1,0.0947,3.461,1.6407,26.445,2.4021,0.7956,67.1528,30.9154,21.6662,20,0.5,35.4101,0.0005,0.2585,0.2585,NL_bus_natgas,NL_bus_el
NL_transformer_otherfossil,,548.0,otherfossil,NL,0.4,emb,1,0.05,4.0,2.0,2.0,1.0,0.1,86.8,34.5,19.5,20,0.5,43.0,0.0,2.0,2.0,NL_bus_otherfossil,NL_bus_el
NL_transformer_uranium,,550.75,uranium,NL,0.33,emb,1,0.05,24.0,10.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,20,0.5,28.0,0.0,0.0061,0.0061,NL_bus_uranium,NL_bus_el
NO2_transformer_natgas,,7.0,natgas,NO2,0.495,emb,1,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20,0.5,34.0,0.0,0.0,0.0,NO2_bus_natgas,NO2_bus_el
NO3_transformer_natgas,,54.0,natgas,NO3,0.354,emb,1,0.17,1.0,0.0,0.4,0.2,0.1,23.9,21.0,16.5,20,0.5,40.0,0.2222,0.0633,0.0633,NO3_bus_natgas,NO3_bus_el
NO4_transformer_natgas,,230.0,natgas,NO4,0.354,emb,1,0.17,1.0,0.0,0.4,0.2,0.1,23.9,21.0,16.5,20,0.5,40.0,0.0,0.0913,0.0913,NO4_bus_natgas,NO4_bus_el
NO5_transformer_natgas,,154.0,natgas,NO5,0.354,emb,1,0.17,1.0,0.0,0.4,0.2,0.1,23.9,21.0,16.5,20,0.5,40.0,0.0649,0.0649,0.0649,NO5_bus_natgas,NO5_bus_el
PL_transformer_biomass,,235.0,biomass,PL,0.38,emb,1,0.05,5.0,7.0,2.0,1.0,0.1,0.0,0.0,0.0,20,0.5,41.0,0.0,2.0,2.0,PL_bus_biomass,PL_bus_el
PL_transformer_hardcoal,,13880.0,hardcoal,PL,0.4153,emb,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.3835,0.0918,0.0918,PL_bus_hardcoal,PL_bus_el
PL_transformer_lignite,,7655.0,lignite,PL,0.3776,emb,1,0.06,5.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.2247,0.1377,0.1377,PL_bus_lignite,PL_bus_el
PL_transformer_natgas,,1659.0,natgas,PL,0.4158,emb,1,0.1484,1.7197,0.4798,8.4606,0.8717,0.3159,36.3988,23.8788,18.0593,20,0.5,38.5606,0.0585,0.1021,0.1021,PL_bus_natgas,PL_bus_el
PL_transformer_oil,,285.0,oil,PL,0.4048,emb,1,0.05,4.0,2.0,2.0,1.0,0.1,86.8,34.5,19.5,20,0.5,41.0,0.4807,0.0491,0.0491,PL_bus_oil,PL_bus_el
SE3_transformer_biomass,,725.0,biomass,SE3,0.38,emb,1,0.05,5.0,7.0,2.0,1.0,0.1,0.0,0.0,0.0,20,0.5,41.0,0.0,5.0,5.0,SE3_bus_biomass,SE3_bus_el
SE3_transformer_hardcoal,,130.0,hardcoal,SE3,0.4,emb,1,0.04,4.0,7.0,9.0,5.0,4.0,44.6,42.0,28.5,20,0.5,45.0,0.0,1.0,1.0,SE3_bus_hardcoal,SE3_bus_el
SE3_transformer_natgas,,260.0,natgas,SE3,0.495,emb,1,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20,0.5,34.0,0.0,1.0,1.0,SE3_bus_natgas,SE3_bus_el
SE3_transformer_oil,,763.0,oil,SE3,0.374,emb,1,0.05,4.0,2.0,2.0,1.0,0.1,86.8,34.5,19.5,20,0.5,41.0,0.0,2.0,2.0,SE3_bus_oil,SE3_bus_el
SE3_transformer_otherfossil,,382.0,otherfossil,SE3,0.4,emb,1,0.05,4.0,2.0,2.0,1.0,0.1,86.8,34.5,19.5,20,0.5,43.0,0.0,2.0,2.0,SE3_bus_otherfossil,SE3_bus_el
SE3_transformer_uranium,,9532.0,uranium,SE3,0.33,emb,1,0.05,24.0,10.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,20,0.5,28.0,0.0,3.0,3.0,SE3_bus_uranium,SE3_bus_el
SE4_transformer_natgas,,448.0,natgas,SE4,0.495,emb,1,0.08,4.0,2.0,34.0,3.0,1.0,76.0,33.0,23.0,20,0.5,34.0,0.0,1.0,1.0,SE4_bus_natgas,SE4_bus_el
SE4_transformer_oil,,1372.0,oil,SE4,0.374,emb,1,0.05,4.0,2.0,2.0,1.0,0.1,86.8,34.5,19.5,20,0.5,41.0,0.0,3.0,3.0,SE4_bus_oil,SE4_bus_el
transformer_waste_ipp_cluster_2,,64.5,waste,DE,0.4,ipp,1,0.05,5.0,7.0,2.0,1.0,0.1,0.0,0.0,0.0,60,0.5,35.0,0.0,1.0,1.0,DE_bus_waste,DE_bus_el
