cluster,fixed_costs,interference_duration_neg,interference_duration_pos,maximum_activations_year,regeneration_duration,shifting_duration,specific_investments,variable_costs,installed_cap,potential_neg_overall,potential_pos_overall,max_cap,country,from
ind_cluster-1,0.8,3.25,2.5,71.0,2.0,6.0,1.3,307.5,11982.0,2805.0,6249.0,9388.0,DE,DE_bus_el
ind_cluster-2,18.3,3.75,2.0,25.0,2.0,6.0,7.1,851.9,403.0,38.0,171.0,1597.0,DE,DE_bus_el
tcs_cluster,0.0,1.25,1.0,132.0,0.0,1.75,82.5,147.1,4326.0,2897.0,1650.0,1481.0,DE,DE_bus_el
hoho_cluster,299.7,1.5,1.5,2909.0,0.0,0.25,121.8,0.0,163116.0,1833.0,4982.0,9019.0,DE,DE_bus_el
tcs_hoho_cluster,24.3,6.5,3.75,320.0,0.0,6.5,86.0,0.7,51038.0,1440.0,3426.0,8130.0,DE,DE_bus_el
